Supplier_ID,Commodity_ID,Supplier_Name,Commodity_Name,Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Financial_Stability_Score,Cost_Index,Labour_Compliance_Score,Diversity_Index,Supplier_Audit_Score,Incident_History_Count,Logistics_Distance_km,Risk_Classification
S0008552,C0008552,Nestlé,Cocoa,USA,North America,2,Agriculture,56.61,51.67,58.17,59.99,0.8941,552.65,0.81,0.76,1,0,44,28220,0.97,0.027,73.78,0.22,85.48,0.6,64.16,0,6780.0,Moderate
S0007899,C0007899,Yara International,Ammonia,Malaysia,Asia-Pacific,1,Chemicals,67.19,43.08,71.03,87.46,0.4089,749.61,0.88,0.47,0,0,26,17717,0.88,0.016,75.16,1.08,85.73,0.24,61.92,0,11009.0,Low
S0002800,C0002800,Louis Dreyfus Company,Wheat,India,Asia-Pacific,2,Agriculture,58.94,72.48,62.66,41.68,0.6411,974.36,0.6,0.59,2,0,44,23208,1.0,0.033,100.0,1.0,84.15,0.49,79.88,0,9154.0,Moderate
S0001666,C0001666,Bunge Limited,Canola,Malaysia,Asia-Pacific,3,Agriculture,52.18,49.39,64.61,42.55,0.06,102.8,0.38,0.4,3,1,24,42179,0.78,0.022,74.62,0.58,89.91,0.42,84.29,0,633.0,Moderate
S0007809,C0007809,Syngenta,Crop Protection Chemicals,USA,North America,2,Chemicals,67.12,58.29,68.76,74.31,0.0211,1288.85,0.5,0.53,0,0,10,14746,0.88,0.055,56.54,1.06,57.67,0.36,70.39,3,6017.0,Moderate
S0009230,C0009230,Foxconn,Electronic Components,India,Asia-Pacific,3,Electronics,70.16,65.57,87.74,57.16,0.3303,1300.47,0.52,0.27,0,0,18,24482,0.83,0.03,66.31,0.57,64.72,0.2,48.85,2,504.0,Moderate
S0008921,C0008921,Sime Darby Plantation,Palm Fruits,USA,North America,3,Agriculture,47.56,45.53,45.1,52.04,0.9867,1402.45,0.78,0.23,1,0,5,2986,0.9,0.022,75.56,0.88,63.35,0.7,73.16,1,11335.0,Moderate
S0003971,C0003971,Nestlé,Coffee Beans,Brazil,South America,1,Food & Beverage,69.63,86.9,55.62,66.38,0.7335,798.12,0.54,0.43,0,0,44,37944,0.81,0.024,69.76,1.72,62.8,0.25,74.16,1,818.0,Low
S0007794,C0007794,Bunge Limited,Soybeans,India,Asia-Pacific,2,Agriculture,53.8,49.4,59.59,52.41,0.8383,494.82,0.9,0.74,1,1,39,42348,0.91,0.031,93.45,1.48,88.81,0.8,60.97,0,5323.0,Moderate
S0005171,C0005171,Archer Daniels Midland,Soybeans,China,Asia-Pacific,3,Agriculture,51.44,58.05,54.57,41.71,0.5797,646.4,0.74,0.47,0,1,48,48028,0.93,0.031,93.57,1.21,94.57,0.7,56.25,0,5519.0,Moderate
S0001199,C0001199,Cargill,Cocoa,Indonesia,Asia-Pacific,2,Agriculture,58.1,55.52,57.41,61.38,0.1644,721.12,0.43,0.54,1,1,16,33439,0.86,0.031,61.11,1.15,87.34,0.18,82.98,1,1856.0,Moderate
S0004375,C0004375,Louis Dreyfus Company,Wheat,USA,North America,3,Agriculture,57.45,20.46,76.01,63.1,0.7784,141.76,0.72,0.38,3,1,30,43651,0.96,0.019,50.22,1.29,66.69,0.23,70.51,1,8109.0,Moderate
S0003880,C0003880,Archer Daniels Midland,Wheat,Malaysia,Asia-Pacific,3,Agriculture,64.96,41.27,77.5,76.1,0.0537,935.79,0.66,0.66,0,0,49,35386,0.99,0.066,100.0,1.02,56.96,0.45,77.22,1,10957.0,Moderate
S0002909,C0002909,Cargill,Corn,Indonesia,Asia-Pacific,2,Agriculture,67.4,78.82,56.22,67.16,0.56,1024.24,0.73,0.46,2,0,9,24290,0.96,0.027,50.2,1.28,69.33,0.51,52.24,3,3383.0,Moderate
S0003750,C0003750,Olam International,Spices,Malaysia,Asia-Pacific,3,Agriculture,64.6,55.0,67.37,71.44,0.7934,587.76,0.83,0.5,0,0,21,31066,0.87,0.0,56.48,1.05,84.44,0.7,65.65,1,523.0,Moderate
S0008340,C0008340,Bunge Limited,Canola,Brazil,South America,2,Agriculture,58.7,70.0,62.8,43.31,0.1851,657.68,0.5,0.19,0,0,15,39827,0.96,0.03,74.02,0.98,76.8,0.4,64.81,3,309.0,Moderate
S0006958,C0006958,Archer Daniels Midland,Soybeans,USA,North America,3,Agriculture,70.64,70.13,85.41,56.37,0.4318,528.05,0.61,0.09,3,0,43,29651,0.87,0.03,82.83,1.39,80.28,0.89,67.95,2,2140.0,Moderate
S0003434,C0003434,Olam International,Spices,Indonesia,Asia-Pacific,3,Agriculture,42.81,42.75,54.4,31.29,0.7451,379.73,0.8,0.38,3,1,10,15092,0.9,0.034,100.0,0.6,56.07,0.47,69.38,2,6902.0,Moderate
S0002108,C0002108,Wilmar International,Soybeans,China,Asia-Pacific,3,Agriculture,50.39,53.22,63.02,34.92,0.958,1447.53,0.5,0.69,1,0,13,16230,0.91,0.041,67.59,0.25,73.07,0.63,82.5,0,8451.0,Moderate
S0000794,C0000794,Louis Dreyfus Company,Soybeans,China,Asia-Pacific,3,Agriculture,69.58,64.53,81.43,62.79,0.7781,171.78,0.59,0.6,1,0,32,40121,0.87,0.036,47.11,1.3,70.18,0.22,69.51,0,171.0,Low
S0007749,C0007749,Bunge Limited,Sunflower Seeds,Brazil,South America,3,Agriculture,73.8,71.22,59.77,90.4,0.4171,617.89,0.69,0.18,2,0,33,856,0.86,0.029,80.08,0.5,54.26,0.39,64.04,1,1397.0,Low
S0003215,C0003215,Syngenta,Crop Protection Chemicals,Indonesia,Asia-Pacific,2,Chemicals,59.23,53.29,67.67,56.72,0.6217,259.6,0.41,0.12,1,1,23,9563,0.86,0.04,74.53,0.84,68.35,0.58,91.09,0,3530.0,Moderate
S0006416,C0006416,Archer Daniels Midland,Wheat,Indonesia,Asia-Pacific,1,Agriculture,63.02,56.1,75.61,57.34,0.739,615.2,0.43,0.51,1,1,48,27705,0.88,0.033,85.78,1.13,47.83,0.55,80.96,0,83.0,Moderate
S0001073,C0001073,Yara International,Ammonia,Malaysia,Asia-Pacific,1,Chemicals,62.04,51.29,77.07,57.75,0.6135,1090.04,0.62,0.15,3,0,31,42019,0.87,0.049,72.84,0.54,62.72,0.32,68.24,0,3879.0,Moderate
S0000877,C0000877,Foxconn,Electronic Components,Brazil,South America,3,Electronics,69.78,99.01,81.51,28.81,0.5306,386.59,0.65,0.42,2,1,42,22965,0.87,0.015,59.39,0.87,73.02,0.86,85.25,2,10793.0,Moderate
S0008568,C0008568,Wilmar International,Soybeans,Indonesia,Asia-Pacific,2,Agriculture,66.05,63.23,79.95,54.98,0.7813,645.96,0.63,0.62,2,1,49,24368,0.92,0.041,95.4,0.59,87.1,0.83,89.03,1,6005.0,Low
S0001046,C0001046,Nestlé,Cocoa,USA,North America,3,Agriculture,61.71,64.73,64.79,53.16,0.8102,1136.06,0.66,0.34,3,0,8,24943,0.92,0.028,69.49,0.69,53.05,0.72,76.76,1,4305.0,Moderate
S0002542,C0002542,Samsung Electronics,LCD Panels,Indonesia,Asia-Pacific,1,Electronics,71.5,71.74,66.15,76.62,0.5608,989.81,0.56,0.62,2,1,49,5949,0.84,0.022,89.05,0.74,75.87,0.38,61.59,0,11233.0,Low
S0004833,C0004833,Wilmar International,Sugar,Japan,Asia-Pacific,3,Agriculture,50.79,62.41,48.93,63.1,0.4808,1402.4,0.72,0.23,2,0,6,27407,0.84,0.025,84.04,1.9,74.63,0.62,79.7,2,3783.0,Moderate
S0005280,C0005280,Tata Steel,Steel Billets,Malaysia,Asia-Pacific,3,Metals,50.73,36.45,54.69,61.06,0.8489,1082.52,0.68,0.66,1,1,46,18791,0.86,0.035,59.84,0.94,72.58,0.63,52.73,1,7743.0,Moderate
S0009913,C0009913,Bunge Limited,Soybeans,China,Asia-Pacific,2,Agriculture,63.95,61.05,57.06,73.75,0.5967,56.92,0.53,0.29,1,0,16,9339,0.7799999999999999,0.059,56.11,1.38,62.23,0.4,73.29,4,7628.0,Moderate
S0002877,C0002877,Foxconn,Printed Circuit Boards,Indonesia,Asia-Pacific,3,Electronics,64.85,60.105000000000004,51.05,91.38,0.2034,64.3,0.49,0.37,3,0,17,49824,0.8,0.046,69.34,1.48,80.3,0.83,49.47,2,617.0,Moderate
S0005441,C0005441,Olam International,Cashew Nuts,Brazil,South America,2,Agriculture,68.08,64.15,81.69,58.4,0.2604,926.05,0.5,0.07,3,1,16,1536,0.82,0.027,71.49,0.75,58.1,0.19,84.62,2,10980.0,Moderate
S0002983,C0002983,Olam International,Cocoa,Indonesia,Asia-Pacific,3,Agriculture,52.2,39.79,61.96,54.85,0.2685,1378.02,0.33,0.41,1,1,21,49766,0.89,0.041,87.63,0.56,100.0,0.83,84.02,1,6512.0,Moderate
S0002327,C0002327,Bunge Limited,Sunflower Seeds,Japan,Asia-Pacific,2,Agriculture,69.07,63.78,84.1,59.33,0.0956,501.36,0.49,0.27,3,1,25,47205,0.9,0.026,74.72,0.57,61.82,0.34,54.51,2,10104.0,Moderate
S0005073,C0005073,Nestlé,Cocoa,Malaysia,Asia-Pacific,1,Agriculture,56.26,32.66,53.46,82.65,0.468,983.27,0.82,0.4,3,0,29,35506,0.94,0.025,27.18,1.3,72.64,0.79,84.07,3,558.0,Moderate
S0002624,C0002624,Nestlé,Cocoa,Malaysia,Asia-Pacific,3,Agriculture,57.16,70.32,76.97,24.18,0.7271,588.62,0.64,0.25,0,1,8,42816,0.84,0.043,71.56,0.91,80.61,0.24,71.98,1,814.0,Moderate
S0009122,C0009122,Samsung Electronics,LCD Panels,Indonesia,Asia-Pacific,3,Electronics,48.47,31.85,69.11,44.46,0.064,917.74,0.27,0.28,3,0,21,20968,0.92,0.02,44.11,0.76,66.72,0.2,60.91,1,4538.0,Moderate
S0003708,C0003708,Yara International,Ammonia,India,Asia-Pacific,2,Chemicals,59.43,51.72,69.85,56.73,0.904,495.65,0.65,0.8,2,0,37,28985,0.95,0.018,62.0,0.45,60.41,0.78,85.15,1,5980.0,Moderate
S0008412,C0008412,Wilmar International,Sugar,China,Asia-Pacific,3,Agriculture,67.81,61.74,62.29,79.39,0.4918,459.99,0.66,0.0,3,0,9,25376,0.85,0.048,68.62,1.19,62.47,0.74,56.08,1,10186.0,Low
S0006423,C0006423,Cargill,Soybeans,Malaysia,Asia-Pacific,1,Agriculture,56.68,74.0,67.67,28.36,0.2972,780.21,0.55,0.46,2,1,20,3479,0.93,0.049,74.44,0.63,93.56,0.83,65.76,1,6695.0,Moderate
S0003120,C0003120,Syngenta,Seeds,USA,North America,1,Agriculture,65.13,48.21,83.57,63.6,0.7162,1299.53,0.5,0.22,3,0,13,49928,0.95,0.0,56.63,0.44,90.91,0.19,86.38,2,4861.0,Moderate
S0002086,C0002086,Wilmar International,Palm Oil,Japan,Asia-Pacific,1,Agriculture,64.66,70.17,64.79,48.26,0.7107,915.84,0.82,0.72,1,0,27,30931,0.93,0.027,61.95,0.99,61.86,0.39,65.69,1,2560.0,Moderate
S0009389,C0009389,Louis Dreyfus Company,Wheat,Indonesia,Asia-Pacific,3,Agriculture,52.12,51.45,37.85,67.05,0.8897,956.25,0.72,0.24,0,1,28,41519,0.82,0.009,63.71,1.1,73.77,0.18,74.7,3,10628.0,Moderate
S0005858,C0005858,Yara International,Ammonia,India,Asia-Pacific,3,Chemicals,51.44,44.9,79.99,29.44,0.516,449.69,0.36,0.64,2,1,35,14246,0.79,0.019,74.16,1.59,74.94,0.81,73.8,2,6067.0,Moderate
S0001504,C0001504,Nestlé,Coffee Beans,China,Asia-Pacific,1,Food & Beverage,58.64,71.64,64.79,50.36,0.0146,1327.03,0.52,0.35,3,1,24,15426,0.91,0.017,67.21,0.64,48.67,0.34,76.49,1,401.0,Moderate
S0009580,C0009580,Cargill,Corn,Indonesia,Asia-Pacific,3,Agriculture,66.27,70.01,74.21,54.6,0.1356,687.97,0.4,0.31,2,0,29,18588,0.94,0.032,60.77,0.81,59.59,0.45,64.28,0,7085.0,Low
S0004351,C0004351,Wilmar International,Sugar,Japan,Asia-Pacific,2,Agriculture,72.74,61.12,74.56,82.54,0.5324,1337.19,0.73,0.39,1,1,6,22313,0.89,0.027,70.95,0.73,58.26,0.64,80.89,0,5648.0,Low
S0008249,C0008249,Nestlé,Coffee Beans,Indonesia,Asia-Pacific,3,Food & Beverage,61.74,44.62,75.24,65.36,0.1157,386.23,0.6,0.3,0,1,37,32654,0.92,0.0,71.04,1.14,61.65,0.87,54.28,0,3401.0,Moderate
S0000124,C0000124,Cargill,Soybeans,Brazil,South America,3,Agriculture,58.93,64.2,47.84,64.74,0.0216,780.21,0.58,0.02,1,0,35,17868,0.87,0.031,73.2,0.59,93.99,0.62,59.61,2,5596.0,Moderate
S0008336,C0008336,Tata Steel,Steel Billets,Malaysia,Asia-Pacific,2,Metals,57.97,64.35,60.69,48.87,0.1029,953.72,0.58,0.47,2,1,5,29785,0.91,0.025,77.19,0.2,71.78,0.79,61.4,0,3167.0,Moderate
S0009601,C0009601,Samsung Electronics,Semiconductors,Japan,Asia-Pacific,2,Electronics,59.56,51.93,68.86,57.89,0.3592,116.74,0.69,0.5,0,0,27,21572,0.92,0.039,93.08,0.64,58.6,0.85,55.72,0,2320.0,Moderate
S0005568,C0005568,Wilmar International,Palm Oil,Malaysia,Asia-Pacific,3,Agriculture,57.98,60.57,55.18,58.2,0.4982,971.44,0.36,0.53,1,1,29,40001,0.94,0.04,55.24,1.45,83.51,0.77,79.2,3,1829.0,Moderate
S0006773,C0006773,Cargill,Soybeans,Malaysia,Asia-Pacific,1,Agriculture,69.8,27.62,81.77,100.0,0.7676,697.85,0.86,0.63,0,1,44,38410,0.86,0.015,74.99,1.22,90.62,0.57,75.6,1,3123.0,Low
S0005072,C0005072,Yara International,Fertilizers,Indonesia,Asia-Pacific,1,Chemicals,77.07,42.94,95.98,92.28,0.2083,116.8,0.62,0.71,0,1,11,6397,0.88,0.028,66.47,0.63,39.84,0.55,66.29,1,2632.0,Moderate
S0004578,C0004578,Foxconn,Printed Circuit Boards,Malaysia,Asia-Pacific,3,Electronics,61.49,49.85,71.28,63.33,0.8952,785.99,0.93,0.58,2,0,29,14814,0.92,0.034,77.28,0.6,83.78,0.24,54.27,5,2944.0,High
S0008988,C0008988,Yara International,Ammonia,India,Asia-Pacific,2,Chemicals,59.52,67.51,66.99,44.07,0.5741,1022.65,0.69,0.39,0,1,33,26140,0.92,0.0,100.0,1.34,75.38,0.74,65.51,0,5061.0,Moderate
S0005584,C0005584,Samsung Electronics,Semiconductors,Indonesia,Asia-Pacific,2,Electronics,74.28,64.22,93.37,65.24,0.5339,427.85,0.73,0.45,2,0,23,10652,0.88,0.029,95.84,1.19,97.1,0.82,83.07,1,5383.0,Low
S0001862,C0001862,Tata Steel,Iron Ore,Malaysia,Asia-Pacific,2,Metals,62.17,69.55,44.82,72.15,0.4845,124.12,0.67,0.79,1,1,9,12516,0.83,0.043,87.37,0.74,83.99,0.6,89.72,0,8847.0,Moderate
S0006964,C0006964,Syngenta,Seeds,Japan,Asia-Pacific,3,Agriculture,64.78,61.42,64.79,70.03,0.5778,1044.95,0.76,0.47,0,0,14,20376,0.8,0.046,84.6,1.03,59.71,0.12,81.7,1,1876.0,Moderate
S0002928,C0002928,Bunge Limited,Sunflower Seeds,India,Asia-Pacific,1,Agriculture,54.26,66.5,52.17,44.11,0.6002,453.84,0.73,0.28,0,1,31,35545,0.84,0.043,67.49,0.2,80.58,0.61,73.5,1,2820.0,Moderate
S0005824,C0005824,Bunge Limited,Soybeans,Indonesia,Asia-Pacific,2,Agriculture,55.06,51.2,52.66,61.33,0.3728,1242.69,0.47,0.48,3,1,16,27416,0.94,0.029,82.7,0.79,45.53,0.88,80.57,1,8403.0,Moderate
S0008853,C0008853,Yara International,Ammonia,USA,North America,2,Chemicals,48.85,50.73,48.95,46.88,0.7302,658.17,0.77,0.52,0,0,22,15980,0.92,0.028,63.6,1.45,46.24,0.5,70.39,1,3391.0,Moderate
S0003216,C0003216,Louis Dreyfus Company,Rice,Malaysia,Asia-Pacific,2,Agriculture,54.04,53.26,31.85,77.01,0.2885,1107.48,0.51,0.61,1,0,48,32171,0.84,0.037,56.46,1.36,100.0,0.75,57.93,2,5479.0,Moderate
S0001932,C0001932,Bunge Limited,Sunflower Seeds,China,Asia-Pacific,1,Agriculture,53.59,28.03,61.96,70.79,0.5449,716.98,0.8,0.53,2,1,41,31532,0.85,0.029,85.81,0.55,72.29,0.55,80.92,0,1084.0,Moderate
S0003822,C0003822,Nestlé,Coffee Beans,Malaysia,Asia-Pacific,1,Food & Beverage,57.47,75.49,52.73,44.2,0.929,678.64,0.41,0.27,0,0,27,48760,0.95,0.007,69.99,1.24,100.0,0.13,41.67,0,8312.0,Moderate
S0007658,C0007658,Samsung Electronics,Semiconductors,USA,North America,1,Electronics,67.83,55.34,48.16,100.0,0.9773,311.92,0.7,0.2,2,0,13,33979,0.82,0.018,73.23,0.81,100.0,0.26,61.06,1,3521.0,Low
S0006301,C0006301,Louis Dreyfus Company,Wheat,Malaysia,Asia-Pacific,2,Agriculture,66.11,59.08,79.94,59.3,0.3119,1384.23,0.84,0.45,0,0,33,7513,0.85,0.027,66.43,1.08,70.61,0.31,66.45,4,11557.0,Moderate
S0001693,C0001693,Syngenta,Seeds,USA,North America,3,Agriculture,66.78,67.32,64.33,68.68,0.8622,948.34,0.65,0.25,0,1,6,49190,0.97,0.006,83.24,1.07,60.56,0.38,87.45,1,9902.0,Low
S0006701,C0006701,Samsung Electronics,LCD Panels,USA,North America,3,Electronics,55.66,52.84,50.27,63.87,0.2037,1157.59,0.42,0.08,1,1,9,18925,0.7799999999999999,0.028,76.41,1.54,48.97,0.37,72.15,0,7614.0,Moderate
S0003553,C0003553,Yara International,Fertilizers,Japan,Asia-Pacific,2,Chemicals,62.96,40.78,66.93,81.16,0.9288,602.12,0.8,0.1,0,0,13,44696,0.81,0.047,17.438750000000006,0.73,85.15,0.45,54.58,1,10456.0,Moderate
S0006353,C0006353,Louis Dreyfus Company,Rice,Indonesia,Asia-Pacific,1,Agriculture,63.68,61.03,72.86,57.15,0.638,1294.66,0.49,0.38,1,0,17,1160,0.86,0.029,54.9,1.37,86.18,0.32,73.79,3,7493.0,Moderate
S0008052,C0008052,Archer Daniels Midland,Wheat,Japan,Asia-Pacific,1,Agriculture,59.48,37.82,96.74,63.1,0.765,70.45,0.46,0.46,1,0,40,7486,0.91,0.047,95.22,0.83,80.79,0.68,72.58,0,3692.0,Moderate
S0008682,C0008682,Olam International,Spices,Malaysia,Asia-Pacific,3,Agriculture,58.1,55.92,39.34,79.04,0.4225,958.96,0.31,0.47,1,1,16,48213,0.93,0.009,59.24,1.09,71.28,0.22,80.22,3,2495.0,Moderate
S0005437,C0005437,Nestlé,Coffee Beans,Indonesia,Asia-Pacific,2,Food & Beverage,58.55,18.25,62.79,94.62,0.4563,146.68,0.6,0.57,1,1,13,24098,0.89,0.036,77.62,1.0,90.55,0.51,75.5,0,8119.0,Moderate
S0009755,C0009755,Foxconn,Printed Circuit Boards,Malaysia,Asia-Pacific,2,Electronics,58.3,43.61,63.94,67.35,0.0133,1185.64,0.72,0.01,0,1,42,43650,0.94,0.04,54.47,1.45,68.94,0.77,82.72,0,11376.0,Moderate
S0000855,C0000855,Tata Steel,Steel Billets,China,Asia-Pacific,3,Metals,68.71,55.62,66.73,83.77,0.7807,1166.66,0.7,0.37,1,1,13,2603,0.92,0.014,95.38,0.2,73.69,0.36,59.25,4,11391.0,Moderate
S0006997,C0006997,Foxconn,Printed Circuit Boards,Japan,Asia-Pacific,1,Electronics,56.77,21.16,64.76,84.39,0.5117,1260.31,0.55,0.51,3,1,16,21303,0.85,0.026,76.32,1.36,74.31,0.86,78.57,0,3860.0,Moderate
S0007017,C0007017,Yara International,Fertilizers,Brazil,South America,1,Chemicals,57.37,27.7,64.79,80.82,0.0908,857.35,0.68,0.26,0,1,11,49337,0.87,0.019,46.45,0.8,88.25,0.89,75.24,2,635.0,Moderate
S0007173,C0007173,Samsung Electronics,LCD Panels,Japan,Asia-Pacific,3,Electronics,51.8,43.56,55.17,56.68,0.1367,937.22,0.61,0.74,2,0,5,14231,0.89,0.024,100.0,1.34,81.19,0.58,49.47,1,11874.0,Moderate
S0007022,C0007022,Yara International,Ammonia,Malaysia,Asia-Pacific,2,Chemicals,63.32,47.66,92.13,50.17,0.4033,391.31,0.52,0.35,2,1,14,7613,0.87,0.022,78.0,0.99,59.98,0.83,76.91,0,1080.0,Moderate
S0002393,C0002393,Wilmar International,Palm Oil,Brazil,South America,2,Agriculture,62.58,67.71,86.53,100.0,0.018,148.21,0.44,0.14,2,1,38,18558,0.91,0.0,82.99,1.05,80.51,0.75,74.73,2,8111.0,Moderate
S0002875,C0002875,Yara International,Fertilizers,Malaysia,Asia-Pacific,1,Chemicals,52.59,70.64,70.44,20.020000000000003,0.509,1332.92,0.45,0.39,2,1,35,40143,0.9,0.048,77.08,0.2,100.0,0.56,56.46,0,5178.0,Moderate
S0006831,C0006831,Louis Dreyfus Company,Soybeans,India,Asia-Pacific,3,Agriculture,55.06,17.32,100.0,47.87,0.7146,965.71,0.39,0.65,1,0,33,43681,0.92,0.002,77.04,1.55,81.99,0.81,43.15,1,7284.0,Moderate
S0007310,C0007310,Cargill,Soybeans,Brazil,South America,2,Agriculture,49.89,59.58,60.79,29.3,0.7095,1298.54,0.69,0.31,2,0,7,41345,0.87,0.041,53.66,1.0,69.61,0.82,58.85,3,3200.0,Moderate
