SC_ID,Supplier_Name,Commodity_Name,Year,Month,Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,GHG_Scope1_Intensity,GHG_Scope2_Intensity,GHG_Scope3_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Certifications_Active,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Incident_History_Count,Labour_Compliance_Score,Diversity_Index,Financial_Stability_Score,Freight_Cost,Cost_Index,Commodity_Price_Index,Commodity_Demand,Trade_Volume,Logistics_Distance_km,Risk_Classification
SC0000011,RIO TINTO GROUP,Iron ore,2019,JAN,UNITED KINGDOM,ECA,1,Almuninium,69.11,74.47,74.66,59.55,0.0651,2.641,0.733,2.361,253.22,0.75,0.285,3,0,None,44,17928,0.885,0.035,0,72.0,0.31,64.77,4009.81,1.335,1.316,64908,5645,2861,Moderate
SC0000012,SIEMENS AG,"Industrial automation equipment, turbines",2019,JAN,GERMANY,ECA,1,Industrial Manufacturing & Construction,56.15,58.67,55.78,57.39,0.0454,0.768,1.088,3.239,71.47,0.469,0.636,3,1,SA8000,45,16288,0.921,0.009,0,80.33,0.064,88.75,20658.84,0.845,0.4,24913,6308,4735,Moderate
SC0000013,ETHIOPIAN COFFEE EXPORTERS (ETHIOPIA COMMODITY EXCHANGE PARTICIPANTS),"Green coffee (arabica), roasted/processed coffee",2019,JAN,ETHIOPIA,SSA,1,Agriculture & Agribusiness,48.45,40.63,42.3,64.12,0.0773,1.655,0.775,1.162,260.63,0.561,0.171,1,0,None,11,5542,0.943,0.082,0,51.2,0.136,88.81,11887.92,0.761,1.305,44173,10714,1968,High
SC0000014,MAHINDRA LOGISTICS/BLUE DART (LOGISTICS SUPPLIERS),Freight and logistics services,2019,JAN,INDIA,SA,2,"Consumer Goods, Retail & Logistics",47.66,53.32,45.26,52.83,0.1867,2.28,0.625,2.221,109.52,0.711,0.061,2,1,FSSC 22000; RSPO,9,10,0.852,0.045,0,76.76,0.501,66.9,9735.73,1.498,1.256,28994,12178,1469,Moderate
SC0000015,COMPAGNIE DES PHOSPHATES DE GAFSA (CPG),Phosphate rock and derivatives,2019,JAN,TUNISIA,MENA-AP,2,Mining/Fertilizers,46.18,39.46,53.35,39.73,0.1181,2.389,0.495,2.217,300.78,0.291,0.036,2,1,ISO 14001,21,18052,0.858,0.032,0,87.72,0.065,64.49,24054.71,1.122,0.851,36658,6645,1587,High
SC0000016,NAMPAK,"Packaging products (metal, glass, paper packaging)",2019,JAN,SOUTH AFRICA,SSA,2,Industrial Manufacturing & Construction,65.38,59.99,69.4,65.41,0.0363,1.209,0.538,2.897,118.74,0.624,0.213,2,1,FSSC 22000,30,14773,0.893,0.06,0,98.14,0.423,82.54,24743.56,0.924,1.021,49529,12277,2392,Moderate
SC0000017,DANGOTE CEMENT (DANGOTE GROUP),"Cement (Obajana, Ibeshe capacities), clinker",2019,JAN,NIGERIA,SSA,1,Industrial Manufacturing & Construction,83.17,86.2,86.66,73.78,0.2077,1.411,0.453,0.285,204.73,0.563,0.16,2,0,FSSC 22000,38,7140,0.935,0.011,1,79.11,0.695,56.23,9471.53,1.119,0.848,26832,9123,2008,Moderate
SC0000018,COFFEE COOPERATIVES (SME EXPORTERS),"Green coffee beans (arabica, robusta), roasted coffee",2019,JAN,GUATEMALA,LAC,2,Agriculture & Agribusiness,68.22,57.04,79.21,66.88,0.0824,1.353,0.546,1.891,192.46,0.249,0.0,1,1,None,20,19823,0.892,0.023,0,91.2,0.521,91.87,13732.4,0.82,0.757,38997,25418,145,Moderate
SC0000019,L'ORÃ©AL,Cosmetics and personal care products,2019,JAN,FRANCE,ECA,1,"Consumer Goods, Retail & Logistics",81.34,83.98,73.4,80.07,0.0655,3.378,1.118,2.873,174.66,0.69,0.607,2,1,FSSC 22000; ISO 9001,17,10,0.955,0.0,2,76.05,0.279,77.2,15338.58,0.67,0.568,45374,7010,819,Moderate
SC0000020,FORD OTOSAN,Automotive manufacturing,2019,JAN,TURKEY,ECA,1,Automotive & Transportation,61.04,60.45,67.47,55.95,0.0892,1.794,1.339,1.857,138.92,0.78,0.207,2,1,None,1,16730,0.974,0.056,1,83.42,0.265,70.44,33281.92,0.804,0.975,60445,16953,2470,Moderate
SC0000021,TENKE FUNGURUME MINING,Copper and cobalt concentrates,2019,JAN,DEMOCRATIC REPUBLIC OF THE CONGO,SSA,1,Metals & Mining (Primary),74.02,65.74,67.93,83.18,0.0619,2.279,1.027,1.384,165.95,0.445,0.228,3,1,BRCGS,6,22562,0.852,0.06,0,69.75,0.331,82.78,11677.67,0.788,1.178,46734,7919,3942,Moderate
SC0000022,MITSUI CHEMICALS,Polyethylene and industrial chemicals,2019,JAN,JAPAN,EAP,1,Chemicals & Petrochemicals,66.48,71.28,69.26,55.76,0.0565,1.749,1.199,2.137,186.08,0.332,0.202,2,0,None,36,5798,0.874,0.054,2,76.93,0.151,82.89,25444.43,0.698,1.117,20571,17832,2778,High
SC0000023,ENEL,"Electric power generation, renewable energy",2019,JAN,ITALY,ECA,1,Energy & Utilities,68.03,67.42,74.26,62.48,0.0991,1.142,1.16,4.798,198.99,0.406,0.517,2,1,Fairtrade,29,9348,0.971,0.018,2,76.3,0.11,77.76,1745.41,1.032,0.92,23516,17648,3815,Moderate
SC0000024,SOMDIAA GROUP,"Sugar, wheat, maize flour, animal feed",2019,JAN,SENEGAL,SSA,2,Agriculture & Agribusiness,70.17,61.53,83.47,68.67,0.0976,0.896,0.914,0.038,127.58,0.708,0.496,3,1,LEED,35,13720,0.847,0.025,1,81.06,0.218,82.8,9072.78,1.001,1.169,33896,18179,2584,Moderate
SC0000025,ENGRO FERTILIZERS,"Urea, specialty fertilizers",2019,JAN,PAKISTAN,SA,1,Fertilizers,79.19,71.83,80.09,84.01,0.0618,1.992,0.731,2.625,189.47,0.549,0.366,2,1,None,19,9698,0.926,0.081,0,82.73,0.395,88.04,20871.53,0.912,0.929,64230,7582,2630,Moderate
SC0000026,FOXCONN TECHNOLOGY GROUP,Electronic components and device assembly,2019,JAN,CHINA,EAP,1,"Electronics, Semiconductors & Technology",51.58,49.25,50.11,52.83,0.2371,2.122,0.989,3.287,125.1,0.28,0.28,2,1,SA8000,1,16426,0.845,0.047,0,83.08,0.391,69.64,24058.56,1.375,1.063,27101,6583,6251,High
SC0000027,ASTRAZENECA,Pharmaceutical products,2019,JAN,UNITED KINGDOM,ECA,1,Pharmaceuticals & Healthcare,71.19,64.51,78.59,72.62,0.0635,3.681,0.961,2.219,181.13,0.621,0.0,1,1,ISO 14001; Fairtrade,30,14393,0.908,0.028,1,87.87,0.088,41.3,8806.14,1.147,1.138,1,10981,1059,Moderate
SC0000028,CARGILL/LOUIS DREYFUS/ADM (LOCAL SUBSIDIARIES),"Grains, oilseeds, sugar, coffee (export origination)",2019,JAN,ARGENTINA,LAC,1,"Consumer Goods, Retail & Logistics",64.3,63.62,56.75,71.74,0.0995,2.995,0.423,3.731,223.46,0.572,0.228,2,1,ISO 9001; FSSC 22000; RSPO,1,12710,0.898,0.038,2,75.69,0.258,99.0,25066.27,0.943,0.771,15308,7401,5474,High
SC0000029,NATIONAL FOODS LIMITED,"Spices, cooking pastes and packaged foods",2019,JAN,PAKISTAN,MENA-AP,2,Food & Beverage Processing,71.72,70.91,76.58,69.11,0.0497,1.102,0.723,2.097,100.55,0.459,0.724,3,1,LEED,25,8634,0.836,0.001,0,91.27,0.213,94.97,3828.75,0.652,1.125,49189,12972,3303,Moderate
SC0000030,COMPAGNIE DES BAUXITES DE GUINÃ©E (CBG),Bauxite (export ore),2019,JAN,GUINEA,SSA,1,Metals & Mining (Primary),73.94,67.09,84.23,74.76,0.1918,2.122,1.45,2.008,55.41,0.595,0.428,1,1,None,38,6272,0.798,0.039,0,89.94,0.443,77.9,12401.62,1.377,0.945,9855,25561,5457,Moderate
SC0000031,SD GUTHRIE,"Crude Palm Oil, RBD Palm Olein, RBD Palm Stearin, Palm Kernel Oil, Palm Kernel Stearin, Palm Fatty Acids",2019,JAN,MALAYSIA,EAP,1,Agriculture & Agribusiness,62.44,58.75,72.51,58.09,0.0657,0.986,0.956,2.086,153.79,0.441,0.026,2,1,SA8000,9,10,0.969,0.049,0,82.81,0.599,89.33,14311.63,1.127,1.286,25869,5648,5279,Moderate
SC0000032,KUWAIT NATIONAL PETROLEUM COMPANY (KNPC),Refined petroleum products,2019,JAN,KUWAIT,MENA-AP,1,"Oil, Gas & Refining",73.05,60.76,79.75,82.42,0.0933,1.355,0.549,2.135,274.5,0.632,0.734,3,1,ISO 9001,12,20593,0.825,0.055,1,68.68,0.104,95.04,4293.88,1.0,0.903,34271,22553,4849,Moderate
SC0000033,JOHN DEERE (DEERE AND COMPANY),Agricultural machinery and equipment,2019,JAN,UNITED STATES,NA,1,Automotive & Transportation,55.68,48.07,61.69,56.29,0.0989,1.229,0.22,2.642,203.12,0.667,0.299,2,0,FSSC 22000; SA8000,24,16848,1.0,0.032,1,84.54,0.487,48.09,6500.03,0.743,0.662,55935,18649,1886,Moderate
SC0000034,CHEVRON CORPORATION,"Crude oil, LNG, refined fuels",2019,JAN,UNITED STATES,NA,1,"Oil, Gas & Refining",63.31,63.77,61.01,63.62,1.0994,1.264,1.058,3.904,282.43,0.53,0.067,0,1,Fairtrade,32,11100,0.92,0.035,0,83.45,0.132,86.83,25908.73,1.52,0.973,60892,7464,3829,High
SC0000035,CODELCO (CORPORACIÃ³N NACIONAL DEL COBRE DE CHILE),"Copper cathodes, concentrates",2019,JAN,CHILE,LAC,1,Metals & Mining (Primary),57.7,65.4,58.79,51.32,0.6166,2.482,2.2,10.782,595.19,0.524,0.836,3,1,ISO 9001,29,12090,0.952,0.009,1,96.98,0.234,56.54,2178.43,0.927,0.93,49443,13523,1263,Moderate
SC0000036,MAHINDRA STEEL/MAHINDRA GROUP SUPPLIERS,"Chassis, steel components",2019,JAN,INDIA,SA,2,Automotive & Transportation,38.47,59.91,72.23,56.21,0.1131,0.343,1.397,4.872,152.63,0.263,0.312,1,0,None,31,5976,0.443,0.029,3,68.24,0.658,44.85,71428.41,0.979,1.269,34596,9341,2553,High
SC0000037,MAHINDRA LOGISTICS/BLUE DART (LOGISTICS SUPPLIERS),Freight and logistics services,2019,JAN,INDIA,SA,2,"Consumer Goods, Retail & Logistics",62.19,58.79,65.9,62.22,0.0719,2.006,0.936,1.792,51.84,0.876,0.488,0,1,Fairtrade; SA8000,19,12097,0.815,0.061,0,72.41,0.106,63.28,27250.89,1.053,0.715,32585,15578,1,High
SC0000038,PT TIMAH TBK,Refined tin and tin alloys,2019,JAN,INDONESIA,EAP,1,Metals & Mining (Primary),66.89,66.99,77.81,56.44,0.4669,5.308,1.302,8.296,347.55,0.485,0.236,3,1,ISO 14001; FSSC 22000; LEED,35,14941,0.962,0.0,1,89.42,0.316,69.21,14857.77,0.906,0.937,62887,4578,790,Moderate
SC0000039,COCOA COOPERATIVES (SMALLHOLDER EXPORTERS),Raw cocoa beans and premium cocoa,2019,JAN,PERU,LAC,2,Agriculture & Agribusiness,58.18,56.92,56.98,61.17,0.0807,0.649,0.519,2.199,437.72,0.436,0.045,2,1,None,21,9410,0.732,0.06,0,88.64,0.088,68.79,7147.07,1.276,1.054,40220,1,3346,High
SC0000040,ADANI GROUP (ADANI ENTERPRISES),"Coal (mining and trading), thermal coal",2019,JAN,INDIA,SA,1,Mining/Energy,79.05,72.44,94.89,72.36,0.1559,2.779,0.515,2.913,93.11,0.591,0.475,3,1,RSPO,16,890,0.956,0.062,0,87.27,0.367,78.67,5798.77,0.772,1.147,36207,19324,2241,Moderate
SC0000041,IKEA INDUSTRY,"Furniture components, wood materials",2019,JAN,SWEDEN,ECA,1,Industrial Manufacturing & Construction,57.98,48.67,62.19,67.68,0.1536,1.184,0.527,2.325,263.23,0.877,0.469,2,0,SA8000; FSSC 22000,11,16353,0.87,0.047,0,100.0,0.593,84.8,18217.07,0.505,0.824,37718,15697,4495,Moderate
SC0000042,SKF GROUP,Bearings and industrial components,2019,JAN,SWEDEN,ECA,1,Industrial Manufacturing & Construction,85.68,84.23,83.78,93.48,0.1565,1.626,1.252,2.51,288.16,0.768,0.173,2,1,Fairtrade; LEED,26,9196,0.865,0.056,2,58.77,0.487,71.8,15481.79,1.143,1.189,76766,6645,5160,Moderate
SC0000043,MONÃ³MEROS COLOMBO VENEZOLANOS,Fertilizers and petrochemical derivatives,2019,JAN,VENEZUELA/COLOMBIA LINKS,LAC,2,Chemicals & Petrochemicals,83.0,76.87,85.11,80.35,0.1144,0.937,0.883,2.55,213.5,0.44,0.182,2,1,None,54,5091,0.91,0.043,1,91.16,0.319,73.96,9515.11,1.383,1.087,44390,21545,2144,Moderate
SC0000044,TOYOTA MOTOR CORPORATION,"Automotive components, hybrid vehicle batteries",2019,JAN,JAPAN,EAP,1,Automotive & Transportation,62.8,66.12,55.27,65.8,0.1413,1.766,0.957,0.841,116.56,0.323,0.45,2,0,SA8000,18,25469,0.939,0.1,0,83.71,0.068,91.07,9589.52,1.308,0.962,41780,6185,2489,Moderate
SC0000045,ZIMPLATS,Platinum group metals (PGMs),2019,JAN,ZIMBABWE,SSA,1,Metals & Mining (Primary),81.42,82.07,79.14,77.66,0.1226,3.27,1.146,2.976,167.58,0.657,0.157,2,0,None,32,11411,0.833,0.035,1,86.82,0.197,87.08,10100.75,1.081,0.855,31481,15660,919,Moderate
SC0000046,INTEL CORPORATION,Microprocessors and chipsets,2019,JAN,UNITED STATES,NA,1,"Electronics, Semiconductors & Technology",67.0,72.01,72.62,59.09,0.206,2.337,0.424,2.547,111.17,0.522,0.25,3,1,RSPO,23,13834,0.887,0.0,1,91.18,0.258,97.74,26056.6,1.096,1.21,45690,11023,5927,Moderate
SC0000047,COMPAÃ±Ã­A DE MINAS BUENAVENTURA,"Gold, silver and base metals mining",2019,JAN,PERU,LAC,1,Metals & Mining (Primary),59.0,64.25,61.12,53.57,0.1482,0.951,1.069,4.263,132.9,0.324,0.001,1,1,None,13,18833,0.835,0.065,2,78.62,0.63,87.17,26576.49,1.153,0.891,34429,1,4811,High
SC0000048,INTEL ISRAEL,Semiconductor RandD and wafers (Intel fabs),2019,JAN,ISRAEL,MENA-AP,1,"Electronics, Semiconductors & Technology",58.93,57.0,52.65,64.57,0.1081,2.333,1.339,3.016,78.81,0.409,0.373,3,1,ISO 14001,18,19890,1.0,0.018,0,79.12,0.689,66.73,14321.76,1.076,1.323,34128,16437,3631,Moderate
SC0000049,DE BEERS,Rough diamonds and diamond sorting/trading,2019,JAN,BOTSWANA,SSA,1,"Consumer Goods, Retail & Logistics",56.94,64.42,55.9,55.8,0.2447,2.048,0.352,4.185,194.56,0.462,0.332,3,1,ISO 9001,19,23637,0.825,0.044,1,78.75,0.382,70.24,15305.38,1.073,1.04,33664,13792,1897,High
SC0000050,CASHEW EXPORTERS AND COOPERATIVES,Raw cashew nuts (export),2019,JAN,GUINEA-BISSAU,SSA,2,Agriculture & Agribusiness,88.65,93.78,78.79,90.48,0.0855,1.011,0.675,2.586,176.78,0.697,0.256,1,0,None,26,12864,0.973,0.043,0,76.57,0.192,66.45,1459.6,1.827,1.369,16185,2471,1089,Moderate
SC0000051,EGYPTIAN NATURAL GAS HOLDING COMPANY (EGAS),Natural gas supply and LNG,2019,JAN,EGYPT,MENA-AP,1,"Oil, Gas & Refining",50.69,57.36,66.6,60.42,0.3959,2.84,1.891,11.607,82.49,0.329,0.118,1,0,None,1,3865,0.51,0.013,3,83.89,0.67,44.07,82314.59,1.065,0.99,43845,11851,1662,High
SC0000052,JOHNSON AND JOHNSON,Pharmaceuticals and medical devices,2019,JAN,UNITED STATES,NA,1,Pharmaceuticals & Healthcare,65.88,58.18,60.78,74.9,0.179,0.96,0.832,0.288,110.47,0.445,0.152,2,1,BRCGS,18,6404,0.817,0.039,3,98.78,0.429,61.76,20161.3,0.567,0.621,70792,11787,2907,High
SC0000053,PRAN-RFL GROUP (BANGLADESH),"Packaged foods, edible oils, beverages",2019,JAN,BANGLADESH,SA,1,Food & Beverage Processing,48.74,52.81,53.6,42.76,0.0714,1.353,0.542,2.181,303.68,0.741,0.04,1,1,Fairtrade; ISO 14001,6,10178,0.878,0.032,2,87.06,0.643,71.93,5127.11,1.208,1.147,26336,10101,6880,High
SC0000054,OCEAN OF MALDIVES EXPORTERS/LOCAL FISHERIES,"Frozen fish, tuna loins, fish meal",2019,JAN,MALDIVES,SA,2,Food & Beverage Processing,59.22,55.6,52.88,60.84,0.1382,2.545,1.708,1.53,177.48,0.608,0.398,3,1,Fairtrade; LEED; FSSC 22000,23,24586,0.888,0.053,1,89.16,0.228,65.17,8173.08,1.295,1.075,39320,10760,3884,Moderate
SC0000055,AFRICAN MINERALS AND LOCAL COAL EXPORTERS (REGIONAL),Coal and mineral concentrates (project-level),2019,JAN,MOZAMBIQUE,SSA,2,Metals & Mining (Primary),67.12,62.61,80.79,62.55,0.1188,1.975,0.304,1.56,159.13,0.649,0.335,0,0,Fairtrade,19,18148,0.893,0.059,0,78.14,0.437,85.26,25223.22,1.241,1.306,36696,21761,4615,High
SC0000056,ULTRATECH CEMENT,"Cement, ready-mix concrete",2019,JAN,INDIA,SA,1,Industrial Manufacturing & Construction,77.59,73.47,79.01,75.19,0.1173,2.8,0.713,3.133,128.91,0.436,0.857,2,1,BRCGS,37,7249,0.9,0.034,1,84.03,0.123,81.95,7200.78,1.187,0.933,17360,17731,4293,Moderate
SC0000057,JOHN DEERE (DEERE AND COMPANY),Agricultural machinery and equipment,2019,JAN,UNITED STATES,NA,1,Automotive & Transportation,61.46,57.21,60.42,63.2,0.0846,1.791,0.404,2.578,155.87,0.297,0.53,2,0,ISO 9001,28,16867,0.929,0.067,0,70.08,0.484,73.33,7707.43,0.922,0.967,1,10394,3805,Moderate
SC0000058,ROLLS-ROYCE,Aerospace engines,2019,JAN,UNITED KINGDOM,ECA,1,"Consumer Goods, Retail & Logistics",72.65,69.39,73.71,75.7,0.0697,2.612,0.492,2.413,224.45,0.564,0.433,1,1,None,23,1707,0.955,0.0,0,86.2,0.257,70.5,20228.04,1.154,0.831,1,14554,3448,Moderate
SC0000059,RIO TINTO EUROPE,"Iron ore, aluminum, copper",2019,JAN,UNITED KINGDOM,ECA,1,Metals & Mining (Primary),70.38,66.42,76.59,69.8,0.3036,6.404,0.39,14.902,427.79,0.429,0.236,2,1,BRCGS; ISO 14001,2,7839,0.873,0.055,0,82.5,0.226,42.84,4854.31,0.865,0.917,31815,14959,1562,Moderate
SC0000060,WALMART INC.,Consumer packaged goods,2019,JAN,UNITED STATES,NA,1,"Consumer Goods, Retail & Logistics",57.3,50.05,56.73,59.6,0.1954,2.992,1.161,2.848,213.31,0.605,0.504,2,1,None,10,21190,0.942,0.0,0,97.8,0.429,75.34,11767.44,0.356,1.041,69811,13794,3229,Moderate
SC0000061,BIOCON LIMITED,Pharmaceuticals and active pharma ingredients (APIs),2019,JAN,INDIA,SA,1,Pharmaceuticals & Healthcare,57.01,83.03,82.06,67.36,0.0643,3.251,0.178,6.739,192.38,0.495,0.325,1,0,None,45,9541,0.669,0.096,3,74.97,0.563,38.85,30387.85,0.454,1.083,17115,8653,2926,High
SC0000062,DILMAH CEYLON TEA COMPANY,"Ceylon tea (black tea, specialty teas)",2019,JAN,SRI LANKA,SA,1,Agriculture & Agribusiness,59.68,57.05,62.14,58.48,0.1152,1.355,0.604,2.288,175.98,0.837,0.661,2,1,ISO 9001,24,8235,0.955,0.033,0,88.09,0.69,69.73,16226.2,1.325,0.724,43913,6421,1157,Moderate
SC0000063,SONANGOL,"Crude oil, LNG (contracts and trading)",2019,JAN,ANGOLA,SSA,1,"Oil, Gas & Refining",69.62,74.79,70.21,59.54,0.6475,2.972,1.42,6.497,176.65,0.519,0.122,3,1,ISO 14001,10,17741,0.965,0.058,1,93.16,0.216,72.17,17552.13,0.613,0.95,5593,13667,4510,High
SC0000064,SADAF PETROCHEMICAL/PERSIAN GULF PETROCHEMICAL COMPLEXES,"Ethylene, propylene, polyolefins",2019,JAN,IRAN,MENA-AP,1,Chemicals & Petrochemicals,91.95,96.6,88.17,91.71,1.0939,3.15,1.207,8.713,362.7,0.791,0.156,2,0,None,12,16256,0.874,0.066,0,76.27,0.07,79.96,19170.64,1.388,0.715,5723,12405,6005,High
SC0000065,ABU DHABI NATIONAL ENERGY COMPANY (TAQA) Â POWER AND UTILITIES,"Electricity generation, water desalination",2019,JAN,UNITED ARAB EMIRATES,MENA-AP,1,Energy & Utilities,83.07,81.34,87.03,74.7,0.2094,2.416,0.608,0.56,169.21,0.608,0.179,2,0,ISO 9001; LEED,8,11725,0.845,0.02,0,78.72,0.055,66.51,15202.54,1.493,1.121,36964,14688,5231,Moderate
SC0000066,PKN ORLEN,"Refined fuels, petrochemicals",2019,JAN,POLAND,ECA,1,"Oil, Gas & Refining",68.47,72.62,64.43,68.75,0.5348,2.318,1.541,7.882,428.74,0.943,0.494,2,1,LEED,39,2791,0.95,0.06,1,80.15,0.277,54.7,17453.96,0.832,0.92,27266,11691,2642,High
SC0000067,AIRBUS,Commercial aircraft and aerospace components,2019,JAN,FRANCE,ECA,1,"Consumer Goods, Retail & Logistics",79.22,85.18,76.97,81.61,0.1195,2.836,0.505,1.283,162.33,0.697,0.661,1,1,FSSC 22000,25,25180,1.0,0.058,0,81.39,0.408,89.08,14127.86,1.14,1.186,44336,18773,1332,Moderate
SC0000068,NESTLÃ© NIGERIA,"Packaged foods, beverages, dairy products",2019,JAN,NIGERIA,SSA,1,"Consumer Goods, Retail & Logistics",69.32,74.37,67.81,62.91,0.0858,1.99,0.296,2.119,192.42,0.56,0.601,2,1,RSPO,23,14306,0.897,0.014,1,71.78,0.387,99.0,29065.05,0.979,1.13,5268,19152,1829,Moderate
SC0000069,NEMEX,"Stamped, molded auto parts (tier suppliers)",2019,JAN,MEXICO,LAC,2,Automotive & Transportation,55.8,57.98,54.19,57.63,0.0328,1.727,1.103,2.86,45.73,0.371,0.372,3,1,LEED; FSSC 22000; ISO 9001,6,8658,0.958,0.032,1,71.63,0.449,59.41,19038.95,0.704,0.457,38453,8045,5028,Moderate
SC0000070,SUMITOMO METAL MINING,Nickel,2019,JAN,JAPAN,EAP,1,Metals & Mining (Primary),67.315,54.94,65.63,69.29,0.1012,2.427,0.24,3.076,51.1,0.78,0.509,2,1,None,2,781,0.918,0.0,0,92.1,0.621,79.6,15872.58,0.794,1.107,58254,4832,6508,Moderate
SC0000071,TOFAS (FIAT TURKEY),Automobiles,2019,JAN,TURKEY,ECA,1,Automotive & Transportation,57.88,58.55,57.11,60.48,0.155,2.644,1.066,4.222,297.69,0.773,0.316,3,1,LEED,57,13662,0.993,0.037,0,77.07,0.237,64.43,9935.64,0.892,1.267,50133,12111,4558,Moderate
SC0000072,MICRON TECHNOLOGY,"Memory chips (DRAM, NAND)",2019,JAN,UNITED STATES,NA,1,"Electronics, Semiconductors & Technology",64.85,64.19,68.92,63.1,0.1953,0.862,0.502,3.406,210.03,0.394,0.439,3,1,FSSC 22000; LEED,24,4226,0.983,0.037,1,85.55,0.207,75.24,25362.23,0.983,1.188,25638,7787,3683,Moderate
