SC_ID,Year,Month,Country,Region,Industry_Sector,Supplier_Tier,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,GHG_Scope1_Intensity,GHG_Scope2_Intensity,GHG_Scope3_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Certifications_Active,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Incident_History_Count,Labour_Compliance_Score,Diversity_Index,Financial_Stability_Score,Freight_Cost,Cost_Index,Commodity_Price_Index,Commodity_Demand,Trade_Volume,Logistics_Distance_km,Risk_Classification
SC0000038,2024.0,OCT,INDIA,SA,Pharmaceuticals & Healthcare,1,64.12,60.95,71.7,60.11,0.1023,1.431,1.082,2.604,13.7,0.741,0.48,1,1,BRCGS,24.0,9147.0,1.0,0.0,0.0,98.12,0.046,99.0,15466.24,0.774,0.971,29201.0,2348.0,1732.0,Moderate
SC0000039,2024.0,FEB,JAPAN,EAP,Japan,1,63.79,62.0,56.53,69.31,0.1282,2.835,1.629,1.427,70.91,0.688,0.0,3,1,BRCGS,40.0,6710.0,0.952,0.034,0.0,77.4,0.161,62.72,25174.79,0.703,0.618,52228.0,7501.0,3699.0,Moderate
SC0000040,2024.0,MAR,KAZAKHSTAN,ECA,"Oil, Gas & Refining",1,73.22,75.59,78.05,64.4,0.6821,3.282,0.785,13.051,592.19,0.734,0.443,2,1,BRCGS,24.0,17266.0,0.851,0.021,0.0,93.89,0.169,69.09,23824.32,1.474,1.532,47898.0,13294.0,4077.0,High
SC0000041,2021.0,FEB,PERU,LAC,"Consumer Goods, Retail & Logistics",1,63.46,68.41,62.07,60.33,0.8048,4.585,2.711,10.57,363.28,0.344,0.427,3,0,Fairtrade; FSSC 22000,12.0,12996.0,0.883,0.062,0.0,64.98,0.201,68.7,16801,0.939,0.753,46299.0,4670.0,1.0,High
SC0000042,2019.0,MAR,MALAYSIA,EAP,Agriculture & Agribusiness,1,49.55,46.28,48.92,51.33,0.0937,1.066,0.24,2.61,230.63,0.771,0.395,2,0,BRCGS,19.0,9923.0,0.849,0.044,2.0,87.29,0.246,72.89,3963.2,1.667,0.894,3386.0,5561.0,1830.0,High
SC0000043,2023.0,FEB,LIBYA,MENA-AP,"Oil, Gas & Refining",1,60.975,62.2,59.92,62.89,0.0367,3.204,1.684,9.166,120.28,0.447,0.528,2,1,ISO 14001; Fairtrade,12.0,14827.0,0.63,0.047,2.0,84.12,0.156,71.2,16225.97,1.571,1.527,47309.0,16786.0,4573.0,High
SC0000044,2023.0,NOV,UGANDA,SSA,Agriculture & Agribusiness,2,30.96,47.92,37.26,44.01,0.1032,1.441,1.03,3.015,279.59,0.561,0.452,1,0,BRCGS,25.0,3363.0,0.314,0.026,2.0,91.14,0.266,30.66,5738.96,0.887,0.636,27180.0,15789.0,2503.0,High
SC0000045,2023.0,JAN,URUGUAY,LAC,"Oil, Gas & Refining",1,73.34,73.84,79.21,68.91,0.623,6.26,1.987,5.203,290.3,0.705,0.315,1,1,SA8000,58.0,3378.0,0.753,0.004,2.0,77.23,0.345,72.47,30953.38,1.141,1.43,28812.0,9425.0,3355.0,High
SC0000046,2025.0,APR,NIGERIA,SSA,Industrial Manufacturing & Construction,1,57.84,59.53,59.31,53.86,0.1877,1.874,1.064,2.447,235.24,0.56,0.431,1,0,RSPO; ISO 14001,29.0,7054.0,0.868,0.067,1.0,91.56,0.185,45.81,12973.4,1.168,1.023,76543.0,13073.0,4001.0,High
SC0000047,2024.0,JUL,DEMOCRATIC REPUBLIC OF THE CONGO,SSA,"Consumer Goods, Retail & Logistics",1,74.62,69.98,83.87,73.14,0.1632,2.694,0.252,3.514,70.8,0.955,0.179,2,1,ISO 9001,31.0,4206.0,1.0,0.04,1.0,81.19,0.331,50.75,24099.12,0.855,0.679,37849.0,2493.0,1.0,Moderate
SC0000048,2024.0,FEB,BAHRAIN,MENA-AP,Steel & Metallurgical,1,74.2,69.76,82.7,65.57,0.9642,0.899,1.408,6.861,646.06,0.731,0.116,2,1,RSPO,39.0,12284.0,0.863,0.026,1.0,92.46,0.512,68.32,16351.79,0.82,0.855,29909.0,6094.0,4417.0,High
SC0000049,2021.0,JAN,GUINEA,SSA,Metals & Mining (Primary),1,73.56,74.53,73.22,78.97,0.0952,0.455,0.851,2.904,304.94,0.502,0.201,2,0,BRCGS,28.0,315.0,0.939,0.052,2.0,69.01,0.264,75.25,19243.99,0.969,1.021,39859.0,17509.0,4195.0,High
SC0000050,2025.0,AUG,INDIA,SA,Agribusiness/Food,1,67.58,61.51,62.95,78.56,0.0517,0.854,0.298,4.229,254.62,0.585,1.0,3,1,BRCGS,32.0,9442.0,0.808,0.136,0.0,87.96,0.219,49.93,16402.68,0.761,0.91,21822.0,9386.0,3039.0,Moderate
SC0000051,2020.0,JUL,CHILE,LAC,Metals & Mining (Primary),1,66.24,55.85,68.11,73.29,0.5688,4.057,0.209,9.509,97.63,0.49,0.353,2,0,RSPO,31.0,9501.0,0.618,0.011,0.0,83.0,0.125,80.18,16386,0.531,1.023,25650.0,12810.0,3427.0,High
SC0000052,2024.0,FEB,UNITED KINGDOM,ECA,Pharmaceuticals & Healthcare,1,63.96,65.49,64.01,62.96,0.1748,0.461,0.411,2.382,244.16,0.374,0.718,2,1,SA8000; ISO 14001,17.0,6815.0,0.867,0.048,1.0,67.36,0.234,89.69,2509.13,0.875,1.085,48618.0,5798.0,1118.0,Moderate
SC0000053,2023.0,FEB,GERMANY,ECA,Automotive & Transportation,1,67.77,69.82,70.93,60.12,0.226,1.389,0.944,2.216,110.49,0.42,0.786,3,1,BRCGS,41.0,13164.0,0.785,0.026,0.0,80.69,0.563,49.6,17029.88,0.819,0.615,24292.0,10088.0,1.0,Moderate
SC0000054,2019.0,APR,ARMENIA,ECA,Food & Beverage Processing,2,81.38,82.95,82.2,75.37,0.0489,1.713,0.195,0.476,182.25,0.571,0.377,2,1,LEED; ISO 9001,10.0,1988.0,0.929,0.07,0.0,66.99,0.127,70.9,16294.73,0.932,1.199,45476.0,9470.0,3086.0,Moderate
SC0000055,2019.0,MAY,SOUTH AFRICA,SSA,Chemicals & Petrochemicals,1,64.53,56.89,67.41,68.43,0.1372,1.464,0.904,3.411,168.76,0.733,0.098,3,0,ISO 9001,17.0,17759.0,0.861,0.045,0.0,64.96,0.185,96.19,10552.87,0.35,1.228,43281.0,15182.0,3115.0,Moderate
SC0000056,2025.0,APR,BAHRAIN,MENA-AP,"Oil, Gas & Refining",1,45.24,40.87,47.74,43.97,0.2453,0.798,2.276,4.701,36.09,0.735,0.0,2,1,BRCGS,58.0,14917.0,0.545,0.017,1.0,74.08,0.18,67.15,16012.28,1.309,1.297,42584.0,18587.0,4682.0,High
SC0000057,2020.0,APR,NIGERIA,SSA,Food & Beverage Processing,1,69.61,61.63,76.11,65.68,0.0973,1.152,0.179,1.204,157.62,0.351,0.0,2,1,ISO 14001; SA8000,31.0,5375.0,0.521,0.128,1.0,77.42,0.249,77.68,10380.18,1.016,1.311,43819.0,15982.0,6258.0,High
SC0000058,2024.0,JAN,INDIA,SA,Food & Beverage Processing,1,60.02,57.78,68.75,56.89,0.0922,0.811,0.614,2.652,153.92,0.468,0.328,2,1,LEED; FSSC 22000; ISO 14001,32.0,4647.0,0.756,0.071,1.0,75.49,0.637,59.84,12782.4,0.79,1.222,63084.0,13052.0,5291.0,High
SC0000059,2020.0,MAY,INDIA,SA,"Oil, Gas & Refining",1,77.77,81.69,77.43,79.86,0.6314,3.443,1.537,3.271,377.38,0.281,0.887,3,1,BRCGS,59.0,591.0,0.805,0.097,1.0,79.38,0.305,87.5,13874.23,0.782,1.444,6112.0,5808.0,2064.0,High
SC0000060,2024.0,MAY,BOLIVIA,LAC,"Oil, Gas & Refining",1,64.65,69.29,68.74,58.61,0.6408,3.731,1.45,3.818,238.33,0.385,0.798,1,0,ISO 14001,5.0,22131.0,0.469,0.031,2.0,88.42,0.628,60.11,10226.83,0.886,1.187,48372.0,13821.0,5731.0,High
SC0000061,2022.0,JUN,CZECH REPUBLIC,ECA,Energy & Utilities,1,66.52,68.88,69.98,66.28,0.1082,1.305,0.829,1.807,173.95,0.233,0.548,2,1,BRCGS,18.0,8659.0,0.936,0.025,0.0,97.05,0.439,61.69,21119.45,1.368,1.026,20797.0,22316.0,1544.0,Moderate
SC0000062,2023.0,AUG,INDIA,SA,Steel & Metallurgical,1,65.16,57.19,61.7,71.28,0.1927,4.656,1.559,12.129,116.34,0.451,0.793,2,0,ISO 9001,1.0,10353.0,0.756,0.074,0.0,97.04,0.302,48.9,18280.22,0.723,0.803,37742.0,1.0,5486.0,Moderate
SC0000063,2021.0,JUL,SAUDI ARABIA,MENA-AP,Chemicals & Petrochemicals,1,80.93,74.14,92.14,78.36,0.586,1.37,1.439,6.257,422.7,0.437,0.425,3,1,LEED; FSSC 22000,46.0,9693.0,0.898,0.085,1.0,93.27,0.458,57.19,12155.1,1.317,0.843,29117.0,16382.0,3671.0,High
SC0000064,2020.0,JUL,GEORGIA,ECA,"Consumer Goods, Retail & Logistics",2,64.26,64.33,71.76,57.01,0.032,1.89,0.479,2.921,239.13,0.527,0.263,1,1,FSSC 22000,70.0,5784.0,0.568,0.117,0.0,90.51,0.316,68.88,21612.47,0.46,1.05,1.0,2886.0,3696.0,High
SC0000065,2020.0,NOV,KAZAKHSTAN,ECA,Metals/Mining,1,80.78,77.04,77.06,85.68,0.9334,8.557,2.503,4.164,297.79,0.767,0.086,2,1,BRCGS,72.0,6584.0,0.83,0.033,0.0,74.05,0.419,84.44,13443.99,0.847,0.815,31014.0,13906.0,3417.0,High
SC0000066,2023.0,MAR,PAKISTAN,MENA-AP,Food & Beverage Processing,2,64.99,60.42,69.56,60.17,0.0803,1.416,0.417,2.691,168.47,0.391,0.324,3,0,ISO 9001; BRCGS,38.0,14394.0,0.916,0.047,1.0,88.1,0.168,89.47,120.97,0.458,1.431,28047.0,8716.0,1037.0,Moderate
SC0000067,2019.0,JUL,INDIA,SA,"Oil, Gas & Refining",1,33.16,60.29,63.18,64.74,0.0981,4.301,2.301,3.17,71.45,0.75,0.303,1,0,BRCGS,19.0,3591.0,0.386,0.0,2.0,82.83,0.347,27.74,20807.91,1.508,1.021,1.0,7758.0,1.0,High
SC0000068,2024.0,SEP,BANGLADESH,SA,Pharmaceuticals & Healthcare,1,66.12,61.79,67.63,66.73,0.051,2.385,0.616,2.193,156.68,0.831,0.668,3,1,BRCGS,16.0,14821.0,0.968,0.003,1.0,81.75,0.151,68.5,14523.16,1.206,1.104,40143.0,18860.0,2926.0,Moderate
SC0000069,2020.0,DEC,INDIA,SA,"Oil, Gas & Refining",1,76.11,74.78,76.41,72.63,0.4442,1.835,1.304,5.737,225.26,0.284,0.21,3,1,RSPO,43.0,6839.0,0.705,0.053,0.0,94.45,0.368,83.26,18571.06,1.196,0.977,34776.0,15085.0,1.0,High
SC0000070,2019.0,OCT,NEPAL,SA,Food & Beverage Processing,1,82.02,83.83,70.05,88.84,0.096,1.165,0.306,2.299,251.33,0.776,0.693,3,0,BRCGS,30.0,12379.0,0.81,0.045,0.0,96.29,0.401,94.38,11377.69,0.476,1.028,44346.0,12521.0,3628.0,Moderate
SC0000071,2021.0,JUL,INDIA,SA,Automotive & Transportation,2,70.86,70.53,77.8,65.09,0.2415,2.094,0.505,2.801,178.93,0.82,0.209,1,0,RSPO,53.0,29396.0,0.998,0.039,2.0,95.72,0.222,73.1,10452.88,0.721,0.998,44455.0,16858.0,6275.0,Moderate
SC0000072,2024.0,NOV,BAHRAIN,MENA-AP,Steel & Metallurgical,1,76.17,79.61,75.08,69.77,0.5564,7.198,1.018,6.981,635.8,0.61,0.393,1,1,BRCGS; ISO 9001; RSPO,9.0,13808.0,0.804,0.034,0.0,82.83,0.251,46.22,29053.17,0.881,1.154,37593.0,15563.0,949.0,High
SC0000073,2023.0,OCT,SOUTH KOREA,EAP,"Electronics, Semiconductors & Technology",1,54.48,46.93,49.69,65.93,0.1663,2.273,0.562,2.215,165.01,0.511,0.537,3,1,BRCGS,16.0,23009.0,1.0,0.047,1.0,90.09,0.524,67.26,6775.93,1.115,0.694,59541.0,21218.0,5724.0,Moderate
SC0000074,2024.0,JAN,ITALY,ECA,Energy & Utilities,1,59.08,67.98,51.88,61.44,0.0969,1.774,0.874,2.617,209.31,0.737,0.165,3,1,BRCGS,31.0,9992.0,0.925,0.0,2.0,83.04,0.402,65.69,14278.2,0.814,1.012,46641.0,18946.0,1846.0,Moderate
SC0000075,2021.0,SEP,SINGAPORE,EAP,Agriculture & Agribusiness,1,71.69,70.49,70.31,66.45,0.13,1.531,0.45,1.508,323.57,0.492,0.429,2,1,RSPO,32.0,17712.0,0.698,0.02,1.0,69.74,0.208,78.68,9117.76,1.115,0.8,21766.0,8131.0,3510.0,Moderate
SC0000076,2019.0,FEB,TURKEY,ECA,Automotive & Transportation,1,71.21,70.11,75.07,73.01,0.1622,1.931,0.622,1.041,135.96,1.0,0.022,2,0,BRCGS,35.0,12822.0,0.808,0.066,0.0,85.53,0.515,72.32,16628.03,0.919,0.772,60783.0,1.0,2526.0,Moderate
SC0000077,2025.0,JUL,TURKEY,ECA,Chemicals & Petrochemicals,1,72.52,62.62,71.47,78.4,0.7083,5.039,1.721,4.148,207.87,0.374,0.366,2,0,SA8000; ISO 14001,30.0,253.0,0.491,0.049,0.0,87.26,0.265,80.93,18832.59,0.631,1.232,34074.0,10029.0,3294.0,High
SC0000078,2022.0,NOV,ZIMBABWE,SSA,Metals & Mining (Primary),1,55.61,67.52,49.09,57.11,0.1607,2.547,1.1,0.521,110.3,0.5,0.538,2,1,BRCGS,23.0,11949.0,0.899,0.027,0.0,98.62,0.195,64.9,15819.31,1.029,1.387,34139.0,11669.0,3574.0,Moderate
SC0000079,2023.0,MAR,SWITZERLAND,ECA,Industrial Manufacturing & Construction,1,79.2,77.4,84.38,77.63,0.1044,1.388,1.362,3.709,74.11,0.458,0.666,0,1,SA8000,27.0,10424.0,0.906,0.0,0.0,94.29,0.146,81.03,5770.42,1.257,0.769,52551.0,18944.0,1.0,Moderate
SC0000080,2022.0,AUG,PERU,LAC,Metals & Mining (Primary),1,53.13,61.55,55.02,46.28,0.1482,1.544,1.175,1.021,101.69,0.993,0.553,3,1,BRCGS,35.0,11810.0,0.946,0.003,1.0,88.11,0.192,91.1,19720.33,1.02,1.233,40965.0,11085.0,3136.0,Moderate
SC0000081,2025.0,MAR,INDIA,SA,Agribusiness/Food,1,68.13,71.58,75.06,60.99,0.0612,1.609,0.375,2.516,301.53,0.737,0.569,3,1,BRCGS,31.0,13903.0,0.593,0.034,1.0,84.8,0.357,77.31,15226.29,1.548,0.916,25801.0,8854.0,4121.0,Moderate
SC0000082,2019.0,OCT,SENEGAL,SSA,Agriculture & Agribusiness,2,71.81,75.34,80.94,68.71,0.0269,1.47,1.012,2.269,62.28,0.668,0.646,1,1,ISO 14001,20.0,21925.0,0.956,0.1,0.0,66.09,0.406,68.81,15173.39,1.598,0.639,47614.0,9863.0,2760.0,Moderate
