SC_ID,Supplier_Name,Commodity_Name,Year,Month,Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,GHG_Scope1_Intensity,GHG_Scope2_Intensity,GHG_Scope3_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Certifications_Active,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Incident_History_Count,Labour_Compliance_Score,Diversity_Index,Financial_Stability_Score,Freight_Cost,Cost_Index,Commodity_Price_Index,Commodity_Demand,Trade_Volume,Logistics_Distance_km,Risk_Classification,Emission_to_Capacity_Ratio,Operational_Reliability_Index,LeadTime_Capacity_Ratio,Green_Efficiency_Score,Resilience_Score,Sustainability_Risk_Index,ESG_Compliance_Composite,Social_Responsibility_Score,Regional_Risk_Index,Emission_Per_Dollar,Emission_Votality,GHG_Type_Dominance_Score
SC0000011,HARMONY GOLD,Gold mining and related commodities,2025.0,JUN,SOUTH AFRICA,SSA,1,Metals & Mining (Primary),65.42,65.17,70.53,62.25,0.0892,0.329,0.025,1.292,108.19,0.69,0.425,1,1,ISO 9001; ISO 14001,23.0,23548.0,0.94,0.054,1.0,77.54,0.206,74.79,15823.35,1.255,1.131,28824.0,18238.0,1579.0,High,3.7880074740954646e-06,0.8892399999999999,0.0009767283845761848,0.5575,0.22168753199999996,49.82466666666666,52.58533333333333,69.38499999999999,32.80567869768027,0.07107569721115539,0.09830116227808029,0.7849331713244228
SC0000012,SIEMENS AG,"Industrial automation equipment, turbines",2022.0,JAN,GERMANY,ECA,1,Industrial Manufacturing & Construction,59.32,63.33,53.62,56.73,0.0892,0.896,0.407,1.022,137.28,0.646,0.28,2,1,BRCGS,13.0,23943.0,0.93,0.023,3.0,92.81,0.172,72.48,23341.43,1.153,0.961,18542.0,18621.0,4062.0,High,3.7255147642317172e-06,0.90861,0.0005429561876122458,0.463,0.43904035199999997,42.096333333333334,62.25866666666666,60.25,16.969803946460363,0.07736339982653946,0.13959099247507634,0.43956989247311823
SC0000013,EQUINOR,Oil and natural gas,2024.0,JUN,NORWAY,ECA,1,Energy & Utilities,62.04,66.09,55.12,66.3,0.2161,2.175,1.047,1.184,165.61,0.437,0.463,2,0,BRCGS,48.0,6795.0,0.769,0.082,1.0,89.94,0.141,67.24,33508.29,1.686,1.69,40972.0,11369.0,1.0,High,3.18027961736571e-05,0.7059420000000001,0.00706401766004415,0.45,0.3164502672,52.31183333333333,63.89066666666666,60.38,61.77620910634777,0.12817319098457888,0.16389156745851283,0.49364502950522016
SC0000014,BHP GROUP,Nickel,2023.0,OCT,AUSTRALIA,EAP,1,Australia,73.98,78.51,69.2,76.55,0.0658,3.344,1.358,3.181,273.28,0.39,0.0,2,1,BRCGS,34.0,23373.0,0.942,0.034,0.0,88.04,0.571,72.94,1151.99,1.054,1.288,40907.0,16329.0,3606.0,Moderate,2.8152141359688527e-06,0.9099719999999999,0.001454669918281778,0.195,0.4424890511999999,34.89533333333333,71.05466666666666,76.02,38.369998277915826,0.06242884250474383,0.14718537424688857,0.4242039832551059
SC0000015,FIRST QUANTUM MINERALS,"Copper concentrate, copper cathode, gold by-products",2021.0,JUN,ZAMBIA,SSA,1,Metals & Mining (Primary),62.07,53.64,67.96,60.55,0.149,1.598,0.75,2.709,269.36,0.739,0.596,3,1,SA8000,36.0,13721.0,0.987,0.033,1.0,88.25,0.371,68.83,16159.12,0.449,0.837,36837.0,6228.0,4949.0,Moderate,1.085926681728737e-05,0.954429,0.00262371547263319,0.6675,0.6569334807,23.7355,77.242,71.39999999999999,10.904098051499926,0.33184855233853006,0.21537538002257064,0.5356930986751038
SC0000016,MOZAL,Primary aluminium (smelting output),2021.0,DEC,MOZAMBIQUE,SSA,1,Steel & Metallurgical,65.4,63.27,63.28,70.9,0.6596,5.763,4.096,7.254,422.46,0.637,0.952,2,0,ISO 9001,33.0,442.0,0.721,0.068,0.0,86.28,0.13,56.83,22254.6,0.765,0.767,46763.0,9661.0,1.0,High,0.0014923076923076923,0.6719719999999999,0.0746606334841629,0.7945,0.2545877917333333,48.40833333333333,65.90666666666667,64.24000000000001,38.94667245585555,0.8622222222222221,0.48308563812106725,0.423888272073862
SC0000017,KYOCERA CORPORATION,Electronic components and ceramic materials,2021.0,AUG,JAPAN,EAP,1,"Electronics, Semiconductors & Technology",66.06,70.78,67.32,63.36,0.052,1.243,0.995,3.705,126.0,0.357,0.14,2,1,RSPO,1.0,6594.0,0.817,0.012,0.0,80.73,0.182,77.96,12386.06,0.958,1.114,32773.0,16224.0,2133.0,Moderate,7.885956930542918e-06,0.8071959999999999,0.00015165301789505612,0.2485,0.41952666773333325,35.882333333333335,66.30266666666667,67.3,11.28206841439308,0.05427974947807933,0.08753351834409687,0.6234225138818779
SC0000018,SAMSUNG SDI,Lithium-ion battery cells,2019.0,MAY,SOUTH KOREA,EAP,1,Energy & Utilities,87.02,91.81,91.97,74.82,0.0082,0.871,0.933,1.952,76.69,0.516,0.239,3,1,BRCGS,10.0,10303.0,0.881,0.04,2.0,78.56,0.232,45.94,14960.38,0.836,1.046,71297.0,14368.0,5999.0,Moderate,7.958846937785112e-07,0.84576,0.0009705910899737941,0.3775,0.388542144,17.287999999999997,92.21199999999999,80.62499999999999,17.11801166854679,0.009808612440191388,0.10598570690375861,0.5197018104366347
SC0000019,ETHIOPIAN PETROLEUM SUPPLY ENTERPRISE (STATE),Fuel distribution and refined products,2020.0,JAN,ETHIOPIA,SSA,2,"Oil, Gas & Refining",81.54,76.8,79.52,91.01,0.6652,3.546,3.065,5.143,4.89,0.617,0.635,2,0,RSPO,23.0,12188.0,0.719,0.016,0.0,94.42,0.179,83.56,19042.97,1.346,1.225,41986.0,15371.0,1953.0,High,5.457827371184772e-05,0.707496,0.0018871020676074829,0.626,0.3941224384,51.61433333333333,75.59066666666668,73.34,22.160033947630776,0.4942050520059435,0.4278612814351846,0.4375531733877829
SC0000020,SOUTHERN COPPER CORPORATION (MEXICO OPERATIONS),"Copper concentrate, refined copper",2022.0,JAN,MEXICO,LAC,1,Metals & Mining (Primary),58.25,54.64,55.63,63.06,0.7559,5.265,2.705,5.523,402.69,0.397,0.0,1,1,BRCGS,27.0,12144.0,0.973,0.09,0.0,87.39,0.258,80.75,24660.71,0.821,1.272,15209.0,6915.0,5776.0,High,6.224472990777339e-05,0.88543,0.002223320158102767,0.1985,0.23832824166666666,62.49166666666667,48.28333333333333,62.974999999999994,45.62339979297095,0.920706455542022,0.618825723851776,0.40932335284962573
SC0000021,HEMAS HOLDINGS PLC,"Pharmaceuticals, consumer goods, agro products",2023.0,NOV,SRI LANKA,SA,2,Pharmaceuticals & Healthcare,83.48,80.0,92.22,71.75,0.0763,1.611,1.252,2.245,176.07,0.6,0.265,3,1,ISO 14001,19.0,8593.0,0.926,0.041,1.0,70.61,0.523,65.16,14351.67,1.046,0.641,11588.0,8492.0,8161.0,Moderate,8.879320377051088e-06,0.888034,0.0022111020598161294,0.4325,0.5786429543999999,23.379500000000004,90.08800000000001,86.57000000000001,3.2682218120423276,0.07294455066921607,0.19810482633158055,0.43950665622552854
SC0000022,BIOCON LIMITED,Pharmaceuticals and active pharma ingredients (APIs),2020.0,JUL,INDIA,SA,1,Pharmaceuticals & Healthcare,68.82,68.29,64.25,73.83,0.1618,2.826,0.466,2.809,108.69,0.485,0.76,3,1,BRCGS,65.0,14508.0,0.605,0.089,0.0,79.65,0.295,68.31,15555.33,0.852,0.84,24799.0,3046.0,2864.0,Moderate,1.1152467604080508e-05,0.551155,0.004480286738351254,0.6225,0.3764939805,27.738000000000003,81.292,68.025,21.663599359323186,0.189906103286385,0.16022081700141066,0.4632027536469431
SC0000023,ENGRO CORPORATION/ENGRO FERTILIZERS,"Urea, DAP, specialty fertilizers, petrochemicals",2023.0,JUL,PAKISTAN,MENA-AP,1,Fertilizers,57.9,55.67,57.29,56.08,0.4952,0.01,1.188,4.687,468.04,0.615,0.333,2,1,Fairtrade; ISO 9001,43.0,8352.0,0.903,0.0,3.0,83.21,0.429,74.51,31498.26,1.456,1.925,16668.0,15786.0,1.0,High,5.9291187739463595e-05,0.903,0.005148467432950192,0.474,0.4485502,57.28833333333334,61.406666666666666,67.225,42.48403887742643,0.3401098901098901,0.39386758766671354,0.7964316057774002
SC0000024,SÃO TOMÉ AND PRÍNCIPE Â COCOA COOPERATIVES AND SMALLHOLDER EXPORTERS,Cocoa beans (specialty and bulk),2025.0,JUN,SÃO TOMÉ AND PRÍNCIPE,SSA,2,Agriculture & Agribusiness,35.03,31.28,40.54,38.42,0.0869,1.335,0.116,2.408,245.81,0.481,0.162,2,0,BRCGS,33.0,12124.0,0.82,0.022,1.0,98.46,0.358,82.11,11782.33,1.052,0.968,18407.0,10326.0,5765.0,High,7.167601451666117e-06,0.8019599999999999,0.002721873968987133,0.3215,0.4389929039999999,49.02533333333333,47.684666666666665,57.42999999999999,4.966999774883828,0.08260456273764259,0.1848404086078872,0.6239958538481472
SC0000025,NTPC LIMITED,"Electricity generation (thermal, renewable)",2021.0,FEB,INDIA,SA,1,Energy & Utilities,74.95,81.84,65.91,78.79,0.0531,2.309,0.737,2.752,158.31,0.535,0.127,2,1,Fairtrade; RSPO,28.0,9408.0,0.953,0.025,0.0,59.49,0.405,86.25,19472.46,0.772,0.956,20745.0,3958.0,3763.0,Moderate,5.644132653061225e-06,0.929175,0.002976190476190476,0.331,0.534275625,30.008333333333333,71.63666666666667,71.055,21.663599359323186,0.06878238341968912,0.11803018985799552,0.47464642980338045
SC0000026,COMPAGNIE SUCRIÃ¨RE SÃ©NÃ©GALAISE (CSS),Sugar,2024.0,FEB,SENEGAL,SSA,2,Agriculture & Agribusiness,47.66,65.85,61.99,74.06,0.196,0.207,0.604,4.199,64.84,0.399,0.363,1,0,BRCGS,17.0,4833.0,0.321,0.071,2.0,77.83,0.256,25.38,50848.64,0.968,1.124,35778.0,14523.0,3129.0,High,4.0554521001448376e-05,0.298209,0.0035174839644113386,0.381,0.025228481399999995,54.40566666666666,41.92933333333333,66.115,10.370824658077769,0.20247933884297523,0.1754413974433066,0.83812375249501
SC0000027,PDVSA (PETRÃLEOS DE VENEZUELA S.A.),Crude oil and petroleum products,2022.0,MAY,VENEZUELA,LAC,1,"Oil, Gas & Refining",52.82,54.85,48.7,51.59,0.5267,0.143,2.806,6.536,293.8,0.639,0.305,2,1,BRCGS,14.0,15518.0,0.611,0.075,1.0,89.77,0.327,63.61,8295.59,1.026,1.163,39326.0,17813.0,8110.0,High,3.394122953988916e-05,0.565175,0.000902178115736564,0.472,0.2396718783333333,53.40383333333334,58.35866666666667,60.89,78.120009635022,0.5133528265107212,0.49195650388399415,0.6890880337374802
SC0000028,CARGILL BRASIL (CARGILL),"Soybeans, grains, vegetable oils, agricultural commodities",2022.0,JUL,BRAZIL,LAC,1,Agriculture & Agribusiness,63.04,57.14,61.34,71.43,0.0376,0.642,0.643,2.868,276.85,0.674,0.742,1,1,BRCGS,34.0,16063.0,0.49,0.017,0.0,76.2,0.374,65.42,1771.94,0.973,0.914,26310.0,14941.0,853.0,Moderate,2.340783166282762e-06,0.48167,0.0021166656290854758,0.708,0.10503617133333333,45.13766666666667,51.157333333333334,68.15,49.36080081817054,0.03864337101747174,0.09189081607508555,0.6905851191909462
SC0000029,TURKISH AIRLINES (CARGO DIVISION),Air freight services,2020.0,NOV,TURKEY,ECA,2,"Consumer Goods, Retail & Logistics",66.92,58.95,81.1,56.72,0.171,0.555,1.317,2.814,313.42,0.595,0.554,3,1,BRCGS,36.0,13076.0,0.478,0.125,0.0,76.85,0.499,54.81,8934.29,1.035,0.897,29438.0,3668.0,2771.0,High,1.307739369837871e-05,0.41825,0.0027531355154481493,0.5745,0.229242825,31.377999999999993,80.152,80.53,41.641773307263946,0.16521739130434784,0.2067397662901791,0.6005121638924455
SC0000030,TVS MOTOR COMPANY,"Motorcycles, auto components",2022.0,FEB,INDIA,SA,1,Automotive & Transportation,67.4,66.13,73.1,67.7,0.0266,0.768,0.218,2.85,3.51,0.973,0.542,2,1,SA8000,13.0,7080.0,0.9,0.0,0.0,100.0,0.153,94.17,9709.18,1.094,1.13,29651.0,25127.0,4437.0,Moderate,3.757062146892655e-06,0.9,0.0018361581920903955,0.7575000000000001,0.56502,36.81833333333333,67.10666666666667,69.61,21.663599359323186,0.024314442413162704,0.07970679314097881,0.7429614181438998
SC0000031,BRF S.A.,"Processed poultry, pork and prepared foods",2023.0,JAN,BRAZIL,LAC,1,Food & Beverage Processing,65.46,65.07,70.93,57.43,0.0656,0.335,0.648,1.03,209.74,0.655,0.469,3,0,Fairtrade,42.0,11939.0,0.909,0.039,0.0,88.27,0.476,83.86,15830.47,1.086,0.636,1.0,11908.0,6393.0,Moderate,5.494597537482202e-06,0.873549,0.003517882569729458,0.562,0.7325581914,30.019000000000005,79.276,74.98499999999999,49.36080081817054,0.060405156537753225,0.1735264379882589,0.5116741182314953
SC0000032,STMICROELECTRONICS,"Semiconductors, microcontrollers",2022.0,DEC,FRANCE,ECA,1,"Electronics, Semiconductors & Technology",76.48,86.51,82.16,62.91,0.211,1.472,1.158,2.737,15.03,0.56,0.214,2,1,ISO 9001,28.0,10.0,0.947,0.079,1.0,81.47,0.385,80.42,16796.11,0.974,1.093,42960.0,16466.0,3280.0,High,0.0211,0.872187,2.8,0.387,0.46760852360000005,36.450333333333326,72.55466666666666,78.78,26.886750586704434,0.2166324435318275,0.17629034726751447,0.509968324948761
SC0000033,ENGRO FERTILIZERS,"Urea, specialty fertilizers",2022.0,NOV,PAKISTAN,SA,1,Fertilizers,69.24,80.04,87.79,80.32,0.1454,1.778,1.593,4.465,28.31,0.784,0.252,1,0,BRCGS,1.0,2104.0,0.342,0.059,2.0,73.84,0.497,41.16,47293.27,0.996,0.97,34762.0,19989.0,7228.0,High,6.9106463878327e-05,0.32182200000000005,0.0004752851711026616,0.518,0.0441539784,46.007666666666665,54.877333333333326,83.83500000000001,17.70602931550021,0.1459839357429719,0.19576565605237614,0.569806023481368
SC0000034,BASF,"Chemicals, plastics, specialty materials",2024.0,MAY,GERMANY,ECA,1,Chemicals & Petrochemicals,67.6,75.11,63.06,65.66,0.1389,2.398,1.135,2.367,140.16,0.634,0.448,3,1,ISO 14001,19.0,17871.0,0.838,0.105,0.0,87.0,0.607,60.36,18764.12,0.909,1.059,58304.0,4385.0,1660.0,Moderate,7.77236864193386e-06,0.75001,0.0010631749762184544,0.541,0.452706036,28.447500000000005,80.56,73.66999999999999,16.969803946460363,0.15280528052805278,0.13588054268505842,0.40644067796610167
SC0000035,RENATA LIMITED (BANGLADESH),Pharmaceuticals and nutritional products,2022.0,FEB,BANGLADESH,SA,1,Pharmaceuticals & Healthcare,59.43,63.06,62.3,51.73,0.2156,0.01,1.209,1.754,173.35,0.781,0.202,2,0,RSPO; BRCGS; ISO 14001,36.0,2496.0,0.949,0.023,1.0,91.63,0.106,93.83,13639.62,1.003,1.088,27912.0,13201.0,3808.0,Moderate,8.637820512820513e-05,0.9271729999999999,0.014423076923076924,0.49150000000000005,0.5799776172666666,42.967833333333324,62.32466666666667,63.269999999999996,3.6514507742088966,0.2149551345962114,0.21927846944060347,0.5899764547595022
SC0000036,TATA STEEL LIMITED,"Hot-rolled, cold-rolled steel, steel plates",2023.0,FEB,INDIA,SA,1,Steel & Metallurgical,62.35,61.88,61.45,61.81,0.3596,7.898,2.661,7.182,274.03,0.419,0.109,2,1,ISO 9001,12.0,13872.0,0.812,0.017,1.0,92.45,0.079,88.59,7621.83,1.427,1.149,23737.0,8021.0,5660.0,High,2.5922722029988465e-05,0.798196,0.0008650519031141869,0.264,0.4714145576,51.90583333333333,64.07666666666667,62.30500000000001,21.663599359323186,0.25199719691660827,0.3528020717135852,0.4451834733104109
SC0000037,KENYA TEA DEVELOPMENT AGENCY (KTDA),"Black tea (CTC), green tea exports",2021.0,JUL,KENYA,SSA,1,Agriculture & Agribusiness,65.26,64.53,65.48,66.66,0.0441,1.552,0.278,2.706,242.02,0.605,0.077,1,1,BRCGS,22.0,12086.0,0.958,0.016,1.0,69.51,0.385,80.28,17701.4,1.49,0.748,38401.0,3817.0,4556.0,Moderate,3.648849908985603e-06,0.942672,0.0018202879364554029,0.34099999999999997,0.25225902719999993,52.27816666666667,52.489333333333335,70.44,7.54418491701774,0.02959731543624161,0.14120042016003448,0.5965608465608466
SC0000038,BIOCON LIMITED,Pharmaceuticals and active pharma ingredients (APIs),2024.0,OCT,INDIA,SA,1,Pharmaceuticals & Healthcare,64.12,60.95,71.7,60.11,0.1023,1.431,1.082,2.604,13.7,0.741,0.48,1,1,BRCGS,24.0,9147.0,1.0,0.0,0.0,98.12,0.046,99.0,15466.24,0.774,0.971,29201.0,2348.0,1732.0,Moderate,1.1183994752377829e-05,1.0,0.0026238110856018366,0.6105,0.32999999999999996,43.39216666666667,51.80533333333334,66.77000000000001,21.663599359323186,0.13217054263565892,0.08880261815657182,0.5088919288645691
SC0000039,NIPPON STEEL CORPORATION,Steel plates,2024.0,FEB,JAPAN,EAP,1,Japan,63.79,62.0,56.53,69.31,0.1282,2.835,1.629,1.427,70.91,0.688,0.0,3,1,BRCGS,40.0,6710.0,0.952,0.034,0.0,77.4,0.161,62.72,25174.79,0.703,0.618,52228.0,7501.0,3699.0,Moderate,1.910581222056632e-05,0.9196319999999999,0.005961251862891207,0.344,0.5767931903999999,26.4235,78.274,61.485,11.28206841439308,0.18236130867709818,0.14411426613687675,0.4812425734170769
SC0000040,KAZMUNAYGAS,Crude oil and petroleum products,2024.0,MAR,KAZAKHSTAN,ECA,1,"Oil, Gas & Refining",73.22,75.59,78.05,64.4,0.6821,3.282,0.785,13.051,592.19,0.734,0.443,2,1,BRCGS,24.0,17266.0,0.851,0.021,0.0,93.89,0.169,69.09,23824.32,1.474,1.532,47898.0,13294.0,4077.0,High,3.9505386308351677e-05,0.833129,0.001390015058496467,0.5885,0.38373921740000005,56.868833333333335,70.59866666666666,72.405,58.56135266628837,0.4627544097693352,0.5895796224709702,0.7624138333917513
SC0000041,GLENCORE PERU,Zinc and copper concentrates trading and exports,2021.0,FEB,PERU,LAC,1,"Consumer Goods, Retail & Logistics",63.46,68.41,62.07,60.33,0.8048,4.585,2.711,10.57,363.28,0.344,0.427,3,0,Fairtrade; FSSC 22000,12.0,12996.0,0.883,0.062,0.0,64.98,0.201,68.7,16801,0.939,0.753,46299.0,4670.0,1.0,High,6.192674669128963e-05,0.8282539999999999,0.0009233610341643582,0.38549999999999995,0.569010498,46.994,78.07600000000001,65.05499999999999,71.90867638366379,0.8570820021299255,0.5579724004266543,0.5916265532295981
SC0000042,TSD RESOURCES BERHAD,"Crude palm oil, palm kernel",2019.0,MAR,MALAYSIA,EAP,1,Agriculture & Agribusiness,49.55,46.28,48.92,51.33,0.0937,1.066,0.24,2.61,230.63,0.771,0.395,2,0,BRCGS,19.0,9923.0,0.849,0.044,2.0,87.29,0.246,72.89,3963.2,1.667,0.894,3386.0,5561.0,1830.0,High,9.442708858208204e-06,0.8116439999999999,0.0019147435251436057,0.583,0.39440487439999994,53.33833333333333,56.396666666666675,59.38,16.607963013540004,0.05620875824835033,0.12987704040250048,0.6664964249233912
SC0000043,NATIONAL OIL CORPORATION (NOC),"Crude oil, refined products (state oil company operations)",2023.0,FEB,LIBYA,MENA-AP,1,"Oil, Gas & Refining",60.975,62.2,59.92,62.89,0.0367,3.204,1.684,9.166,120.28,0.447,0.528,2,1,ISO 14001; Fairtrade,12.0,14827.0,0.63,0.047,2.0,84.12,0.156,71.2,16225.97,1.571,1.527,47309.0,16786.0,4573.0,High,2.4752141363728335e-06,0.60039,0.0008093343225197275,0.48750000000000004,0.28498512,46.47458333333333,63.251666666666665,63.080000000000005,81.03193496620163,0.0233609166136219,0.1118367799970171,0.6521986623025473
SC0000044,TEA EXPORTERS (KAPCHORWA AND WESTERN PLANTATIONS),Black tea,2023.0,NOV,UGANDA,SSA,2,Agriculture & Agribusiness,30.96,47.92,37.26,44.01,0.1032,1.441,1.03,3.015,279.59,0.561,0.452,1,0,BRCGS,25.0,3363.0,0.314,0.026,2.0,91.14,0.266,30.66,5738.96,0.887,0.636,27180.0,15789.0,2503.0,High,3.068688670829616e-05,0.305836,0.007433838834374071,0.5065000000000001,0.0312564392,56.71566666666668,31.909333333333333,53.949999999999996,5.631100910949709,0.11634723788049606,0.1552591477134349,0.5495807510025519
SC0000045,"ANCAP (ADMINISTRACIÃ³N NACIONAL DE COMBUSTIBLES, ALCOHOL Y PORTLAND)","Petroleum products, fuels",2023.0,JAN,URUGUAY,LAC,1,"Oil, Gas & Refining",73.34,73.84,79.21,68.91,0.623,6.26,1.987,5.203,290.3,0.705,0.315,1,1,SA8000,58.0,3378.0,0.753,0.004,2.0,77.23,0.345,72.47,30953.38,1.141,1.43,28812.0,9425.0,3355.0,High,0.00018442865600947305,0.749988,0.017169923031379514,0.51,0.1811721012,58.68766666666666,57.33733333333334,76.505,49.92988787772282,0.5460122699386503,0.4814576023891604,0.4654275092936803
