SC_ID,Supplier_Name,Commodity_Name,Year,Month,Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,GHG_Scope1_Intensity,GHG_Scope2_Intensity,GHG_Scope3_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Certifications_Active,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Incident_History_Count,Labour_Compliance_Score,Diversity_Index,Financial_Stability_Score,Freight_Cost,Cost_Index,Commodity_Price_Index,Commodity_Demand,Trade_Volume,Logistics_Distance_km,Risk_Classification
SC0010348,Samsung Electronics,Semiconductors,2022,4,10,0,1,4,72.3,63.1,49.3,79.7,0.301,0.55,0.98,1.6,100.6,0.51,0.16,3,1,7,27,13212,0.77,0.09,0,85.7,0.7,91.7,32058.97,1.04,1.02,88353,58061,13734,High
SC0003636,Vale S.A.,"Iron ore, iron ore pellets, nickel, copper",2020,4,0,2,1,6,49.5,64.0,87.0,48.3,0.48,3.18,1.5,1.92,298.5,0.91,0.34,1,1,0,80,40622,0.5,0.054,3,86.1,0.61,64.6,39554.89,0.95,0.82,41723,75202,8427,High
SC0010966,Foxconn Technology Group,Electronic components and device assembly,2022,7,1,0,1,4,96.6,52.6,77.0,62.6,0.168,1.9,0.76,2.47,467.3,0.61,0.4,0,0,48,17,11206,0.81,0.034,2,97.7,0.67,79.3,22975.84,0.96,0.96,61578,66539,9082,Moderate
SC0016363,Foxconn Technology Group,Electronic components and device assembly,2023,10,1,0,1,4,95.2,88.8,63.3,55.1,0.245,2.04,1.48,1.4,166.9,0.85,0.71,2,1,32,41,43390,0.98,0.025,4,63.8,0.51,76.8,29829.25,1.39,0.82,24696,34722,13331,Moderate
SC0000745,Wilmar International,Crude palm oil,2019,7,4,0,1,0,65.8,62.4,92.4,57.9,0.014,1.61,0.76,3.11,407.5,0.64,0.47,2,1,1,64,47318,1.0,0.042,0,77.8,0.29,58.1,5705.07,1.2,1.38,28211,5802,10782,Low
SC0006337,Musim Mas Group,"Refined palm oil, specialty fats, oleochemicals, biodiesel",2020,9,4,0,1,0,77.3,61.0,89.0,54.0,0.035,0.55,0.39,2.61,199.2,0.65,0.77,2,1,34,20,31237,0.75,0.101,3,64.0,0.67,82.7,35050.73,1.17,1.04,79792,7847,5021,High
SC0008464,Volkswagen Group,Automobiles and automotive components,2021,6,2,1,1,1,58.8,44.0,78.5,66.2,0.084,0.34,1.22,2.69,386.2,0.65,0.36,3,1,24,62,8320,0.83,0.036,1,68.4,0.52,93.4,12097.85,1.18,0.98,25909,9480,8152,Moderate
SC0005110,Wilmar International,Crude palm oil,2020,6,8,0,1,0,75.5,66.0,69.2,70.9,0.035,0.55,0.92,1.37,213.2,0.94,0.79,3,1,40,30,39534,0.79,0.088,5,78.2,0.22,73.8,10922.24,1.49,0.9,49760,39921,13292,High
SC0019253,Dangote Cement,"Cement, clinker",2024,1,6,6,1,5,80.2,67.8,87.4,59.5,0.288,0.84,1.86,4.37,90.4,0.81,0.47,2,1,20,32,7086,0.68,0.048,2,72.3,0.64,91.5,34888.08,1.33,1.34,71351,71335,2053,High
SC0007687,Samsung Electronics,Semiconductors,2021,7,10,0,1,4,85.3,63.9,75.2,57.8,0.112,0.41,1.13,2.25,290.5,0.74,0.54,3,1,0,67,6762,0.88,0.031,4,98.0,0.64,69.6,45358.86,0.52,1.21,66131,37257,8748,Moderate
SC0002798,Dangote Cement,"Cement, clinker",2019,10,6,6,1,5,66.6,46.0,51.0,73.1,0.324,3.77,1.98,3.28,447.5,0.87,0.25,0,1,32,35,11005,0.69,0.036,0,65.7,0.64,89.5,10731.42,0.65,1.32,24191,38012,14513,High
SC0012292,Musim Mas Group,"Refined palm oil, specialty fats, oleochemicals, biodiesel",2022,1,4,0,1,0,69.0,56.7,54.0,56.6,0.329,0.52,0.38,3.25,247.1,0.73,0.61,1,1,41,17,6781,0.75,0.056,0,77.8,0.55,70.2,29592.44,1.09,0.88,76263,8238,14070,High
SC0013292,Saudi Aramco,"Crude oil, refined fuels, LPG, naphtha, diesel",2022,9,7,3,1,7,49.4,56.7,71.7,72.3,0.405,2.59,1.48,3.5,410.9,0.73,0.25,3,0,33,26,5497,0.5,0.127,0,84.2,0.54,65.5,37815.45,0.94,1.24,58603,65986,1501,High
SC0001923,Wilmar International,Crude palm oil,2019,5,8,0,1,0,66.8,90.7,66.0,54.1,0.266,0.64,1.14,0.99,101.0,0.86,0.19,3,1,1,88,6653,1.0,0.056,3,97.6,0.39,89.9,8073.39,0.57,1.38,11009,12855,7873,Low
SC0019922,Toyota Motor Corporation,"Automotive components, hybrid vehicle batteries",2024,10,5,0,1,1,90.9,74.1,71.7,70.1,0.021,2.42,0.26,2.53,396.5,0.91,0.21,0,1,32,38,21274,1.0,0.021,3,97.5,0.73,93.3,35061.65,0.89,1.16,67180,41227,7666,Low
SC0006013,Dangote Cement,"Cement, clinker",2020,10,6,6,1,5,50.7,77.2,55.3,63.8,0.516,1.33,1.24,1.52,422.3,0.7,0.3,1,1,24,29,12221,0.5,0.043,4,86.7,0.26,91.7,6716.45,1.36,1.14,24348,27038,10669,High
SC0012172,Reliance Industries Limited,"Polypropylene, Polyethylene, PTA",2022,5,3,5,1,2,84.7,48.9,58.2,53.1,0.342,2.0,1.13,2.83,146.3,0.4,0.69,3,0,24,87,9449,0.65,0.058,0,77.4,0.36,57.1,18702.49,0.91,1.38,75862,65655,9247,High
SC0012042,Musim Mas Group,"Refined palm oil, specialty fats, oleochemicals, biodiesel",2022,5,4,0,1,0,98.5,89.1,43.5,60.6,0.224,1.28,0.9,1.36,160.2,0.72,0.82,0,0,27,65,49163,0.68,0.022,2,79.7,0.37,82.8,16224.33,1.19,1.27,26076,25415,5432,High
SC0003503,Wilmar International,Crude palm oil,2020,4,8,0,1,0,66.0,56.0,52.5,89.7,0.231,0.36,1.53,1.5,117.7,0.81,0.72,1,0,4,20,8241,0.71,0.025,5,79.9,0.8,64.1,22966.47,1.25,1.13,43748,55803,7512,High
SC0004900,Anglo American,"Platinum group metals, diamonds, iron ore, coal",2020,6,9,6,1,6,50.0,55.4,87.1,56.4,0.408,1.56,0.89,3.16,173.7,0.93,0.47,1,0,41,37,31465,0.5,0.043,4,90.6,0.44,71.7,21957.21,1.31,0.82,47046,69042,8881,High
SC0016033,Vale S.A.,"Iron ore, iron ore pellets, nickel, copper",2023,11,0,2,1,6,54.5,70.6,64.8,80.7,0.44,1.31,1.15,2.73,293.7,0.79,0.6,2,1,32,50,12798,0.81,0.036,1,60.4,0.61,58.8,35052.86,0.99,0.86,80099,52408,7982,High
SC0019890,Tesla Inc.,Electric vehicles and battery packs,2024,10,12,4,1,1,72.7,72.7,63.2,84.0,0.115,0.47,0.63,0.83,67.1,0.66,0.11,3,1,24,84,36457,1.0,0.035,0,71.6,0.32,79.6,36854.48,1.37,0.88,57913,31044,2155,Low
SC0004544,Musim Mas Group,"Refined palm oil, specialty fats, oleochemicals, biodiesel",2020,0,4,0,1,0,81.9,72.4,51.5,84.8,0.336,0.47,0.63,1.01,160.3,0.62,0.43,0,1,23,36,48585,0.79,0.088,3,92.6,0.58,56.9,22980.49,1.45,0.87,30167,63161,11639,High
SC0006987,Wilmar International,Crude palm oil,2021,4,8,0,1,0,80.1,39.9,79.5,92.5,0.091,0.66,0.56,2.75,178.6,0.54,0.56,2,1,28,39,48703,0.77,0.052,3,72.0,0.34,88.1,18036.97,1.44,1.23,59431,63235,9794,High
SC0009556,Reliance Industries Limited,"Polypropylene, Polyethylene, PTA",2021,10,3,5,1,2,82.0,82.5,84.1,52.2,0.261,2.94,0.78,1.7,212.5,0.49,0.39,0,1,19,51,48939,0.73,0.027,1,86.9,0.57,55.3,41411.57,0.57,1.29,64689,21083,1363,High
SC0008844,Petrobras,"Crude oil, natural gas, refined fuels",2021,1,0,2,1,7,84.0,66.9,53.5,75.9,0.09,3.42,0.34,1.17,327.4,0.64,0.52,1,1,0,52,30392,0.51,0.09,5,70.1,0.7,93.6,28955.5,1.39,1.11,53041,24806,8397,High
SC0018054,BASF,"Chemicals, plastics, specialty materials",2024,0,2,1,1,2,103.5,92.3,54.9,75.9,0.114,0.46,1.17,1.99,419.4,0.52,0.75,0,1,16,80,48033,1.0,0.012,1,90.4,0.72,64.7,36641.39,1.1,1.31,67704,64357,10707,Low
SC0008565,Vale S.A.,"Iron ore, iron ore pellets, nickel, copper",2021,5,0,2,1,6,75.7,46.6,51.9,89.6,0.3,1.64,0.62,4.93,311.5,0.71,0.37,0,1,35,50,31288,0.64,0.015,5,83.2,0.53,69.0,46545.8,1.03,0.99,70626,39717,10657,High
SC0019941,Dangote Cement,"Cement, clinker",2024,10,6,6,1,5,69.9,42.7,85.2,69.3,0.24,2.59,2.09,1.69,324.5,0.52,0.68,2,1,7,72,17227,0.66,0.084,2,66.2,0.27,86.3,48393.67,1.37,0.93,40337,36232,1574,High
SC0006613,ExxonMobil,"Crude oil, natural gas, refined fuels",2020,2,12,4,1,7,77.0,83.1,91.5,53.1,0.055,0.82,0.82,0.91,309.4,0.71,0.76,2,1,28,49,24447,0.92,0.027,1,76.2,0.6,88.8,7792.71,1.19,1.35,51163,18890,13752,Moderate
SC0013511,Dangote Cement,"Cement, clinker",2022,2,6,6,1,5,58.4,34.3,43.7,85.6,0.204,1.04,2.58,3.02,391.2,0.86,0.67,3,1,37,19,9348,0.5,0.115,8,62.7,0.47,71.7,40688.1,0.62,0.9,87251,78621,1094,High
SC0010085,Saudi Aramco,"Crude oil, refined fuels, LPG, naphtha, diesel",2021,2,7,3,1,7,65.1,55.0,51.2,57.5,0.495,1.42,1.67,4.08,255.5,0.56,0.47,1,1,7,52,33143,0.5,0.022,3,95.6,0.66,68.3,26742.78,0.51,0.99,83992,25065,12606,High
SC0011534,Vale S.A.,"Iron ore, iron ore pellets, nickel, copper",2022,8,0,2,1,6,76.5,83.5,62.2,78.6,0.14,1.11,1.21,3.77,81.4,0.55,0.77,3,0,49,33,47055,0.59,0.032,5,64.8,0.24,88.6,49951.68,0.85,1.09,86863,57479,13831,High
SC0003768,Samsung Electronics,Semiconductors,2020,3,10,0,1,4,67.8,88.7,82.7,77.9,0.322,2.38,0.63,1.54,319.5,0.65,0.82,0,0,21,84,31997,0.75,0.013,0,70.7,0.38,89.0,29012.71,1.26,1.29,29168,48411,9369,High
SC0006030,Dangote Cement,"Cement, clinker",2020,10,6,6,1,5,61.8,52.3,58.3,60.6,0.54,2.18,1.92,4.87,298.0,0.63,0.55,2,0,41,68,28184,0.5,0.022,3,73.8,0.22,61.4,46301.06,0.83,1.35,90341,79685,13334,High
SC0009257,Saudi Aramco,"Crude oil, refined fuels, LPG, naphtha, diesel",2021,11,7,3,1,7,59.1,44.1,62.3,44.2,0.045,2.43,1.5,5.630000000000001,473.5,0.43,0.75,1,1,41,14,24373,0.5,0.127,2,63.8,0.44,84.1,27544.53,0.78,1.21,48131,44563,5596,High
SC0004685,Wilmar International,Crude palm oil,2020,8,4,0,1,0,70.0,47.2,72.8,93.0,0.056,1.12,1.69,2.74,432.3,0.68,0.81,3,1,44,52,32598,0.63,0.025,3,76.1,0.23,93.2,30387.84,1.32,1.11,33022,23898,11292,High
SC0018711,Anglo American,"Platinum group metals, diamonds, iron ore, coal",2024,6,9,6,1,6,63.4,82.6,42.9,61.8,0.444,1.94,2.36,3.92,377.4,0.41,0.27,0,0,16,37,19766,0.69,0.048,3,85.5,0.47,80.6,40407.65,1.4,1.02,58602,52504,2561,High
SC0002306,ExxonMobil,"Crude oil, natural gas, refined fuels",2019,11,12,4,1,7,88.9,69.2,56.7,91.5,0.08,1.71,0.5,1.06,203.0,0.49,0.27,0,0,24,61,36259,1.0,0.03,0,82.5,0.83,77.5,41388.58,1.5,1.13,12196,64186,3404,Low
SC0014310,SABIC,"Olefins, polyolefins, glycols, aromatics",2023,7,7,3,1,2,66.4,45.1,61.5,57.6,0.435,0.99,1.13,5.630000000000001,50.5,0.43,0.82,3,0,48,23,33761,0.5,0.108,8,83.3,0.24,82.4,7646.15,1.24,1.33,56854,70345,9996,High
SC0008199,Tata Steel,Automotive steel,2021,8,3,5,1,8,66.4,61.0,68.5,49.4,0.333,1.3,2.12,2.84,72.2,0.45,0.55,1,1,39,75,42412,0.56,0.014,1,60.4,0.24,72.6,18409.37,1.44,1.14,17196,29814,8471,High
SC0001041,Wilmar International,Crude palm oil,2019,0,4,0,1,0,55.1,71.3,69.0,87.8,0.035,0.65,1.67,1.69,306.3,0.62,0.69,1,1,32,54,22829,1.0,0.049,1,88.2,0.36,65.2,29540.93,0.88,0.96,32763,13825,4624,Low
SC0011067,Wilmar International,Crude palm oil,2022,7,4,0,1,0,70.6,57.9,75.8,61.9,0.308,0.85,0.73,0.97,479.0,0.83,0.64,0,1,41,60,47830,0.7,0.022,3,76.7,0.33,74.0,21263.79,1.46,0.94,31330,24561,13523,High
SC0002710,Dangote Cement,"Cement, clinker",2019,10,6,6,1,5,79.6,76.3,58.4,73.1,0.456,2.34,2.27,2.22,477.4,0.84,0.33,2,0,45,55,15792,0.68,0.012,1,97.9,0.67,89.6,5726.84,0.67,0.87,18142,74682,3746,High
SC0006287,Intel Corporation,Microprocessors and chipsets,2020,9,12,4,1,4,60.1,80.7,83.8,84.1,0.215,0.76,0.28,1.83,428.3,0.7,0.37,2,1,1,36,42431,0.87,0.036,1,94.8,0.26,55.6,39015.03,1.14,0.86,39759,8990,895,Moderate
SC0008044,ExxonMobil,"Crude oil, natural gas, refined fuels",2021,8,12,4,1,7,57.4,66.6,68.2,74.4,0.13,1.18,0.39,0.91,185.4,0.63,0.37,0,1,41,24,5386,1.0,0.053,3,87.3,0.81,82.8,14120.82,1.23,1.37,49854,35755,8910,Moderate
SC0017741,ExxonMobil,"Crude oil, natural gas, refined fuels",2024,7,12,4,1,7,77.0,67.5,70.8,72.8,0.045,1.23,0.76,2.25,54.8,0.95,0.43,0,1,40,65,11677,1.0,0.005,0,78.8,0.34,75.5,25865.91,1.29,1.05,29475,68124,5834,Low
SC0005540,Vale S.A.,"Iron ore, iron ore pellets, nickel, copper",2020,1,0,2,1,6,82.1,51.1,79.1,80.4,0.37,3.15,1.29,1.39,131.4,0.42,0.47,2,0,16,82,43090,0.55,0.09,3,84.8,0.35,79.7,23497.59,1.15,0.8,28720,52744,9840,High
SC0013263,Dangote Cement,"Cement, clinker",2022,9,6,6,1,5,77.9,81.8,71.9,76.0,0.384,3.2,0.54,2.32,217.6,0.74,0.69,1,1,48,67,19081,0.5,0.127,1,76.5,0.36,90.1,49198.07,0.7,0.95,11934,49218,1310,High
SC0006929,BYD Company,Electric vehicles,2021,4,1,0,1,1,61.6,63.0,53.0,58.1,0.322,1.8,1.63,3.16,469.7,0.68,0.53,1,1,55,27,37105,0.86,0.073,2,90.5,0.77,87.4,42579.22,1.13,1.18,22914,42220,12254,High
SC0014333,Intel Corporation,Microprocessors and chipsets,2023,7,12,4,1,4,77.0,51.2,79.0,70.0,0.15,0.47,0.6,1.41,319.8,0.58,0.29,1,0,40,79,5231,1.0,0.006,0,78.8,0.26,60.8,19350.2,0.63,0.88,11292,62558,10090,Low
SC0004975,Musim Mas Group,"Refined palm oil, specialty fats, oleochemicals, biodiesel",2020,6,4,0,1,0,74.6,65.2,67.7,70.8,0.252,0.36,0.54,2.79,363.2,0.44,0.13,1,1,40,32,31780,0.79,0.088,2,78.9,0.72,75.5,46110.11,1.1,1.11,91059,64947,4302,High
SC0003152,Saudi Aramco,"Crude oil, refined fuels, LPG, naphtha, diesel",2019,2,7,3,1,7,67.0,56.0,59.8,64.0,0.105,4.005,1.62,5.16,212.0,0.42,0.37,1,1,40,74,23446,0.6,0.09,7,78.5,0.64,75.5,5366.94,0.99,1.1,35959,60757,14986,High
SC0002117,Wilmar International,Crude palm oil,2019,1,8,0,1,0,83.2,87.7,65.9,73.1,0.105,0.93,1.35,2.87,363.0,0.56,0.2,0,1,0,69,31976,1.0,0.021,2,93.9,0.4,58.8,45600.94,0.63,1.11,19930,51987,14495,Low
SC0012583,Wilmar International,Crude palm oil,2022,11,4,0,1,0,62.5,73.7,65.8,61.8,0.133,2.04,0.56,2.44,300.1,0.62,0.82,2,1,16,42,22573,0.79,0.09,1,91.6,0.26,61.8,27106.96,1.0,1.36,40908,31259,1693,High
SC0001133,Vale S.A.,"Iron ore, iron ore pellets, nickel, copper",2019,0,0,2,1,6,79.2,66.2,75.2,55.7,0.39,2.17,1.78,1.11,110.5,0.71,0.64,2,1,48,40,25004,0.94,0.08,5,90.0,0.21,85.9,49147.03,0.97,1.17,29052,31264,7059,High
SC0005086,Musim Mas Group,"Refined palm oil, specialty fats, oleochemicals, biodiesel",2020,6,4,0,1,0,74.6,65.2,67.7,70.8,0.224,0.49,0.56,1.17,344.2,0.85,0.34,1,1,40,68,5072,0.67,0.013,2,78.9,0.45,75.5,32395.15,1.43,0.95,80136,23035,8229,High
SC0017791,Vale S.A.,"Iron ore, iron ore pellets, nickel, copper",2024,7,0,2,1,6,92.5,74.8,74.2,68.8,0.42,3.49,2.29,1.07,133.3,0.41,0.48,1,0,16,46,44869,0.83,0.07,0,68.1,0.56,73.9,49252.83,0.77,1.06,78936,12225,1627,Moderate
SC0017853,Vale S.A.,"Iron ore, iron ore pellets, nickel, copper",2024,7,0,2,1,6,72.55,60.849999999999994,65.05,68.55,0.48,2.81,1.72,2.6,99.5,0.63,0.83,2,1,40,51,9742,0.94,0.06,4,78.6,0.25,75.5,11574.95,0.59,0.96,70760,67540,1176,High
SC0007859,SABIC,"Olefins, polyolefins, glycols, aromatics",2021,0,7,3,1,2,60.5,58.7,38.9,85.0,0.135,2.07,0.85,4.37,146.8,0.47,0.21,2,1,16,89,17821,0.5,0.045,8,67.2,0.62,92.1,34549.03,1.27,0.91,64874,70990,9836,High
SC0011262,Wilmar International,Crude palm oil,2022,0,4,0,1,0,56.0,63.9,54.3,77.2,0.07,0.49,1.2,2.09,120.9,0.43,0.68,2,0,16,25,19953,0.73,0.022,0,62.5,0.53,94.5,40620.9,1.44,1.05,53103,66673,12860,High
SC0003653,Musim Mas Group,"Refined palm oil, specialty fats, oleochemicals, biodiesel",2020,4,4,0,1,0,69.8,81.6,48.3,50.1,0.021,1.04,0.48,2.63,102.3,0.57,0.73,0,1,21,36,18727,0.62,0.101,6,93.4,0.43,80.2,19404.15,1.26,1.18,31238,22143,3238,High
SC0019770,Intel Corporation,Microprocessors and chipsets,2024,10,12,4,1,4,97.8,60.6,53.9,66.1,0.21,0.98,1.1,1.56,480.3,0.9,0.54,2,1,16,61,23558,1.0,0.035,2,66.3,0.22,62.1,48943.21,1.09,0.95,48968,69242,9050,Low
SC0001494,Petrobras,"Crude oil, natural gas, refined fuels",2019,6,0,2,1,7,53.8,62.2,55.7,71.0,0.27,1.64,0.89,3.93,284.1,0.58,0.3,3,1,25,61,5841,0.81,0.07,1,79.8,0.43,84.0,28055.79,0.76,1.13,94859,74383,7502,High
SC0007476,Toyota Motor Corporation,"Automotive components, hybrid vehicle batteries",2021,7,5,0,1,1,55.2,46.7,81.0,78.7,0.049,1.71,0.4,1.67,353.7,0.8,0.77,3,1,24,87,39706,0.9,0.031,0,82.7,0.47,84.4,21144.46,1.14,0.8,62524,13383,5081,Moderate
SC0008197,Anglo American,"Platinum group metals, diamonds, iron ore, coal",2021,8,9,6,1,6,86.2,82.9,66.8,87.0,0.132,2.63,1.48,1.56,215.8,0.63,0.11,2,1,34,55,36382,0.55,0.108,7,83.1,0.4,87.9,6555.49,1.46,1.34,71796,60748,6283,High
SC0013188,Foxconn Technology Group,Electronic components and device assembly,2022,9,1,0,1,4,87.1,75.4,76.5,54.4,0.175,1.67,1.14,0.97,384.5,0.44,0.3,0,0,24,87,10983,0.85,0.011,0,75.6,0.37,73.3,24301.89,0.88,1.05,19993,16045,8815,Moderate
SC0003860,Samsung Electronics,Semiconductors,2020,3,10,0,1,4,54.4,75.7,77.1,48.9,0.287,0.88,1.67,3.05,488.2,0.59,0.35,1,1,26,55,37669,0.75,0.05,0,69.0,0.54,80.7,16582.0,1.36,1.27,19063,17522,6729,High
SC0011180,Samsung Electronics,Semiconductors,2022,0,10,0,1,4,68.1,58.1,52.1,77.7,0.042,0.98,1.69,2.93,72.2,0.62,0.6,0,1,32,18,9591,0.8,0.011,3,61.4,0.29,58.9,38019.87,0.8,1.13,91418,65272,4594,High
SC0008343,Saudi Aramco,"Crude oil, refined fuels, LPG, naphtha, diesel",2021,6,7,3,1,7,53.0,70.2,68.1,79.5,0.03,4.005,2.83,4.4,342.8,0.95,0.3,0,0,41,33,21979,0.5,0.113,5,93.9,0.46,62.4,11162.18,1.15,0.89,91709,63135,13081,High
SC0004547,Anglo American,"Platinum group metals, diamonds, iron ore, coal",2020,0,9,6,1,6,82.8,67.6,66.5,67.1,0.144,2.38,1.63,1.54,240.2,0.53,0.3,2,1,24,16,36068,0.5,0.127,5,91.9,0.52,57.0,38804.03,0.77,1.02,30436,16188,3784,High
SC0006798,Reliance Industries Limited,"Polypropylene, Polyethylene, PTA",2020,2,3,5,1,2,91.8,84.3,74.6,84.6,0.333,0.49,1.01,4.25,472.3,0.45,0.45,0,0,0,90,34373,0.55,0.016,7,61.2,0.8,79.4,7468.31,0.88,0.91,69803,46324,6758,High
SC0006764,Nestlé,Packaged foods and beverages,2020,2,11,1,1,3,58.0,60.0,55.1,66.8,0.132,0.46,1.3,0.88,225.5,0.9,0.47,0,0,20,32,34766,0.84,0.054,3,66.9,0.56,55.6,29101.75,1.13,0.9,97226,15393,9155,High
SC0011756,SABIC,"Olefins, polyolefins, glycols, aromatics",2022,6,7,3,1,2,56.4,52.3,81.8,51.9,0.285,3.0,1.2,2.88,450.9,0.46,0.47,0,1,32,38,22593,0.5,0.096,8,95.7,0.51,75.8,29458.97,0.86,1.15,59762,67731,7481,High
SC0013565,Tata Steel,Automotive steel,2022,2,3,5,1,8,53.2,77.0,46.1,50.3,0.036,3.11,2.2,2.56,67.8,0.79,0.44,0,0,55,87,16702,0.68,0.072,0,85.4,0.36,89.3,47886.2,1.38,1.23,10988,28124,3734,High
SC0019032,Nestlé,Packaged foods and beverages,2024,5,11,1,1,3,79.9,45.5,69.3,56.0,0.21,0.37,1.35,0.78,489.8,0.57,0.73,1,0,43,27,35685,1.0,0.018,2,80.5,0.49,56.7,39305.33,1.45,1.1,67487,72658,12699,Low
SC0008797,SABIC,"Olefins, polyolefins, glycols, aromatics",2021,5,7,3,1,2,64.8,31.4,39.1,78.8,0.27,4.005,2.84,5.630000000000001,338.4,0.93,0.6,2,0,0,46,28145,0.5,0.068,5,69.7,0.22,80.0,30849.74,0.81,1.36,12612,16001,11627,High
SC0000257,Wilmar International,Crude palm oil,2019,4,8,0,1,0,59.7,83.4,90.4,50.8,0.105,1.27,1.41,1.01,281.3,0.92,0.71,1,1,16,61,48678,1.0,0.042,1,94.5,0.37,64.1,42366.24,0.61,0.89,61529,73285,2848,Low
SC0015598,ExxonMobil,"Crude oil, natural gas, refined fuels",2023,5,12,4,1,7,58.6,63.7,63.7,85.6,0.23,0.79,0.53,0.83,107.4,0.67,0.42,3,1,56,57,26460,1.0,0.03,3,79.6,0.46,85.1,5993.79,1.33,0.97,36366,32640,14681,Low
SC0017783,Wilmar International,Crude palm oil,2024,7,4,0,1,0,74.0,79.9,67.2,65.1,0.294,0.7,0.79,1.56,298.4,0.62,0.11,3,1,41,29,43281,1.0,0.049,1,79.1,0.3,78.0,15205.79,0.89,1.27,47179,58230,12860,Moderate
