Supplier_ID,Commodity_ID,Supplier_Name,Commodity_Name,Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Financial_Stability_Score,Cost_Index,Labour_Compliance_Score,Diversity_Index,Supplier_Audit_Score,Incident_History_Count,Logistics_Distance_km,Risk_Classification,Emission_to_Capacity_Ratio,Operational_Reliability_Index,LeadTime_Capacity_Ratio,Green_Efficiency_Score,Resilience_Score,Sustainability_Risk_Index,ESG_Compliance_Composite,Social_Responsibility_Score,Regional_Risk_Index,Emission_Per_Dollar,Emission_Votality
SYN_SUP_00011,SYN_COM_00011,Synthetic Supplier 11,Synthetic Commodity 11,India,Asia-Pacific,1,Food & Beverage,78.68669171,61.70572887,81.24135019,89.14475609,0.2503,1043.28,0.38,0.47,3,0,42,28997,0.931817818,0.047,70.29962276,1.13,76.03881678,0.82,66.07,1,2414,Low,8.63E-06,0.88802238,0.001448426,0.425,0.624276383,30.6671579,87.21201502,87.02067509,9.261089909,0.221504425,0.351149984
SYN_SUP_00012,SYN_COM_00012,Synthetic Supplier 12,Synthetic Commodity 12,Japan,Asia-Pacific,2,Metals,52.95321959,78.38916281,55.97499433,46.42102009,0.3833,211.95,0.69,0.36,0,1,30,18935,0.865954845,0.042,72.81459362,1.17,68.15934212,0.67,80.04,1,10510,Moderate,2.02E-05,0.829584742,0.001584368,0.525,0,68.59887314,31.77193176,71.38749717,27.64600311,0.327606838,0.389189428
SYN_SUP_00013,SYN_COM_00013,Synthetic Supplier 13,Synthetic Commodity 13,India,Asia-Pacific,3,Electronics,67.06037784,72.3876445,61.7835384,73.50256066,0.4718,1104.33,0.49,0.38,3,0,18,17507,0.874022444,0.038,99.25221672,0.81,62.7270797,0.81,60.74,1,7513,Moderate,2.69E-05,0.840809591,0.00102816,0.435,0.834522157,35.47386776,80.2362267,77.0917692,9.261089909,0.582469136,0.558595755
SYN_SUP_00014,SYN_COM_00014,Synthetic Supplier 14,Synthetic Commodity 14,Japan,Asia-Pacific,1,Agriculture,69.06010785,77.59996415,88.24099824,69.76926353,0.7862,1025.3,0.45,0.12,1,1,44,33479,0.922191864,0.04,74.79203329,0.83,77.85209122,0.81,71.9,0,2843,Low,2.35E-05,0.88530419,0.001314257,0.285,0.220712335,59.60062892,54.76939804,90.32049912,27.64600311,0.947228916,0.674974346
SYN_SUP_00015,SYN_COM_00015,Synthetic Supplier 15,Synthetic Commodity 15,Indonesia,Asia-Pacific,3,Chemicals,72.58974472,62.56180063,65.38222886,70.0091945,0.6522,1125.05,0.72,0.56,0,1,16,12182,0.874799045,0.028,61.17966779,1.5,92.01688032,0.73,53.33,1,1022,Moderate,5.35E-05,0.850304672,0.001313413,0.64,0,73.39858935,43.55384683,77.29111443,35.15983525,0.4348,0.588919243
SYN_SUP_00016,SYN_COM_00016,Synthetic Supplier 16,Synthetic Commodity 16,Brazil,South America,3,Agriculture,60.68864251,64.12436276,61.88151733,60.74376011,0.8686,760.25,0.55,0.44,0,1,46,20799,0.902918441,0.027,66.81200102,1.21,74.24701856,0.51,72.46,2,3589,Moderate,4.18E-05,0.878539643,0.002211645,0.495,0,78.62397512,36.4131855,71.14075866,14.99576555,0.71785124,0.688059898
SYN_SUP_00017,SYN_COM_00017,Synthetic Supplier 17,Synthetic Commodity 17,USA,North America,3,Chemicals,51.33622036,62.48227813,62.01044036,61.33561919,0.9421,741.61,0.79,0.78,3,1,21,17335,0.90026354,0.044,55.26874656,1.2,57.83637171,0.68,69.71,1,7612,Moderate,5.43E-05,0.860651945,0.001211422,0.785,0.475671542,58.58482287,70.80173222,74.60522018,8.865419883,0.785083333,0.779450936
SYN_SUP_00018,SYN_COM_00018,Synthetic Supplier 18,Synthetic Commodity 18,China,Asia-Pacific,1,Agriculture,54.30635972,50.07668913,49.17057239,55.51872757,0.5252,883.21,0.46,0.78,1,0,24,16291,0.885124363,0.042,79.9986208,0.2,59.65829797,0.45,81.16,1,11247,Moderate,3.22E-05,0.84794914,0.001473206,0.62,0.226115872,48.78944076,45.91714917,63.5852862,25.09000292,2.626,0.599371605
SYN_SUP_00019,SYN_COM_00019,Synthetic Supplier 19,Synthetic Commodity 19,China,Asia-Pacific,2,Chemicals,58.24909505,60.10190243,51.11948255,62.65141653,0.4405,708.62,0.58,0.44,0,1,13,9628,0.997208502,0.028,85.64812051,0.72,83.50713717,0.79,77.1,1,1273,Moderate,4.58E-05,0.969286664,0.001350229,0.51,0,61.42531673,34.94945703,71.35974127,25.09000292,0.611805556,0.39321794
SYN_SUP_00020,SYN_COM_00020,Synthetic Supplier 20,Synthetic Commodity 20,Malaysia,Asia-Pacific,1,Electronics,56.73733669,51.44982318,72.00251298,60.37490198,0.86,573.99,0.77,0.4,1,1,38,29624,0.832948765,0.009,72.81633116,0.82,82.90431791,0.84,67.37,0,4342,Moderate,2.90E-05,0.825452226,0.001282744,0.585,0.200354676,65.60859882,47.37573535,82.80125649,19.51874501,1.048780488,0.660224281
SYN_SUP_00021,SYN_COM_00021,Synthetic Supplier 21,Synthetic Commodity 21,Indonesia,Asia-Pacific,2,Agriculture,62.92414043,43.92258904,49.76824571,41.65952521,0.841,376.64,0.37,0.57,0,1,25,6228,0.912123507,0.041,65.5071456,0.61,74.20376899,0.15,73.86,0,4782,Moderate,0.000135035,0.874726443,0.00401413,0.47,0,68.15155085,37.75448426,57.88412286,35.15983525,1.378688525,0.620306157
SYN_SUP_00022,SYN_COM_00022,Synthetic Supplier 22,Synthetic Commodity 22,Japan,Asia-Pacific,3,Electronics,61.38573442,80.01815497,81.74237357,62.32246617,0.8321,825.29,0.75,0.43,0,0,38,30565,0.854795128,0.047,41.08770748,1.31,73.45495271,0.23,69.4,1,9819,Low,2.72E-05,0.814619757,0.001243252,0.59,0,78.96749295,36.83144065,75.47118679,27.64600311,0.63519084,0.755592957
SYN_SUP_00023,SYN_COM_00023,Synthetic Supplier 23,Synthetic Commodity 23,China,Asia-Pacific,1,Electronics,68.68352204,55.60877496,66.55806584,68.88726505,0.5813,1408.75,0.77,0.49,3,1,46,25982,0.910087026,0.023,77.40629934,0.98,63.12561169,0.83,56.28,1,10176,Moderate,2.24E-05,0.889155024,0.001770456,0.63,0.688262,40.19326728,81.21011323,79.87903292,25.09000292,0.593163265,0.710239324
SYN_SUP_00024,SYN_COM_00024,Synthetic Supplier 24,Synthetic Commodity 24,Indonesia,Asia-Pacific,1,Food & Beverage,75.23384965,87.90551231,54.25304783,64.87122323,0.5693,1228.56,0.57,0.56,3,1,35,10798,0.869008618,0.035,53.75437203,0.73,72.5669975,0.3,72.37,1,4955,Low,5.27E-05,0.838593316,0.003241341,0.565,0.450780571,33.85065262,85.14030979,63.12652391,35.15983525,0.779863014,0.606410756
SYN_SUP_00025,SYN_COM_00025,Synthetic Supplier 25,Synthetic Commodity 25,India,Asia-Pacific,2,Agriculture,70.71543722,96.07754591,76.09178703,66.65552804,0.7526,1091.03,0.68,0.58,3,0,16,22712,0.863275841,0.03,70.37993281,1.24,97.52474131,0.83,48.9,1,3555,Low,3.31E-05,0.837377566,0.000704473,0.63,0.589345768,47.66459697,82.42926233,84.64589351,9.261089909,0.606935484,0.675091235
SYN_SUP_00026,SYN_COM_00026,Synthetic Supplier 26,Synthetic Commodity 26,Brazil,South America,2,Electronics,62.58902944,52.93732622,59.8475652,33.81485241,0.4411,1111.39,0.59,0.4,0,1,26,46108,0.890313664,0.04,90.68258768,1.13,65.57051435,0.67,55.14,1,3278,Moderate,9.57E-06,0.854701118,0.000563893,0.495,0,66.0713397,37.55341766,73.3237826,14.99576555,0.390353982,0.488225682
SYN_SUP_00027,SYN_COM_00027,Synthetic Supplier 27,Synthetic Commodity 27,India,Asia-Pacific,1,Agriculture,65.67138332,44.37542728,54.95314529,72.22351234,0.9135,702.03,0.57,0.52,3,0,13,22873,0.937309154,0.012,69.9110284,1.8,92.98895469,0.27,78.03,1,11055,Moderate,3.99E-05,0.926061444,0.000568356,0.545,0.647419079,61.85251584,79.40282999,62.87657264,9.261089909,0.5075,0.798688357
SYN_SUP_00028,SYN_COM_00028,Synthetic Supplier 28,Synthetic Commodity 28,India,Asia-Pacific,2,Metals,62.15165607,60.21721821,52.85537379,78.92604073,0.6153,1278.43,0.61,0.39,3,1,39,42877,0.940089479,0.015,62.26335565,1.52,76.26204463,0.5,69.4,1,11999,Moderate,1.44E-05,0.925988136,0.000909579,0.5,0.576551287,51.42942038,77.29099364,66.42768689,9.261089909,0.404802632,0.731046336
SYN_SUP_00029,SYN_COM_00029,Synthetic Supplier 29,Synthetic Commodity 29,India,North America,3,Electronics,79.24793203,75.07189834,74.61203912,87.2200058,0.6946,994.33,0.66,0.4,0,1,13,21108,0.87041346,0.009,100,0.82,99.97408534,0.46,50,1,1794,Low,3.29E-05,0.862579739,0.00061588,0.53,0,61.92822379,47.54875922,76.50601956,0,0.847073171,0.601502581
SYN_SUP_00030,SYN_COM_00030,Synthetic Supplier 30,Synthetic Commodity 30,USA,North America,3,Chemicals,78.80280413,59.34076404,86.59532295,79.37178685,0.802,1367.97,0.5,0.62,0,1,47,22273,0.86554373,0.032,88.72310198,0.69,96.93415387,0.73,78.73,1,10157,Moderate,3.60E-05,0.837846331,0.002110178,0.56,0,62.81901855,47.28168248,87.89766148,8.865419883,1.162318841,0.835386408
SYN_SUP_00031,SYN_COM_00031,Synthetic Supplier 31,Synthetic Commodity 31,China,Asia-Pacific,3,Food & Beverage,69.99725187,63.23334376,93.38065883,79.03383353,0.1224,1004.65,0.75,0.65,0,0,38,12737,0.898126717,0.033,63.56853733,1.27,72.77307597,0.64,63.42,0,5939,Low,9.61E-06,0.868488535,0.002983434,0.7,0,57.61096184,41.99835112,89.49032942,25.09000292,0.096377953,0.312000736
SYN_SUP_00032,SYN_COM_00032,Synthetic Supplier 32,Synthetic Commodity 32,China,Asia-Pacific,2,Agriculture,81.36779219,80.08295439,96.27761215,65.71563171,0.4662,1042.52,0.64,0.44,1,1,6,12643,0.958898706,0.046,39.3310634,1.44,73.44330109,0.28,72.56,1,10218,Low,3.69E-05,0.914789366,0.000474571,0.54,0.119932128,56.4429394,62.15400865,83.73880608,25.09000292,0.32375,0.578533443
SYN_SUP_00033,SYN_COM_00033,Synthetic Supplier 33,Synthetic Commodity 33,Malaysia,Asia-Pacific,1,Metals,53.73130593,43.19850859,49.84504553,48.33244626,0.1853,484.06,0.61,0.29,3,1,47,47583,0.932548481,0.034,73.15810923,1.16,71.9526003,0.5,69.51,1,3697,Moderate,3.89E-06,0.900841833,0.000987748,0.45,0.659038852,38.22654292,72.23878356,64.92252276,19.51874501,0.159741379,0.231794137
SYN_SUP_00034,SYN_COM_00034,Synthetic Supplier 34,Synthetic Commodity 34,Brazil,South America,3,Chemicals,67.6592464,67.85871005,85.11510501,66.79175811,0.2252,1022.82,0.75,0.83,0,1,33,29481,0.848294351,0.044,90.5959949,1.16,64.22435502,0.53,70.5,1,3675,Low,7.64E-06,0.810969399,0.001119365,0.79,0,59.34926376,40.59554784,83.1575525,14.99576555,0.194137931,0.34839182
SYN_SUP_00035,SYN_COM_00035,Synthetic Supplier 35,Synthetic Commodity 35,Indonesia,South America,2,Electronics,54.81582999,57.52175288,81.70513478,66.87044167,0.8426,678.73,0.71,0.66,1,1,10,1433,0.938117528,0.032,80.0468391,0.77,73.99907966,0.79,67.47,3,5833,Moderate,0.000587997,0.908097767,0.006978367,0.685,0.242301186,65.09612617,46.22283133,86.65256739,31.9331177,1.094285714,0.686570113
SYN_SUP_00036,SYN_COM_00036,Synthetic Supplier 36,Synthetic Commodity 36,Brazil,South America,2,Agriculture,63.2529423,41.53088763,61.56106934,59.98001811,0.8788,157.6,0.4,0.06,0,0,45,20070,0.944066555,0.027,97.77557282,0.35,57.03030082,0.69,83.84,1,10496,Moderate,4.38E-05,0.918576758,0.002242152,0.23,0,65.0814702,37.95176538,74.58053467,14.99576555,2.510857143,0.676938515
SYN_SUP_00037,SYN_COM_00037,Synthetic Supplier 37,Synthetic Commodity 37,India,Asia-Pacific,3,Electronics,72.48738529,57.82578548,76.498392,68.93831703,0.8789,1330.47,0.68,0.39,0,1,15,21077,0.923799629,0.002,63.94811903,0.21,78.35292543,0.8,52.92,1,4611,Low,4.17E-05,0.92195203,0.000711676,0.535,0,59.75191515,43.49243118,84.249196,9.261089909,4.185238095,0.805431097
SYN_SUP_00038,SYN_COM_00038,Synthetic Supplier 38,Synthetic Commodity 38,Malaysia,Asia-Pacific,1,Agriculture,54.52623992,53.88169492,56.97319746,31.51312014,0.3548,1110.09,0.63,0.61,2,0,31,6274,0.87548194,0.056,65.87910288,1.11,91.03656179,0.73,85.87,3,2861,Moderate,5.66E-05,0.826454951,0.004941026,0.62,0.362974072,49.76914936,59.38241062,73.08659873,19.51874501,0.31963964,0.430986251
SYN_SUP_00039,SYN_COM_00039,Synthetic Supplier 39,Synthetic Commodity 39,Japan,Asia-Pacific,1,Agriculture,66.7462841,72.95104338,86.92780111,85.99101262,0.1646,880.27,0.77,0.36,0,1,41,26134,0.90839625,0.058,98.93884503,0.45,58.49136677,0.85,50.07,3,10009,Low,6.30E-06,0.855709267,0.001568838,0.565,0,47.50380056,40.04777046,90.46390056,27.64600311,0.365777778,0.366962117
SYN_SUP_00040,SYN_COM_00040,Synthetic Supplier 40,Synthetic Commodity 40,China,Asia-Pacific,2,Chemicals,66.14718311,63.2414772,82.42348294,76.80441079,0.4141,618.06,0.6,0.55,2,1,42,3951,0.854705947,0.02,55.42915981,1.24,83.16712878,0.23,63.47,0,1147,Low,0.000104809,0.837611828,0.01063022,0.575,0.309520799,49.13431925,66.35497653,75.81174147,25.09000292,0.333951613,0.360174859
SYN_SUP_00041,SYN_COM_00041,Synthetic Supplier 41,Synthetic Commodity 41,Japan,Asia-Pacific,1,Chemicals,71.5591701,61.40826527,75.95758532,53.27307615,0.3399,862.96,0.56,0.71,0,1,15,17572,0.897567533,0.034,39.71348364,1.15,71.4635,0.77,74.29,1,9841,Moderate,1.93E-05,0.867050237,0.000853631,0.635,0,60.70179047,42.93550206,83.37879266,27.64600311,0.295565217,0.467047074
SYN_SUP_00042,SYN_COM_00042,Synthetic Supplier 42,Synthetic Commodity 42,Malaysia,Asia-Pacific,3,Chemicals,68.40355572,100,83.99773052,85.06339816,0.7381,728.99,0.76,0.54,0,0,6,6093,0.834797231,0.032,99.6238139,1.24,63.12476161,0.6,62.82,1,11063,Low,0.000121139,0.80808372,0.000984737,0.65,0,73.1112555,41.04213343,83.99886526,19.51874501,0.595241935,0.698199281
SYN_SUP_00043,SYN_COM_00043,Synthetic Supplier 43,Synthetic Commodity 43,Brazil,South America,3,Agriculture,55.99389126,59.14381199,61.66196394,23.22918964,0.8194,1039.13,0.63,0.4,0,1,31,16193,0.912180714,0.04,89.81648002,1.01,66.91729115,0.39,52.14,0,9301,Moderate,5.06E-05,0.875693486,0.001914407,0.515,0,76.03713806,33.59633476,68.63098197,14.99576555,0.811287129,0.778356295
SYN_SUP_00044,SYN_COM_00044,Synthetic Supplier 44,Synthetic Commodity 44,Malaysia,Asia-Pacific,3,Metals,74.64038584,85.23512801,96.58382138,76.02261956,0.2702,1197.69,0.37,0.56,2,1,38,19808,0.940438623,0.023,69.93822392,1.68,58.27194808,0.46,60.12,1,1087,Low,1.36E-05,0.918808534,0.001918417,0.465,0.428398913,49.16419829,71.45089817,87.49191069,19.51874501,0.160833333,0.37306538
SYN_SUP_00045,SYN_COM_00045,Synthetic Supplier 45,Synthetic Commodity 45,USA,Asia-Pacific,3,Chemicals,57.17262771,56.99784979,48.10481436,64.54491179,0.7712,464.39,0.7,0.29,1,1,14,32955,0.903489374,0.025,73.15561068,1.25,97.55744981,0.4,76.04,0,9141,Moderate,2.34E-05,0.88090214,0.000424822,0.495,0.21480978,69.68624697,47.63690996,62.05240718,18.12650979,0.61696,0.64828731
SYN_SUP_00046,SYN_COM_00046,Synthetic Supplier 46,Synthetic Commodity 46,Japan,Asia-Pacific,3,Agriculture,77.7937966,60.51231397,72.22414202,79.17068461,0.4564,995.91,0.77,0.36,3,1,5,36657,0.888186901,0.023,69.81368713,1.09,56.48831042,0.64,52.27,1,11669,Moderate,1.25E-05,0.867758602,0.0001364,0.565,0.605814275,35.53217119,86.67627796,78.91207101,27.64600311,0.418715596,0.582829848
SYN_SUP_00047,SYN_COM_00047,Synthetic Supplier 47,Synthetic Commodity 47,India,Asia-Pacific,3,Electronics,68.65685228,93.07240762,85.98069784,78.48419659,0.7392,1123.57,0.64,0.3,2,1,33,11211,0.918736015,0.025,46.43139575,1.21,81.39812465,0.54,71.35,0,1629,Moderate,6.59E-05,0.895767614,0.002943538,0.47,0.277278271,55.93343504,67.86077803,83.79034892,9.261089909,0.610909091,0.648484472
SYN_SUP_00048,SYN_COM_00048,Synthetic Supplier 48,Synthetic Commodity 48,Brazil,South America,2,Agriculture,65.64019723,54.70880746,55.35483761,64.44164838,0.5744,152.78,0.6,0.41,2,1,31,31559,0.905771191,0.023,34.53132414,1.1,97.98893392,0.84,84.06,2,9569,Moderate,1.82E-05,0.884938453,0.000982287,0.505,0.203720644,51.2192643,66.050785,74.4774188,14.99576555,0.522181818,0.481829154
SYN_SUP_00049,SYN_COM_00049,Synthetic Supplier 49,Synthetic Commodity 49,India,Asia-Pacific,1,Metals,75.56561018,53.59113556,93.47127683,78.18434337,0.8452,997.7,0.6,0.29,0,0,17,8509,0.948215977,0.034,75.67881504,1.56,67.22351414,0.84,69.71,1,1657,Low,9.93E-05,0.915976634,0.001997885,0.445,0,78.08203644,45.33936611,93.53563842,9.261089909,0.541794872,0.690723939
SYN_SUP_00050,SYN_COM_00050,Synthetic Supplier 50,Synthetic Commodity 50,India,Asia-Pacific,2,Electronics,69.30808925,54.97757157,89.39366385,73.12283322,0.5406,1226.97,0.27,0.04,0,1,7,20670,0.946428857,0.017,81.53791808,0.7,73.68308842,0.83,74.9,1,11634,Low,2.62E-05,0.930339566,0.000338655,0.155,0,59.75716876,41.58485355,91.29683193,9.261089909,0.772285714,0.672767342
SYN_SUP_00051,SYN_COM_00051,Synthetic Supplier 51,Synthetic Commodity 51,indonesia,Asia-Pacific,1,Agriculture,55.9377198,56.45750423,50.81600528,59.22056694,0.4231,1434.23,0.62,0.53,0,1,6,25363,0.902091063,0.028,40.87609446,1.23,98.37796377,0.29,62.08,1,8631,Moderate,1.67E-05,0.876832513,0.000236565,0.575,0,69.44929807,33.56263188,61.20800264,57.12350272,0.34398374,0.600317967
SYN_SUP_00052,SYN_COM_00052,Synthetic Supplier 52,Synthetic Commodity 52,Brazil,Asia-Pacific,2,Metals,64.73831249,54.23308906,55.3886963,62.96305091,0.1556,1417.61,0.62,0.42,0,1,39,38540,0.943281356,0.032,91.86433335,1.35,64.87151678,0.21,55.96,3,11232,Moderate,4.04E-06,0.913096352,0.001011936,0.52,0,61.48159063,38.8429875,61.89434815,18.22248311,0.115259259,0.469605086
SYN_SUP_00053,SYN_COM_00053,Synthetic Supplier 53,Synthetic Commodity 53,Brazil,South America,3,Electronics,56.70649358,75.55631233,80.25337718,35.03987756,0.5532,974.81,0.6,0.44,0,0,9,18720,0.915260489,0.028,44.7425708,0.87,71.03306712,0.51,88.54,1,8612,Moderate,2.96E-05,0.889633195,0.000480769,0.52,0,67.03272725,34.02389615,80.32668859,14.99576555,0.635862069,0.598891377
SYN_SUP_00054,SYN_COM_00054,Synthetic Supplier 54,Synthetic Commodity 54,China,Asia-Pacific,1,Agriculture,70.66109167,88.280918,72.90173241,74.59729929,0.6971,1325.54,0.49,0.67,2,1,20,31428,0.808110265,0.03,63.96996781,0.97,86.0900618,0.67,53.17,1,1523,Moderate,2.22E-05,0.783866957,0.000636375,0.58,0.33429296,50.57945125,69.06332167,79.85086621,25.09000292,0.718659794,0.656732698
SYN_SUP_00055,SYN_COM_00055,Synthetic Supplier 55,Synthetic Commodity 55,Brazil,South America,2,Chemicals,64.14868423,90.89621908,64.71457226,62.30361505,0.878,951.06,0.62,0.61,1,0,46,21128,0.877030286,0.045,92.8565233,1.07,57.8486578,0.56,71.28,1,4188,Moderate,4.16E-05,0.837563923,0.002177206,0.615,0.259244246,67.21462719,51.82254387,73.55728613,14.99576555,0.820560748,0.734133924
SYN_SUP_00056,SYN_COM_00056,Synthetic Supplier 56,Synthetic Commodity 56,USA,North America,3,Agriculture,37.365,20.93184645,38.16625418,35.14128561,0.3605,624.68,0.74,0.41,2,1,12,8523,0.928575158,0.049,60.74828069,1.29,98.52347704,0.66,69.59,0,838,High,4.23E-05,0.883074975,0.001407955,0.575,0.357635243,58.61808333,49.08566667,62.28312709,8.865419883,0.279457364,0.325277471
SYN_SUP_00057,SYN_COM_00057,Synthetic Supplier 57,Synthetic Commodity 57,Malaysia,North America,3,Agriculture,65.73754764,65.210868,86.70579668,66.32235661,0.7454,807.22,0.53,0.74,2,1,43,9623,0.973970764,0.019,57.57193817,1.27,40.35177367,0.59,79.02,1,8667,Moderate,7.75E-05,0.955465319,0.004468461,0.635,0.366719935,58.01019166,66.10919525,85.15289834,10.2576551,0.586929134,0.685993285
SYN_SUP_00058,SYN_COM_00058,Synthetic Supplier 58,Synthetic Commodity 58,Japan,Asia-Pacific,3,Metals,46.95430176,66.38351976,71.18158603,42.72852758,0.8712,1054.22,0.57,0.53,0,1,26,12110,0.912314553,0.027,67.7567599,1.17,58.72683702,0.69,42.52,0,5603,Low,7.19E-05,0.88768206,0.002146986,0.55,0,82.89599438,28.17258106,79.39079301,27.64600311,0.744615385,0.765613078
SYN_SUP_00059,SYN_COM_00059,Synthetic Supplier 59,Synthetic Commodity 59,Indonesia,Asia-Pacific,3,Electronics,73.1956606,52.7234719,79.49191558,79.43121053,0.4702,716.32,0.59,0.43,2,1,11,16471,0.903891837,0.041,71.63317387,0.88,72.9354999,0.53,75.67,1,9042,Low,2.85E-05,0.866832271,0.00066784,0.51,0.413959645,42.66985212,70.58406303,80.34595779,35.15983525,0.534318182,0.509901311
SYN_SUP_00060,SYN_COM_00060,Synthetic Supplier 60,Synthetic Commodity 60,China,Asia-Pacific,2,Chemicals,65.73790883,29.87149397,75.71980448,39.46019037,0.3442,807.75,0.64,0.84,1,1,41,9599,0.829370599,0.031,49.59567263,1.18,71.13714933,0.78,77.3,1,5063,Moderate,3.59E-05,0.80366011,0.004271278,0.74,0.132860212,54.96339858,52.77607863,83.45990224,25.09000292,0.291694915,0.400118642
