Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Financial_Stability_Score,Cost_Index,Labour_Compliance_Score,Diversity_Index,Supplier_Audit_Score,Incident_History_Count,Logistics_Distance_km,Risk_Classification,Supplier_ID,Commodity_ID,Supplier_Name,Commodity_Name
USA,North America,3,Chemicals,51.33622036253391,62.48227812807797,62.0104403598013,61.33561919200873,0.9421,741.61,0.79,0.78,3,1,21,17335,0.9002635403113327,0.044,55.26874655795562,1.2,57.836371712556776,0.68,69.71,1,7612,Moderate,SYN_SUP_00017,SYN_COM_00017,Synthetic Supplier 17,Synthetic Commodity 17
China,Asia-Pacific,1,Agriculture,54.30635971997192,50.0766891295214,49.17057239271871,55.51872757303032,0.5252,883.21,0.46,0.78,1,0,24,16291,0.8851243631454966,0.042,79.99862080082133,0.2,59.658297971662485,0.45,81.16,1,11247,Moderate,SYN_SUP_00018,SYN_COM_00018,Synthetic Supplier 18,Synthetic Commodity 18
China,Asia-Pacific,2,Chemicals,58.249095049829144,60.10190243223411,51.119482549244715,62.65141653178585,0.4405,708.62,0.58,0.44,0,1,13,9628,0.9972085023891769,0.028,85.6481205132931,0.72,83.50713716893013,0.79,77.1,1,1273,Moderate,SYN_SUP_00019,SYN_COM_00019,Synthetic Supplier 19,Synthetic Commodity 19
Malaysia,Asia-Pacific,1,Electronics,56.737336691321936,51.44982317739996,72.00251298045889,60.37490197598395,0.86,573.99,0.77,0.4,1,1,38,29624,0.8329487652471617,0.009,72.816331159672,0.82,82.90431790701344,0.84,67.37,0,4342,Moderate,SYN_SUP_00020,SYN_COM_00020,Synthetic Supplier 20,Synthetic Commodity 20
Indonesia,Asia-Pacific,2,Agriculture,62.92414042825657,43.92258903640343,49.76824571165724,41.659525208648226,0.841,376.64,0.37,0.57,0,1,25,6228,0.9121235071006987,0.041,65.5071456045318,0.61,74.20376898592669,0.15,73.86,0,4782,Moderate,SYN_SUP_00021,SYN_COM_00021,Synthetic Supplier 21,Synthetic Commodity 21
Japan,Asia-Pacific,3,Electronics,61.385734416095346,80.01815496779196,81.74237357132986,62.322466174601445,0.8321,825.29,0.75,0.43,0,0,38,30565,0.8547951281663049,0.047,41.08770748227417,1.31,73.45495271307534,0.23,69.4,1,9819,Low,SYN_SUP_00022,SYN_COM_00022,Synthetic Supplier 22,Synthetic Commodity 22
China,Asia-Pacific,1,Electronics,68.68352204358757,55.608774962595405,66.5580658417541,68.88726504977826,0.5813,1408.75,0.77,0.49,3,1,46,25982,0.91008702600927,0.023,77.40629933912943,0.98,63.12561168980571,0.83,56.28,1,10176,Moderate,SYN_SUP_00023,SYN_COM_00023,Synthetic Supplier 23,Synthetic Commodity 23
Indonesia,Asia-Pacific,1,Food & Beverage,75.23384964929602,87.90551230698058,54.253047826882955,64.8712232307156,0.5693,1228.56,0.57,0.56,3,1,35,10798,0.8690086175065136,0.035,53.75437203162404,0.73,72.5669975019196,0.3,72.37,1,4955,Low,SYN_SUP_00024,SYN_COM_00024,Synthetic Supplier 24,Synthetic Commodity 24
India,Asia-Pacific,2,Agriculture,70.71543721914873,96.07754590566734,76.09178702658346,66.65552803984424,0.7526,1091.03,0.68,0.58,3,0,16,22712,0.8632758408861001,0.03,70.3799328103066,1.24,97.52474130682795,0.83,48.9,1,3555,Low,SYN_SUP_00025,SYN_COM_00025,Synthetic Supplier 25,Synthetic Commodity 25
Brazil,South America,2,Electronics,62.58902943781091,52.937326217309156,59.84756520330127,33.814852409370786,0.4411,1111.39,0.59,0.4,0,1,26,46108,0.8903136643666532,0.04,90.68258767634714,1.13,65.57051434778906,0.67,55.14,1,3278,Moderate,SYN_SUP_00026,SYN_COM_00026,Synthetic Supplier 26,Synthetic Commodity 26
India,Asia-Pacific,1,Agriculture,65.67138331635266,44.37542728388348,54.95314528631303,72.22351233553431,0.9135,702.03,0.57,0.52,3,0,13,22873,0.9373091541738158,0.012,69.91102840373605,1.8,92.9889546855227,0.27,78.03,1,11055,Moderate,SYN_SUP_00027,SYN_COM_00027,Synthetic Supplier 27,Synthetic Commodity 27
India,Asia-Pacific,2,Metals,62.15165606858986,60.21721820885265,52.85537378853079,78.92604072891042,0.6153,1278.43,0.61,0.39,3,1,39,42877,0.9400894785184382,0.015,62.263355653500945,1.52,76.26204462687343,0.5,69.4,1,11999,Moderate,SYN_SUP_00028,SYN_COM_00028,Synthetic Supplier 28,Synthetic Commodity 28
India,North America,3,Electronics,79.247932033494,75.07189833702373,74.61203912224092,87.22000579879011,0.6946,994.33,0.66,0.4,0,1,13,21108,0.8704134604209885,0.009,100.0,0.82,99.97408534137816,0.46,50.0,1,1794,Low,SYN_SUP_00029,SYN_COM_00029,Synthetic Supplier 29,Synthetic Commodity 29
USA,North America,3,Chemicals,78.80280413487527,59.34076403518447,86.59532295239863,79.37178685383054,0.802,1367.97,0.5,0.62,0,1,47,22273,0.865543729891354,0.032,88.7231019787824,0.69,96.93415387381577,0.73,78.73,1,10157,Moderate,SYN_SUP_00030,SYN_COM_00030,Synthetic Supplier 30,Synthetic Commodity 30
China,Asia-Pacific,3,Food & Beverage,69.9972518729366,63.2333437586939,93.38065883431338,79.03383353235719,0.1224,1004.65,0.75,0.65,0,0,38,12737,0.8981267165050391,0.033,63.56853733446996,1.27,72.77307597167265,0.64,63.42,0,5939,Low,SYN_SUP_00031,SYN_COM_00031,Synthetic Supplier 31,Synthetic Commodity 31
China,Asia-Pacific,2,Agriculture,81.3677921937722,80.0829543895936,96.2776121521102,65.71563170840692,0.4662,1042.52,0.64,0.44,1,1,6,12643,0.958898706094893,0.046,39.33106339630898,1.44,73.44330109033814,0.28,72.56,1,10218,Low,SYN_SUP_00032,SYN_COM_00032,Synthetic Supplier 32,Synthetic Commodity 32
Malaysia,Asia-Pacific,1,Metals,53.73130593266676,43.19850858996838,49.84504552918393,48.33244626419737,0.1853,484.06,0.61,0.29,3,1,47,47583,0.9325484812945989,0.034,73.15810922885007,1.16,71.95260030134062,0.5,69.51,1,3697,Moderate,SYN_SUP_00033,SYN_COM_00033,Synthetic Supplier 33,Synthetic Commodity 33
Brazil,South America,3,Chemicals,67.65924640289003,67.85871004532017,85.11510500903927,66.79175811360611,0.2252,1022.82,0.75,0.83,0,1,33,29481,0.8482943505729081,0.044,90.59599490328004,1.16,64.22435501869934,0.53,70.5,1,3675,Low,SYN_SUP_00034,SYN_COM_00034,Synthetic Supplier 34,Synthetic Commodity 34
Indonesia,South America,2,Electronics,54.815829989050265,57.521752881428895,81.70513477788401,66.87044166708498,0.8426,678.73,0.71,0.66,1,1,10,1433,0.9381175283048514,0.032,80.04683909889336,0.77,73.99907965960858,0.79,67.47,3,5833,Moderate,SYN_SUP_00035,SYN_COM_00035,Synthetic Supplier 35,Synthetic Commodity 35
Brazil,South America,2,Agriculture,63.25294229936157,41.530887628607196,61.561069343462435,59.98001810955638,0.8788,157.6,0.4,0.06,0,0,45,20070,0.9440665545039965,0.027,97.77557282395836,0.35,57.030300815345086,0.69,83.84,1,10496,Moderate,SYN_SUP_00036,SYN_COM_00036,Synthetic Supplier 36,Synthetic Commodity 36
India,Asia-Pacific,3,Electronics,72.48738529462665,57.8257854764922,76.49839200082309,68.93831702782785,0.8789,1330.47,0.68,0.39,0,1,15,21077,0.9237996294986932,0.002,63.94811902958326,0.21,78.35292542603175,0.8,52.92,1,4611,Low,SYN_SUP_00037,SYN_COM_00037,Synthetic Supplier 37,Synthetic Commodity 37
Malaysia,Asia-Pacific,1,Agriculture,54.52623992109694,53.88169491894424,56.97319746196488,31.513120144360272,0.3548,1110.09,0.63,0.61,2,0,31,6274,0.8754819396052529,0.056,65.87910287844015,1.11,91.03656179053382,0.73,85.87,3,2861,Moderate,SYN_SUP_00038,SYN_COM_00038,Synthetic Supplier 38,Synthetic Commodity 38
Japan,Asia-Pacific,1,Agriculture,66.74628410285533,72.9510433822739,86.92780111077947,85.99101261977412,0.1646,880.27,0.77,0.36,0,1,41,26134,0.9083962495436452,0.058,98.93884502684571,0.45,58.49136676925776,0.85,50.07,3,10009,Low,SYN_SUP_00039,SYN_COM_00039,Synthetic Supplier 39,Synthetic Commodity 39
China,Asia-Pacific,2,Chemicals,66.1471831050898,63.24147720392626,82.42348294400425,76.80441079494248,0.4141,618.06,0.6,0.55,2,1,42,3951,0.854705946870732,0.02,55.4291598131704,1.24,83.16712878132314,0.23,63.47,0,1147,Low,SYN_SUP_00040,SYN_COM_00040,Synthetic Supplier 40,Synthetic Commodity 40
Japan,Asia-Pacific,1,Chemicals,71.55917009519582,61.408265273312516,75.95758532396566,53.273076150663854,0.3399,862.96,0.56,0.71,0,1,15,17572,0.8975675332138976,0.034,39.713483638404625,1.15,71.4635000033013,0.77,74.29,1,9841,Moderate,SYN_SUP_00041,SYN_COM_00041,Synthetic Supplier 41,Synthetic Commodity 41
Malaysia,Asia-Pacific,3,Chemicals,68.40355571900918,100.0,83.99773052476564,85.06339816353066,0.7381,728.99,0.76,0.54,0,0,6,6093,0.8347972314047094,0.032,99.62381390349483,1.24,63.1247616106899,0.6,62.82,1,11063,Low,SYN_SUP_00042,SYN_COM_00042,Synthetic Supplier 42,Synthetic Commodity 42
Brazil,South America,3,Agriculture,55.993891264761174,59.14381198731831,61.66196394001447,23.22918963699533,0.8194,1039.13,0.63,0.4,0,1,31,16193,0.9121807142870821,0.04,89.8164800180783,1.01,66.91729115097806,0.39,52.14,0,9301,Moderate,SYN_SUP_00043,SYN_COM_00043,Synthetic Supplier 43,Synthetic Commodity 43
Malaysia,Asia-Pacific,3,Metals,74.64038583780913,85.23512800739377,96.58382138317648,76.0226195629457,0.2702,1197.69,0.37,0.56,2,1,38,19808,0.9404386225930881,0.023,69.93822392241877,1.68,58.27194808152696,0.46,60.12,1,1087,Low,SYN_SUP_00044,SYN_COM_00044,Synthetic Supplier 44,Synthetic Commodity 44
USA,Asia-Pacific,3,Chemicals,57.172627712862706,56.997849785578936,48.104814359883434,64.54491179174516,0.7712,464.39,0.7,0.29,1,1,14,32955,0.9034893743872281,0.025,73.1556106751072,1.25,97.55744980751633,0.4,76.04,0,9141,Moderate,SYN_SUP_00045,SYN_COM_00045,Synthetic Supplier 45,Synthetic Commodity 45
Japan,Asia-Pacific,3,Agriculture,77.79379659513927,60.512313967525714,72.22414202191445,79.17068461247415,0.4564,995.91,0.77,0.36,3,1,5,36657,0.8881869007072598,0.023,69.81368712651043,1.09,56.488310423188054,0.64,52.27,1,11669,Moderate,SYN_SUP_00046,SYN_COM_00046,Synthetic Supplier 46,Synthetic Commodity 46
India,Asia-Pacific,3,Electronics,68.65685228046733,93.07240761559481,85.9806978445473,78.48419659153664,0.7392,1123.57,0.64,0.3,2,1,33,11211,0.9187360147739428,0.025,46.4313957507534,1.21,81.3981246511983,0.54,71.35,0,1629,Moderate,SYN_SUP_00047,SYN_COM_00047,Synthetic Supplier 47,Synthetic Commodity 47
Brazil,South America,2,Agriculture,65.64019722843777,54.70880745618835,55.35483760907765,64.44164837544501,0.5744,152.78,0.6,0.41,2,1,31,31559,0.9057711908374307,0.023,34.531324140967754,1.1,97.98893392069614,0.84,84.06,2,9569,Moderate,SYN_SUP_00048,SYN_COM_00048,Synthetic Supplier 48,Synthetic Commodity 48
India,Asia-Pacific,1,Metals,75.5656101809326,53.59113555998036,93.47127683050851,78.18434337030455,0.8452,997.7,0.6,0.29,0,0,17,8509,0.94821597739737,0.034,75.6788150438276,1.56,67.22351413910064,0.84,69.71,1,1657,Low,SYN_SUP_00049,SYN_COM_00049,Synthetic Supplier 49,Synthetic Commodity 49
India,Asia-Pacific,2,Electronics,69.30808925259063,54.97757156703634,89.39366385169245,73.12283321997019,0.5406,1226.97,0.27,0.04,0,1,7,20670,0.9464288568040357,0.017,81.53791808473609,0.7,73.68308841803457,0.83,74.9,1,11634,Low,SYN_SUP_00050,SYN_COM_00050,Synthetic Supplier 50,Synthetic Commodity 50
indonesia,Asia-Pacific,1,Agriculture,55.93771979839963,56.45750423097709,50.816005281892124,59.220566942769885,0.4231,1434.23,0.62,0.53,0,1,6,25363,0.9020910625925314,0.028,40.87609445510923,1.23,98.377963768845,0.29,62.08,1,8631,Moderate,SYN_SUP_00051,SYN_COM_00051,Synthetic Supplier 51,Synthetic Commodity 51
Brazil,Asia-Pacific,2,Metals,64.73831249401437,54.233089056144145,55.38869629987838,62.963050907051155,0.1556,1417.61,0.62,0.42,0,1,39,38540,0.9432813555445829,0.032,91.86433334588433,1.35,64.87151677692076,0.21,55.96,3,11232,Moderate,SYN_SUP_00052,SYN_COM_00052,Synthetic Supplier 52,Synthetic Commodity 52
Brazil,South America,3,Electronics,56.706493579064045,75.55631233068308,80.25337718370646,35.03987755706245,0.5532,974.81,0.6,0.44,0,0,9,18720,0.9152604885343342,0.028,44.74257079724194,0.87,71.03306712150838,0.51,88.54,1,8612,Moderate,SYN_SUP_00053,SYN_COM_00053,Synthetic Supplier 53,Synthetic Commodity 53
China,Asia-Pacific,1,Agriculture,70.6610916664053,88.28091799751051,72.90173241219682,74.5972992904049,0.6971,1325.54,0.49,0.67,2,1,20,31428,0.808110265163193,0.03,63.96996781300759,0.97,86.09006179591817,0.67,53.17,1,1523,Moderate,SYN_SUP_00054,SYN_COM_00054,Synthetic Supplier 54,Synthetic Commodity 54
Brazil,South America,2,Chemicals,64.14868422602044,90.89621908015918,64.71457226427445,62.303615045228504,0.878,951.06,0.62,0.61,1,0,46,21128,0.8770302856316391,0.045,92.85652329609944,1.07,57.84865779810366,0.56,71.28,1,4188,Moderate,SYN_SUP_00055,SYN_COM_00055,Synthetic Supplier 55,Synthetic Commodity 55
USA,North America,3,Agriculture,37.365,20.93184644906085,38.166254178162944,35.141285605774684,0.3605,624.68,0.74,0.41,2,1,12,8523,0.9285751578293208,0.049,60.748280687594374,1.29,98.52347704161838,0.66,69.59,0,838,High,SYN_SUP_00056,SYN_COM_00056,Synthetic Supplier 56,Synthetic Commodity 56
Malaysia,North America,3,Agriculture,65.73754763767593,65.21086799743107,86.70579668220128,66.3223566074226,0.7454,807.22,0.53,0.74,2,1,43,9623,0.9739707639185116,0.019,57.57193816901326,1.27,40.35177366559771,0.59,79.02,1,8667,Moderate,SYN_SUP_00057,SYN_COM_00057,Synthetic Supplier 57,Synthetic Commodity 57
Japan,Asia-Pacific,3,Metals,46.954301761194195,66.3835197598779,71.18158602895686,42.728527578286595,0.8712,1054.22,0.57,0.53,0,1,26,12110,0.9123145531896389,0.027,67.75675989858739,1.17,58.7268370165793,0.69,42.52,0,5603,Low,SYN_SUP_00058,SYN_COM_00058,Synthetic Supplier 58,Synthetic Commodity 58
Indonesia,Asia-Pacific,3,Electronics,73.19566059818203,52.72347189616525,79.49191557849309,79.43121053285033,0.4702,716.32,0.59,0.43,2,1,11,16471,0.9038918367924722,0.041,71.63317387105187,0.88,72.9354998994527,0.53,75.67,1,9042,Low,SYN_SUP_00059,SYN_COM_00059,Synthetic Supplier 59,Synthetic Commodity 59
China,Asia-Pacific,2,Chemicals,65.73790883291073,29.87149396641999,75.71980448141403,39.46019037157732,0.3442,807.75,0.64,0.84,1,1,41,9599,0.8293705990123873,0.031,49.595672630762664,1.18,71.13714932619635,0.78,77.3,1,5063,Moderate,SYN_SUP_00060,SYN_COM_00060,Synthetic Supplier 60,Synthetic Commodity 60
Japan,South America,2,Agriculture,76.87126069288803,61.40914905698995,59.659294985288746,82.79611782330079,0.2204,835.45,0.4,0.41,1,0,42,37053,0.9242866318172408,0.02,74.66940143341677,1.23,97.17512626208655,0.37,79.56,1,9855,Moderate,SYN_SUP_00061,SYN_COM_00061,Synthetic Supplier 61,Synthetic Commodity 61
Malaysia,Asia-Pacific,3,Agriculture,77.51764212862824,98.53378814821527,84.46228552552091,71.43539478063215,0.0797,1078.07,0.57,0.44,0,0,39,36731,0.8928189747031651,0.026,96.98208454906315,0.22,71.48070390424922,0.62,73.22,1,1525,Low,SYN_SUP_00062,SYN_COM_00062,Synthetic Supplier 62,Synthetic Commodity 62
Indonesia,Asia-Pacific,2,Electronics,66.46064511201723,95.95599027744925,59.338620149982205,76.3925910092746,0.9793,1205.96,0.55,0.46,2,1,34,38313,0.8429131049852634,0.05,96.86999736681429,1.07,87.96658049151219,0.72,59.26,0,11620,Low,SYN_SUP_00063,SYN_COM_00063,Synthetic Supplier 63,Synthetic Commodity 63
India,Asia-Pacific,2,Electronics,81.40924291775238,87.46337885567588,76.82569977338208,73.55026618854829,0.8413,932.12,0.5,0.39,3,1,41,19570,0.9426283901414944,0.046,91.51562449178293,1.31,75.96296650160981,0.71,66.96,1,10090,Low,SYN_SUP_00064,SYN_COM_00064,Synthetic Supplier 64,Synthetic Commodity 64
Brazil,Asia-Pacific,2,Chemicals,73.627248288297,55.27469711545113,74.6973621458368,68.78398001649413,0.9315,1272.41,0.43,0.86,0,1,22,14233,0.8215387988453009,0.029,60.07695324355881,1.13,72.71541018076992,0.34,46.85,1,11166,Moderate,SYN_SUP_00065,SYN_COM_00065,Synthetic Supplier 65,Synthetic Commodity 65
China,Asia-Pacific,3,Chemicals,53.12459897174688,32.578815888425794,57.40815106654394,63.8850180858533,0.592,897.92,0.66,0.37,0,0,21,4381,0.7890457711724356,0.037,86.80319042726175,0.94,75.11081922390177,0.43,61.49,2,959,Moderate,SYN_SUP_00066,SYN_COM_00066,Synthetic Supplier 66,Synthetic Commodity 66
Japan,Asia-Pacific,3,Agriculture,70.4970413993796,32.86997039911097,58.92720666373639,64.29686472592437,0.7715,499.87,0.54,0.32,0,1,13,29044,0.8850129088293782,0.046,76.94879117765083,1.11,60.68338260526025,0.83,62.24,0,11768,Moderate,SYN_SUP_00067,SYN_COM_00067,Synthetic Supplier 67,Synthetic Commodity 67
Indonesia,Asia-Pacific,1,Agriculture,67.47187965360851,75.35723593075545,58.180425178155154,66.26605121088741,0.3161,132.71,0.7,0.33,3,1,35,28574,0.9144166463008901,0.025,70.67541443292102,0.63,86.76578802103131,0.4,78.57,1,9240,Low,SYN_SUP_00068,SYN_COM_00068,Synthetic Supplier 68,Synthetic Commodity 68
China,Asia-Pacific,3,Metals,69.06238063600964,81.46903593716218,89.44192350820913,72.28919361528119,0.1676,1025.92,0.61,0.25,2,0,44,6087,0.9143322650673618,0.035,72.25149734238569,1.59,60.359757313677164,0.12,62.18,1,10981,Low,SYN_SUP_00069,SYN_COM_00069,Synthetic Supplier 69,Synthetic Commodity 69
Japan,North America,3,Electronics,76.70551469124464,44.540268848174605,89.21203730597757,65.2798858271199,0.4893,635.6,0.58,0.3,0,1,38,29712,0.8732826129589947,0.01,92.12110900299899,1.37,73.0639383678964,0.18,78.16,2,1760,Moderate,SYN_SUP_00070,SYN_COM_00070,Synthetic Supplier 70,Synthetic Commodity 70
India,Asia-Pacific,2,Agriculture,73.15847694965905,96.53127961486324,86.07155843143477,60.507319228591044,0.4282,878.07,0.58,0.42,3,0,10,18637,0.8949506168554121,0.037,91.34968804278216,0.65,90.78993125446475,0.51,56.71,1,11459,Low,SYN_SUP_00071,SYN_COM_00071,Synthetic Supplier 71,Synthetic Commodity 71
India,Asia-Pacific,3,Agriculture,61.42473285654115,67.37182747857152,60.27685512286394,67.29815400263233,0.8177,1012.75,0.69,0.41,0,0,47,9434,0.8547047817470967,0.044,71.80852209880453,1.47,73.98235770168672,0.58,52.2,0,9282,Moderate,SYN_SUP_00072,SYN_COM_00072,Synthetic Supplier 72,Synthetic Commodity 72
Malaysia,Asia-Pacific,1,Agriculture,79.41083130830268,89.2984526588559,77.0265367923727,74.93000308995394,0.2194,527.62,0.45,0.79,2,0,43,39498,0.8710507184741626,0.019,53.98067138186636,0.82,83.09715131652379,0.54,66.69,1,3060,Low,SYN_SUP_00073,SYN_COM_00073,Synthetic Supplier 73,Synthetic Commodity 73
Brazil,South America,3,Agriculture,61.04641657815356,49.95812630189814,50.863273104176734,59.84914442628527,0.3594,549.98,0.44,0.36,2,1,43,4493,0.9017107523708029,0.045,68.14610079272317,1.7,72.46174999728633,0.84,74.82,3,8873,Moderate,SYN_SUP_00074,SYN_COM_00074,Synthetic Supplier 74,Synthetic Commodity 74
Brazil,North America,3,Agriculture,37.365,79.23878846219144,43.080939418665196,26.428479677560645,0.8306,1344.1,0.64,0.42,1,1,31,24400,0.7877303653099096,0.024,70.5091642565381,1.18,70.46954586099967,0.65,90.6,1,1115,High,SYN_SUP_00075,SYN_COM_00075,Synthetic Supplier 75,Synthetic Commodity 75
China,Asia-Pacific,2,Food & Beverage,62.54824274275543,55.33330766089454,76.67698014079124,84.4541978567791,0.8354,535.72,0.62,0.67,2,1,33,21079,0.8397605602968201,0.023,77.95184967491141,0.65,63.54390112589624,0.39,90.46,1,10017,Low,SYN_SUP_00076,SYN_COM_00076,Synthetic Supplier 76,Synthetic Commodity 76
USA,North America,1,Chemicals,62.991774966888045,58.772608035004296,65.517233674387,69.78317887197294,0.3299,1044.58,0.65,0.69,0,1,28,35512,0.9514052677598583,0.038,92.06511083582413,1.38,86.88649243969071,0.35,73.98,1,3725,Moderate,SYN_SUP_00077,SYN_COM_00077,Synthetic Supplier 77,Synthetic Commodity 77
Malaysia,Asia-Pacific,1,Agriculture,71.02756765643434,91.78077134915924,79.81105097533859,47.09559074092496,0.9066,837.78,0.34,0.4,0,0,29,11314,0.9185460116733837,0.042,38.939945367530605,0.69,89.57080895287704,0.19,48.22,0,10383,Low,SYN_SUP_00078,SYN_COM_00078,Synthetic Supplier 78,Synthetic Commodity 78
