Supplier_ID,Supplier_Name,Country,Industry_Sector,ESG_Score,Carbon_Emission_tCO2e,Waste_Management_Score,Water_Usage_m3,Energy_Consumption_MWh,Compliance_Status,Certifications,Lead_Time_Days,Production_Capacity_Units,On_Time_Delivery_Rate,Defect_Rate_Percent,Financial_Stability_Index,Sustainability_Report_Submitted,GHG_Reduction_Target_Percent,Renewable_Energy_Use_Percent,Employee_Training_Hours,Supplier_Tier
S00061,Supplier_61,Vietnam,Textiles,40.1,3668.62,53.5,71189.6,6441.98,Partially Compliant,ISO 45001,5.94,122136.53,71.54,1.13,0.98,No,36.41,81.1,187.78,Tier 2
S00062,Supplier_62,China,Electronics,90.93,4845.87,N/A,42951.17,6644.65,Non-Compliant,None,5.0,308791.86,89.39,0.92,0.92,No,21.13,77.33,21.76,Tier 1
S00063,Supplier_63,Vietnam,Textiles,45.43,2975.89,93.08,92497.3,3608.35,Partially Compliant,ISO 45001,43.22,120096.32,92.7,3.25,0.6,Yes,1.01,90.16,10.07,Tier 3
S00064,Supplier_64,India,Chemicals,69.44,3356.44,82.03,13607.86,3682.42,Partially Compliant,ISO 14001,18.44,291081.29,87.51,1.08,0.66,No,8.64,12.68,192.61,Tier 3
S00065,Supplier_65,Malaysia,Plastics,74.37,1520.13,84.82,101406.71,9511.53,Partially Compliant,ISO 45001,20.26,449111.52,94.85,3.27,0.4,No,0.21,40.7,121.19,Tier 3
S00066,Supplier_66,Indonesia,,92.11,1547.57,36.95,23137.88,5608.87,Partially Compliant,ISO 9001,33.51,174773.38,86.33,4.05,0.92,Yes,44.88,12.42,45.4,Tier 1
S00067,Supplier_67,Vietnam,Electronics,74.02,4096.96,93.91,93029.76,7220.82,Compliant,ISO 9001,88.33,121204.58,78.21,1.18,0.85,Yes,47.68,17.72,174.81,Tier 1
S00068,Supplier_68,Vietnam,Plastics,40.12,391.82,92.09,101083.06,580.84,Compliant,ISO 9001,39.39,41506.5,89.65,4.16,0.54,Yes,31.36,21.23,189.0,Tier 1
S00069,Supplier_69,Singapore,Chemicals,47.25,1290.68,97.31,22873.56,2030.17,Non-Compliant,ISO 9001,67.86,100693.38,94.3,1.94,0.45,,47.75,22.1,150.46,
S00070,Supplier_70,Malaysia,,71.57,3824.63,94.62,5992.55,6904.25,Partially Compliant,ISO 45001,71.11,320839.96,79.53,4.54,0.81,,5.77,54.54,156.15,Tier 3
S00071,Supplier_71,China,Automotive,41.62,3911.14,94.7,63316.0,7636.14,Compliant,ISO 9001,71.3,53416.06,73.22,1.87,0.72,No,31.61,84.07,183.44,Tier 1
S00072,Supplier_72,Indonesia,Electronics,89.92,2562.4,52.3,91729.1,4053.55,Compliant,ISO 45001,56.07,407878.36,96.95,4.68,0.51,Yes,32.0,9.09,201.67,Tier 2
S00073,Supplier_73,,Chemicals,76.45,N/A,78.74,16864.95,5967.14,Compliant,ISO 45001,17.77,23670.07,69.86,4.2,0.68,Yes,0.16,89.58,103.03,Tier 1
S00074,Supplier_74,India,Automotive,83.28,4505.89,79.24,90839.17,2362.66,Non-Compliant,ISO 9001,46.14,229967.72,69.32,2.55,0.44,Yes,47.17,60.36,85.4,Tier 3
S00075,Supplier_75,India,Electronics,86.24,2615.96,64.13,97611.82,3775.19,Partially Compliant,None,35.69,287193.86,76.61,0.53,0.34,Yes,13.98,89.99,143.08,
S00076,Supplier_76,India,Metals,86.57,460.29,49.31,25146.08,312.86,Partially Compliant,ISO 9001,72.39,410723.25,97.24,1.17,0.44,Yes,42.89,76.28,46.36,
S00077,Supplier_77,Malaysia,FMCG,52.94,1259.72,86.01,23474.07,5097.58,Partially Compliant,ISO 45001,82.33,432501.62,100.05,0.59,1.03,No,31.18,54.27,104.14,Tier 3
S00078,Supplier_78,Indonesia,Automotive,83.06,1330.87,89.14,91040.96,328.78,Partially Compliant,ISO 9001,72.74,263131.17,80.92,2.65,0.61,Yes,28.06,29.87,80.53,Tier 1
S00079,Supplier_79,Indonesia,Electronics,51.19,2374.81,63.19,86773.04,1101.86,Partially Compliant,ISO 9001,77.83,275561.25,90.98,3.9,0.62,Yes,16.76,33.54,177.01,Tier 3
S00080,Supplier_80,Indonesia,Electronics,92.57,1291.67,45.72,31546.73,3041.93,Non-Compliant,None,24.48,276875.49,89.77,3.61,0.73,Yes,22.38,66.63,48.73,Tier 3
S00081,Supplier_81,China,FMCG,71.26,3244.91,30.71,46638.28,6461.93,Compliant,ISO 45001,27.63,402446.76,72.05,4.57,0.65,No,15.13,18.95,124.28,Tier 1
S00082,Supplier_82,Malaysia,Metals,65.37,3502.6,93.36,46302.96,5511.24,Non-Compliant,None,7.53,464399.55,87.61,1.73,0.38,Yes,26.99,28.91,40.22,Tier 1
S00083,Supplier_83,Thailand,Electronics,86.97,1854.16,73.37,88624.14,10304.55,Non-Compliant,ISO 9001,77.49,360342.21,88.09,2.65,0.55,No,0.34,19.34,197.18,Tier 2
S00084,Supplier_84,Malaysia,Plastics,62.04,2397.35,93.4,63542.75,6730.87,Partially Compliant,ISO 14001,20.4,277667.39,83.03,1.91,0.59,Yes,39.91,76.55,114.8,Tier 1
S00085,Supplier_85,China,Plastics,67.11,2416.86,85.86,23552.76,4515.69,Non-Compliant,None,47.36,116474.1,68.8,3.37,0.44,Yes,40.74,52.8,196.58,Tier 1
S00086,Supplier_86,Vietnam,Electronics,66.07,4733.35,96.42,9011.05,4183.12,Partially Compliant,ISO 9001,89.83,336014.21,87.04,1.74,0.62,Yes,42.77,84.16,103.33,Tier 3
S00087,Supplier_87,Singapore,Plastics,66.47,311.21,63.76,10535.7,1205.99,Compliant,ISO 14001,78.83,304242.91,88.04,0.73,0.31,Yes,14.24,90.48,92.9,Tier 1
S00088,Supplier_88,Vietnam,Electronics,47.96,1910.23,58.02,72570.54,5617.96,Compliant,ISO 14001,17.74,478590.51,86.63,0.48,0.76,No,14.68,14.21,159.75,Tier 2
S00089,Supplier_89,Singapore,Plastics,81.35,N/A,45.4,17844.1,6499.58,Partially Compliant,ISO 9001,17.28,5739.84,82.37,1.8,0.82,No,39.34,19.6,38.03,Tier 2
S00090,Supplier_90,Singapore,Automotive,76.16,1595.44,69.12,25264.21,8931.97,Partially Compliant,ISO 45001,80.18,409499.43,81.58,1.02,0.61,Yes,19.53,9.82,109.96,Tier 3
S00091,Supplier_91,India,,77.13,4743.6,37.8,31350.85,6299.21,Partially Compliant,ISO 9001,76.0,222522.25,95.11,0.59,1.02,No,31.66,67.27,158.43,Tier 1
S00092,Supplier_92,China,Automotive,60.57,4784.75,40.62,2617.07,8480.01,Partially Compliant,ISO 9001,62.75,474984.42,70.9,3.81,0.83,No,2.37,45.56,42.02,Tier 1
S00093,Supplier_93,Singapore,Metals,75.16,2468.41,72.87,20406.89,782.22,Compliant,ISO 14001,29.29,31161.06,73.69,3.25,0.97,,38.28,85.77,33.9,Tier 2
S00094,Supplier_94,Malaysia,FMCG,89.95,1020.2,33.69,60850.55,7651.69,Non-Compliant,None,22.83,284191.81,87.44,3.05,0.64,Yes,13.55,92.95,12.95,Tier 2
S00095,Supplier_95,Vietnam,,47.58,3407.95,84.99,21004.91,3508.15,,,64.28,289348.28,80.13,4.76,0.63,No,14.65,15.83,41.16,Tier 2
S00096,Supplier_96,Indonesia,Automotive,73.19,355.47,53.69,40707.74,2520.22,Non-Compliant,ISO 14001,80.55,26331.08,90.64,4.75,0.63,Yes,45.77,56.63,188.44,Tier 1
S00097,Supplier_97,Malaysia,Plastics,42.62,3299.73,77.1,78364.08,3066.63,Non-Compliant,None,22.08,75355.84,72.59,3.46,0.6,Yes,24.8,5.75,24.43,Tier 1
S00098,Supplier_98,Indonesia,Metals,54.73,1981.02,77.59,102390.84,7514.96,Non-Compliant,None,41.35,283140.38,96.36,2.56,0.44,Yes,48.83,3.44,53.9,Tier 3
S00099,Supplier_99,,Plastics,81.55,2607.65,67.96,15108.51,428.09,Compliant,,45.64,277522.56,97.57,4.44,0.68,No,38.69,72.67,76.0,Tier 2
S00100,Supplier_100,Singapore,,49.72,4187.28,95.27,44013.99,6823.34,,ISO 45001,77.3,34228.53,72.95,4.55,0.73,No,5.39,78.96,17.17,Tier 1
S00101,Supplier_101,,Textiles,66.42,389.9,93.04,79226.82,112.25,Non-Compliant,,5.25,244934.16,96.35,0.54,0.95,No,44.96,19.59,94.79,Tier 1
S00102,Supplier_102,China,FMCG,55.78,2400.84,94.43,95344.47,964.45,Compliant,,63.2,346781.9,90.27,5.03,0.43,No,51.15,44.43,145.29,Tier 3
S00103,Supplier_103,Singapore,FMCG,N/A,4257.84,86.72,50505.55,3272.17,Non-Compliant,ISO 45001,65.03,89965.48,91.23,0.43,0.49,,10.6,45.02,79.55,Tier 2
S00104,Supplier_104,China,Electronics,80.6,4004.06,78.7,16336.98,6919.88,Non-Compliant,ISO 9001,84.81,275743.91,72.13,0.91,0.69,No,49.91,87.27,47.46,Tier 1
S00105,Supplier_105,India,Automotive,42.1,2937.13,42.88,98236.54,6710.64,Compliant,ISO 45001,73.58,89396.16,74.52,1.21,0.45,No,18.84,3.1,111.84,Tier 2
S00106,Supplier_106,China,Automotive,92.1,1127.97,85.89,82234.5,8620.18,,ISO 14001,9.35,161316.35,89.96,4.0,0.82,Yes,17.86,29.18,143.72,Tier 1
S00107,Supplier_107,Singapore,Textiles,46.85,1259.72,58.77,93434.38,2305.86,Partially Compliant,ISO 9001,34.21,90601.01,90.52,1.94,0.7,No,10.67,30.11,181.83,Tier 1
S00108,Supplier_108,Thailand,Metals,92.4,4126.53,63.28,54437.67,7985.42,Compliant,ISO 9001,64.68,499638.85,95.4,1.59,0.64,,30.61,83.84,143.55,Tier 2
S00109,Supplier_109,India,Metals,72.87,3774.65,35.43,53367.16,1208.15,Partially Compliant,ISO 9001,14.89,389849.6,81.64,3.5,0.57,No,26.14,73.96,47.47,Tier 1
S00110,Supplier_110,Malaysia,Metals,66.95,4133.78,47.13,50904.35,1932.73,Compliant,ISO 45001,72.25,218012.86,82.89,1.28,0.61,No,40.11,94.37,54.8,Tier 2
S00111,Supplier_111,Indonesia,Plastics,79.08,1321.43,82.55,9260.04,9346.59,Non-Compliant,ISO 45001,50.21,99393.95,94.88,4.65,0.73,Yes,31.81,49.08,151.89,Tier 2
S00112,Supplier_112,Indonesia,Chemicals,90.85,3246.79,79.89,73644.96,8355.7,Partially Compliant,ISO 9001,9.07,96246.94,70.43,0.36,0.88,Yes,4.41,41.68,97.97,Tier 2
S00113,Supplier_113,Indonesia,Textiles,41.2,3267.73,62.84,41267.97,7835.67,Compliant,ISO 45001,59.55,325777.2,71.86,2.31,0.84,No,18.8,87.78,146.35,Tier 1
S00114,Supplier_114,China,Automotive,81.16,1165.22,91.36,44992.84,813.87,Partially Compliant,None,42.85,418122.04,100.61,1.6,0.87,No,32.88,98.3,188.44,Tier 1
S00115,Supplier_115,China,Chemicals,49.45,2857.61,86.73,62149.19,1659.79,Compliant,ISO 9001,78.95,184426.67,74.53,0.52,0.44,Yes,33.31,35.42,118.31,Tier 1
S00116,Supplier_116,Indonesia,Electronics,67.04,3652.24,80.78,36439.38,4058.64,Partially Compliant,ISO 45001,5.15,319496.52,94.16,1.25,0.65,Yes,0.14,14.47,98.19,Tier 1
S00117,Supplier_117,Singapore,FMCG,87.1,4265.02,87.81,1394.68,2447.58,,,62.91,160375.56,85.28,1.9,0.55,Yes,38.46,83.41,164.9,Tier 1
S00118,Supplier_118,Thailand,Automotive,84.65,1408.13,64.77,100169.51,3395.58,Partially Compliant,ISO 9001,9.27,455313.11,75.44,3.89,0.42,Yes,2.12,40.9,59.2,Tier 1
S00119,Supplier_119,Singapore,Electronics,81.14,704.62,N/A,25670.26,1799.9,Compliant,None,74.7,187259.69,86.35,4.88,0.59,No,2.64,96.53,163.33,Tier 1
S00120,Supplier_120,Singapore,Plastics,83.8,4113.16,30.02,95655.6,8397.6,Partially Compliant,ISO 45001,22.37,55993.97,82.43,4.34,0.87,No,10.9,86.75,3.22,Tier 1
S00121,Supplier_121,Vietnam,Plastics,68.03,1541.31,95.52,52558.06,3239.9,Partially Compliant,ISO 45001,88.49,352874.03,72.81,3.85,0.66,Yes,3.17,55.41,20.7,Tier 3
S00122,Supplier_122,Malaysia,FMCG,64.95,4825.97,94.94,10142.37,6135.47,Non-Compliant,None,39.11,404640.39,95.64,3.46,0.31,No,4.94,10.2,38.32,
S00123,Supplier_123,Indonesia,Automotive,57.22,2988.4,99.69,87131.48,8456.98,Partially Compliant,None,51.53,378009.9,84.86,3.3,0.92,Yes,30.99,45.48,65.44,Tier 3
S00124,Supplier_124,Thailand,Textiles,50.21,2604.85,90.68,33969.94,8586.64,Compliant,ISO 14001,20.79,90962.93,81.57,4.63,0.69,,47.42,81.34,95.08,Tier 3
S00125,Supplier_125,China,Automotive,89.61,4013.37,41.17,82765.95,6648.83,Partially Compliant,ISO 45001,32.45,127621.58,98.34,0.67,0.8,No,1.84,38.22,99.42,Tier 1
S00126,Supplier_126,Indonesia,Electronics,76.51,4135.57,61.59,60281.54,9674.5,Non-Compliant,ISO 9001,68.22,164190.78,67.41,3.37,0.45,No,19.97,77.41,126.26,Tier 1
S00127,Supplier_127,Indonesia,Plastics,41.82,4069.35,77.91,27592.69,2637.47,Compliant,None,59.56,125080.24,94.93,0.21,0.52,No,4.3,80.01,16.05,Tier 2
S00128,Supplier_128,Thailand,Metals,N/A,2282.71,91.4,77370.81,3888.4,,None,21.79,185409.81,100.35,3.34,0.81,Yes,29.8,36.98,16.82,Tier 1
S00129,Supplier_129,,Automotive,72.34,464.33,69.76,19895.09,9486.65,Non-Compliant,ISO 14001,42.05,112323.97,79.56,0.33,0.6,No,24.12,100.32,147.96,Tier 1
S00130,Supplier_130,Indonesia,Chemicals,84.37,2912.94,65.23,39759.74,9122.47,Compliant,ISO 9001,80.03,415531.97,89.6,4.43,0.7,No,40.22,95.77,11.01,Tier 1
S00131,Supplier_131,Thailand,Electronics,78.88,4367.13,39.48,63575.46,4653.23,Partially Compliant,,32.52,149751.2,77.03,3.57,0.82,No,25.25,94.19,80.53,Tier 1
S00132,Supplier_132,Indonesia,Plastics,80.2,2772.69,75.4,78989.9,2778.78,Compliant,ISO 14001,31.94,427924.33,75.16,3.73,0.88,,43.28,1.81,8.81,Tier 1
S00133,Supplier_133,Singapore,Chemicals,81.36,401.08,48.77,52533.25,8184.07,Non-Compliant,ISO 45001,43.0,180237.28,84.08,1.03,0.8,,14.11,18.86,98.25,Tier 1
S00134,Supplier_134,Indonesia,,65.24,2980.13,45.63,87273.68,807.55,Partially Compliant,,42.03,193456.38,74.01,2.24,0.89,No,13.23,66.2,139.33,Tier 2
S00135,Supplier_135,Malaysia,FMCG,56.78,2333.88,91.06,29610.83,7885.09,Partially Compliant,ISO 14001,68.42,229756.83,74.06,3.51,0.84,No,26.79,18.26,43.11,Tier 2
S00136,Supplier_136,Singapore,Metals,60.72,2150.37,46.28,7998.61,1746.69,Compliant,ISO 14001,71.97,270186.69,72.98,1.4,0.43,No,7.87,94.65,57.66,Tier 1
S00137,Supplier_137,China,Textiles,90.0,3157.64,38.92,10232.9,4744.26,Partially Compliant,ISO 14001,26.69,173513.54,71.54,1.33,0.51,No,18.52,67.6,10.01,Tier 1
S00138,Supplier_138,India,Plastics,90.54,3866.18,61.39,68911.16,9379.29,Non-Compliant,ISO 45001,83.69,356650.85,91.14,1.88,0.67,No,4.27,81.19,173.84,Tier 3
S00139,Supplier_139,Singapore,FMCG,76.76,1372.39,56.16,86711.04,7570.81,Compliant,ISO 9001,63.44,102624.0,90.33,2.47,0.88,No,10.92,63.53,21.38,Tier 2
