Supplier Name,Carbon Emissions (kg CO2e/year),Waste Management Score (1-10),Renewable Energy Usage (%),ISO 14001 Certified,Labour Compliance Score (1-10),Community Engagement Score (1-10),Workplace Safety Incidents (per year),Lead Time (days),Production Capacity (units/month),Quality Defect Rate (%),Innovation Score (1-10),Unit Cost (USD),Financial Stability Score (1-10),Cost Flexibility Score (1-10),Overall ESG Score (0-100),Green Innovation Index (1-10)
Supplier 11,4326.875272622192,10.020493585536245,54.54360015972085,Yes,4.382341242008547,6.333975432932513,,16.965364107005893,3535.413111268835,2.609116664274319,5.757198641352728,78.02888538958535,8.970489622745129,3.8574377429564377,59.31308127414625,5.879686390425079
Supplier 12,4337.668004817876,2.59785730001808,42.283434740479215,Yes,3.985945376820538,1.9843151805062997,4.0067124308378865,15.185957163269451,1954.2216727593175,4.931893308364525,5.703599648085089,76.59469010024665,3.9208510719477583,7.065734367028587,84.4809255934161,9.679939080840741
Supplier 13,5403.124656588257,1.2057240421615252,56.53100847261943,Yes,9.113614166608327,4.783957785915265,1.9688380114555413,18.96026225371619,2077.876588575979,4.104897739209916,8.597182679390407,11.198568719671071,3.997841805232826,6.603523959161095,55.50879206087666,1.6719325535842038
Supplier 14,,5.352458625425929,57.111345562313446,No,,8.805047172319135,-0.007866690271154306,9.02886455916627,986.2727203942261,,8.57613054104457,21.262626840346115,9.913364985114784,4.248987009143932,22.221626019833945,4.2977505216111656
Supplier 15,2435.7577152979234,,73.59952099157023,Yes,3.268088130079169,9.392229522494993,2.982288045735086,20.869138927402958,3673.697220800167,1.6100807706332398,8.447025713936226,68.33046624347591,6.614184720600227,3.0509872260301494,3.4350168960621907,2.9879402819273944
Supplier 16,4162.974923779914,4.319165123865204,12.71404931717913,No,5.5022430932200495,,,11.074620741316412,1732.7483879538836,3.1525304544149346,1.1006393437118493,24.34098878677181,5.62867798300936,9.921871595737258,21.542753578880433,
Supplier 17,3465.2836188328897,7.717265197222565,25.023020298346243,No,3.9787824037348773,5.311375772367579,3.0321611230670547,6.928640168238251,1134.4264081046083,2.71731674099768,7.676258630341761,31.937419768188846,8.468009490046587,5.16148649446131,41.37265715405339,2.2917016318832437
Supplier 18,5491.268841702796,7.434835854424636,57.55601480663523,Yes,9.270664355253905,9.281392134191455,0.9337611237720831,14.063643124339784,1139.781569018844,2.1967485447934982,7.746982509585587,95.06363809061398,3.548253914376805,7.142524619998538,75.81939979479252,6.564886330428071
Supplier 19,3621.248719823402,3.8048719678076885,87.16387855402411,,1.0981178526915505,6.328785451440595,0.9892606122393622,4.960680429052834,,0.7699026992034974,7.102230536246023,61.02755946677258,4.8285907995895165,2.418793395115501,,7.856081423216142
Supplier 20,2871.3448312064247,5.826921599823974,56.71900394879158,Yes,2.9898525819075426,1.3435200930036495,4.987363818059848,15.812103447924205,3346.3403088115933,4.472358047662744,7.882412112242633,77.55147323044513,3.3481318445488815,5.390794492148483,72.61871098406189,6.12323576253022
Supplier 21,7161.157759960714,5.608790153794193,23.786786519287496,Yes,4.254137117045663,9.229295113502394,2.9671920732592905,14.012042477858243,2983.677563962652,2.2666029644374297,8.581203171100448,61.09825744227252,8.130564923617335,1.2348420360719623,85.66298739900311,2.304885543098091
Supplier 22,4648.758642172657,6.664503795341265,68.68705747182126,Yes,,3.250660405658686,4.015284315917511,21.00793362898455,1512.0949432438065,1.0279546724523771,5.276748435279197,60.14645412209038,6.1478053987004495,5.574379721376957,,8.359995754620531
Supplier 23,5108.170167072875,3.3863263087820195,73.9435775460682,Yes,8.698638160451063,6.199359459068849,1.9630618614003952,18.080877182789223,2071.0849554864644,1.9134718242960014,5.608341696039752,19.184036676521245,6.849564168871297,9.668864668990446,83.25070948870638,6.566633346035331
Supplier 24,2905.401389930192,6.306035164927163,24.22253134150368,No,1.7699255033252428,2.490735494999698,0.9660660821093582,8.14283169090492,,2.1190957981093357,2.051145309792062,40.52485233160305,3.2169525450441405,4.542518399972029,55.57787911061548,4.452174907698664
Supplier 25,4173.849537751321,9.840548658125341,36.920573344907254,Yes,8.329238148569885,1.2145072825262555,1.0222172781954717,11.175547923737604,1479.0326047204346,4.142882213388194,4.500463439510833,35.0020368914105,3.065097214472474,1.3602753933824625,63.8016350031999,7.123706936779225
Supplier 26,5138.243455588236,5.5068358672967435,53.59151595449607,Yes,1.4617172836199717,3.8310448882432078,0.039172620754198605,18.079324268735174,3128.8111112444967,3.7283790195685094,6.9077985457065685,45.353051625570565,5.422297376711256,1.3719325116512762,52.96450252167667,3.3482538865079405
Supplier 27,3314.091815275192,9.158629511849327,49.552890516004965,No,8.607904594527804,8.008372508530316,-0.0019865165490375583,19.025575601347175,1617.1931785687577,3.8607415801390057,7.993795671566532,81.01438159270573,7.472137904192694,4.460856683482831,45.419060187960746,4.076916173041821
Supplier 28,5549.87557893488,4.922050457308348,39.084273980222555,Yes,1.5603316403496137,3.4966976233856526,2.968219707863834,20.868979180492904,960.0567223019684,0.12109624188682806,3.0018863124831836,43.71953785120192,5.649609419805592,2.4019828061170614,22.702870752829952,9.262483406265767
Supplier 29,4051.6552185751657,4.139978457730755,29.859976217628724,Yes,1.1981289800572397,2.9907214404413676,2.9815814139663956,21.01854433253477,,2.1151272333678404,2.1144262822011615,,1.3271138628947459,1.2157628035017418,30.045558915642665,3.6670190026331757
Supplier 30,4566.06711720254,6.817455989697406,10.068113805858372,No,7.318199879752984,2.8982067191113416,4.026314028653112,15.019730242052212,1852.5994833325412,2.52510103604685,6.972756804621027,46.46442312588108,8.865737608723016,7.840385256912488,28.48335566997528,5.243742616160736
Supplier 31,,7.08936639642127,5.63363388444266,No,10.014962253756613,5.58851293984013,2.0030396361926766,16.98176599373937,4892.712400245956,0.1846836033386528,1.0284692415944827,18.769898709966917,1.6431364529209005,5.201361015916233,56.25713167145416,9.04717819260569
Supplier 32,7840.765509252184,8.768221461304972,95.59374557296289,Yes,9.10040885383255,9.774324179660566,3.9973623689148488,21.058102703469167,4219.96014775763,1.3293036507826577,2.724480278975936,50.28086256299612,9.581752864098862,3.5767271590956677,12.277692198527523,7.374281457617516
Supplier 33,4992.633408811353,3.0551599202216435,85.00837079584298,No,6.19657415647276,5.111650088701772,1.0081722054793814,13.102984338589321,4391.422505610734,3.777215962316808,1.289956300316663,27.200540249107032,1.10091709486505,9.1586358662715,92.49448110543821,1.661193751924048
Supplier 34,3409.4638176640237,5.495385473219833,36.167876526397166,No,9.270787611269316,6.023542397561575,1.9990168820251673,16.924875337865412,2066.347159584011,,2.4148044016092136,27.36517692467888,7.3446452477804325,,72.56387237393899,2.1931250162866593
Supplier 35,6208.764201665247,6.203543274222218,94.93587743417075,Yes,1.0077207363743008,8.662530879871364,0.04035103086976987,12.923445146708552,4469.818054478987,2.7141376243643727,2.5279928122790776,19.22518143693996,1.6847686885188342,9.608533961905747,39.53135972251424,1.162157288109864
Supplier 36,3177.6782085039654,7.939023961127695,67.27704350097959,Yes,9.785517511514621,5.780514100183291,4.980443512647658,11.987213813457608,3854.1964843005085,1.178314435172759,4.498166079973037,42.07949550577076,9.203532738017119,3.771672499078459,15.685552980548811,6.6963442819806955
Supplier 37,5352.779871194381,1.354200296130504,47.89980485476511,Yes,5.479046245545613,2.6900501995529074,1.9774462291291657,14.94352558270656,2849.760287762419,0.1854259802996717,4.660321935390724,77.77840833623563,5.190898030930745,8.910916897171758,87.8300033206324,5.007084500078007
Supplier 38,2068.940813286297,10.073643789100363,48.708245817026516,Yes,7.541470950756694,3.7002340486658603,1.9638847567564688,11.849342619573022,4106.998995156376,1.2798106823578983,,34.49771067256642,2.1304590401072776,6.49697385953697,81.81861510631099,2.1480615462424892
Supplier 39,2984.7528917642862,5.116233652795877,,Yes,8.325723568085834,3.7937669390731372,2.985903548938921,13.908518654652989,1751.554222916065,4.866451871872096,5.623584237287616,38.7662341956039,4.118686653006837,8.38741304352507,71.48843945252202,9.500325354506012
Supplier 40,5309.89276964388,3.608135916659659,9.75982286027067,Yes,7.4285681414562905,4.6320791619010295,1.9714938309321777,9.886880174496852,1604.7531884664195,4.040130532059772,7.567082625801543,69.2617441466338,2.511617731967418,9.848437929202463,28.151842728339734,5.805917980607376
Supplier 41,6106.382651993517,9.043346836560112,60.98441363743959,Yes,5.7933300378892465,4.71965310642694,6.005692890970016,14.11092864138933,3107.9316521647966,4.747833829497094,1.863094324161463,27.110078847319567,2.478156310978726,3.530056705942711,40.20608644261074,3.2302972756240047
Supplier 42,,7.789257487792511,55.45753374309591,Yes,5.27978939748973,8.128275827546183,2.0005468338410877,17.156309493061038,1701.244904675551,2.549096860946838,3.000978443605227,90.16936257485077,9.52416852568956,9.648342375732833,10.17175971698279,5.538610582708007
Supplier 43,4816.913982423201,9.516601344414928,21.12430405777256,Yes,8.490633928253507,4.109412376168864,1.9718305865328278,11.899445658432972,4618.608449767405,0.6595123720395981,7.273334798367395,57.30802030129572,4.929511495360409,4.547357574214118,19.17695344143684,7.132681083021784
Supplier 44,4538.087410800179,4.008575820558156,95.03508579727335,Yes,2.8332916344506165,5.17069420097763,2.0153795635182137,15.050126333274783,4958.659298572168,2.8158628512417425,1.4860901794294135,49.88069519715541,8.086199701847457,,78.60525660409262,1.720229246657409
Supplier 45,2770.897298051323,5.9932235894576555,76.81902053412543,Yes,9.716142485026419,6.642996575070547,3.039596607284492,16.080183664581025,574.0477009577979,2.2979573442766212,5.348437169172215,60.73936450280526,6.801340383627279,4.133579136873007,72.13987149925406,3.4492410429232656
Supplier 46,3945.7666147900404,6.149034572949248,10.728223363008642,No,7.415625766008393,,,16.863018511727585,2397.9853559328826,4.278262197485543,6.382374122888761,25.186467207228187,7.010995273123311,5.90681435512699,58.874689881389195,8.342170228416656
Supplier 47,4299.06032873022,9.73440541836678,91.84196255763831,Yes,2.8739389338242973,8.511366033894749,2.933601632171094,14.014776919521625,,0.5662774052883772,6.3985798106168446,65.19730059658865,2.1970708471299214,2.335865505845303,89.83032227393039,5.043096035811217
Supplier 48,6573.220340437722,1.7256644882875884,96.82252214526552,No,7.528990776163628,6.24787486454746,,20.23256186686594,3538.6240422347237,2.461584605605711,1.1809652137150255,42.91371625024575,3.137637238980637,5.96241379410117,57.7788872990198,5.960829455638252
Supplier 49,5489.898053541666,3.8302525052089855,99.18437106741636,Yes,5.805314033278693,3.651279959116736,1.0194985392841112,,1224.6860475174246,0.8388314641033752,3.8917469542353933,90.95136929359016,8.084443739856868,5.843017821845701,46.59124610420571,4.895385478821789
Supplier 50,2367.744718871103,2.7657945213317032,6.400721391734081,No,7.370395044979096,7.409671707844146,2.051072565993127,29.977482854612962,2297.9318337605437,1.688133943328866,6.72075491709041,25.104872728244622,9.698249847702881,7.929495767264129,34.032451840374975,1.3972136989528072
Supplier 51,5494.577767517943,3.374520762691097,72.20384483073582,Yes,7.9733888695003925,5.627697245709239,1.0284734883469377,10.948578175312305,4180.27586896695,3.6778265760900686,2.3634727273694773,54.69975618801867,3.4288492019469285,8.445247787523549,94.08835148320388,2.547579754722627
Supplier 52,4410.217447188309,5.392832818702388,54.37419856670062,,1.687043490012031,5.731996518778811,2.0336890814568913,16.81434993459258,3070.7740349270052,2.4033034685759507,7.36718569727453,63.92462105557014,3.3801051973966683,4.963221954401636,8.363094130139004,5.055027332060292
Supplier 53,3965.394360742691,4.330030688496292,70.93572864043416,Yes,5.489286412483811,5.3737620402188915,3.0053585203228197,10.043186711525397,2980.8204545442823,1.9109678978421056,7.739016453807442,13.833159951197022,5.284722488869227,3.6905518530863786,93.55857796632539,2.9423440030010686
Supplier 54,5968.358203988316,4.677982529905276,97.12256537975529,Yes,9.415575000719867,5.565699431417964,2.993152726739046,18.17879811250177,4082.569222621473,2.001251787076423,9.735436559267567,41.87792740962866,9.83963311611049,3.2140184521548973,82.35857427785511,1.3549186011644718
Supplier 55,6495.536079830754,8.603519980383492,69.59208184800124,No,3.957583649527483,7.77760308077802,2.009749777470413,15.925321473417942,4774.04271794331,2.3384228008457875,2.8815320231758026,75.42847900716039,,2.8024083600730116,13.103901969885595,8.641906126197284
Supplier 56,6410.285987623173,9.436571779801014,83.78727004506726,Yes,6.339533820347504,1.8339769678776319,0.9814970685706701,11.822324722966972,3340.715366617579,3.9085657195013357,8.38594520187221,84.05606579450945,4.682821705484257,1.4944824711206228,56.06597207451725,9.75523005186188
Supplier 57,,1.6383592448460311,86.90281262837765,Yes,4.259048620988127,4.055474476443667,4.011326518935633,,2212.9267285332994,4.449375873715674,5.666326604891816,38.20043989866141,9.02560415205388,4.160977438020535,88.37041783238726,8.14329253154637
Supplier 58,4444.3902987919855,2.973848595076297,82.80375597004131,Yes,5.177018135021543,1.6991007917627345,0.9314273856013442,14.080925665901637,2068.2638598719695,4.811177006080807,,82.08777963223973,,3.357783385960198,56.67792056994055,8.621692076586026
Supplier 59,5518.4228483067445,6.957921059945718,42.06448012434774,Yes,5.837039260010127,7.83412765403196,2.001120752131285,17.96066622252641,,3.9845598270905116,2.018304090222349,96.72961121106707,1.4405903641831135,9.63310167003472,90.29928728581922,3.194852595733629
Supplier 60,6457.3506419293235,4.235306379056455,21.333993821987676,Yes,5.966847146704033,3.4969875271958375,2.0351029539677286,,3541.746286827719,1.618681456824838,7.686781020398293,87.73568755415857,6.373925382894502,5.980738876087288,94.80479835395363,9.554894793339294
Supplier 61,4288.179619695856,3.298734254837723,,Yes,2.743800259536161,9.131824914165161,2.0024619383473947,15.001758308419912,2944.248256030811,3.498583841744898,3.1612449947150156,20.614840542591086,9.088337702701445,4.043456952671981,41.95438308521164,2.8478000376625
Supplier 62,4712.7495784734465,3.8065729081345685,89.38894723416729,No,7.18201244630693,5.70028365813928,0.045096173068457375,25.021085176132893,4656.779739247934,2.181339907721766,4.324503839082363,76.94915329907732,3.1380473754941356,6.202016152892964,38.20502600451707,9.66127466284595
Supplier 63,3369.645400369914,3.8577710094200492,14.86989892159679,Yes,1.8326836415478691,,3.993114890589306,19.872553959792096,813.2540996285529,1.4224628684561338,1.5968174198511211,38.93963259506807,5.222117235871726,2.204228013146139,93.68751568767014,10.010934189014089
Supplier 64,3215.531289844121,8.659288441965895,50.82237165778147,Yes,2.125037862213271,9.851481769494816,1.0261743391722011,16.980054635967853,3253.132141294917,4.258789141896455,8.262967666076678,99.05294962996717,5.067408464356202,4.96882948257803,67.26941061405032,
Supplier 65,6222.359883127614,2.217731561429928,22.772781176372618,Yes,1.075106087975995,8.609824972645585,-0.022927360355777086,12.954353760908436,3347.1349939349984,0.2733028529624327,7.935326197676833,,5.328469372428291,,11.169489051113255,9.83869216404794
Supplier 66,7009.999006939629,,58.21349441420834,Yes,2.0816995692943374,8.831722617465806,2.0251120090781707,14.941168754325572,3199.9605252107585,4.531408019435497,7.656705867678462,21.118771984837863,6.52568488890188,5.429235014859323,3.7488537184601856,6.161601491253697
Supplier 67,4942.994036760581,6.00273410674716,85.93727528923185,Yes,5.307018454260509,4.707655957514217,2.006071921881106,15.90664202196932,1745.6687145733235,2.318209715219251,3.6969740780492777,74.63961976440619,5.252853068373265,4.558262305681928,,3.302050123533924
Supplier 68,6505.569151302139,3.7681576939404873,87.44706653395257,No,6.55941930867377,5.97635073491955,2.9942633832603742,17.086401929029478,4368.6394916786985,3.2218030455810416,2.6916872282235027,39.64591061308979,4.982884495259756,9.810604750960875,92.90026039060331,4.872544521788107
Supplier 69,5604.508502408149,4.81335410996738,23.424515641035867,Yes,8.059450242896174,3.3782084631292517,1.9328084554691105,9.940849074028,2889.8371932087284,3.324521218832541,6.759793177513114,100.17331515089211,5.257474609067554,8.889607855593676,83.92423588369861,6.335565170989949
Supplier 70,4084.5611417879304,3.222846015476234,90.441959280566,Yes,2.054235736598488,2.817260448989706,-0.006640540512374998,17.816875768818832,2007.9470583243378,4.465098494918807,5.52610944444372,97.06412205461956,6.2681056568660685,6.616471615135497,67.5375284981721,1.5978691836659658
Supplier 71,5493.892987874792,6.561721734959108,58.730343007616106,Yes,8.783874810237387,5.482735642038656,2.0055722202529207,10.024260983895795,4712.926267491032,3.206022642134477,,68.70350758993195,5.7881244280318205,6.086035069971129,13.274260689896572,6.64998229205609
Supplier 72,7289.299601459321,1.752444434348406,34.33578497047902,Yes,7.666482512170278,6.462159194008878,2.021633573112712,23.06656904168283,1120.149019199554,3.093086415037777,7.178521480155064,22.232078617448803,8.699383760288649,6.568521694831108,25.832310112973502,9.76097761617747
Supplier 73,4918.156469747435,1.0297163185571954,71.04313453465545,No,4.7700120577952925,4.0357745064020065,3.0407488079282228,10.926930412083413,4409.1807134154315,0.3962395979210659,9.840175437857052,70.85238061840417,1.4024768601818802,2.765419844539317,88.14180934882141,2.6868002868682392
Supplier 74,7345.663514870401,6.6428854887590285,49.04318694800807,Yes,,6.20874003340786,2.053124806911455,15.948626260320873,4153.145927824822,,7.716476756084824,18.869753317949584,8.477960410275655,4.6058159335040285,,8.150333938633988
Supplier 75,1075.452534460757,,37.7788645321641,Yes,9.919918921356807,8.99128878368073,2.0325339793896293,19.940420690033978,2386.705684841942,0.7969888943902346,7.697074595398629,12.565202513869188,8.610272629368357,1.3542003993431817,27.365246764893406,9.177169149836928
Supplier 76,6239.08148577809,1.5049785214767595,70.6205318779251,,2.737186005095561,5.938342389068833,-0.014673444794542866,13.968179262484195,2806.303472603702,3.735574703785716,9.58986865114419,84.77987088924223,3.600424740800213,5.283085715814396,13.101753024402651,9.535572940012091
Supplier 77,5159.139080859073,4.623298298713604,25.190650665101195,Yes,4.448190271474421,7.5926770295131965,2.992043047568433,17.101602329691772,3857.842341212471,2.5821945037515115,2.8623257497102372,,5.166778408196261,5.938642083976515,68.3236799552916,9.662579204778782
Supplier 78,4591.969201331713,1.431696389860223,33.198633445834346,No,9.34399214320239,8.177478321365427,3.019289489400703,21.989530039546256,1468.8656454899547,3.393546366156669,6.108564477233082,43.72756195325779,4.859051468657099,2.9329921174319082,95.2502430245328,5.706045948149833
Supplier 79,5163.86093143557,8.913010269267199,42.941077935426016,Yes,,9.911827847796932,4.01356460651924,18.077069744041776,4946.495188200055,0.32510260191877655,9.813505695559273,97.77317532347777,3.0312101830552485,9.697751492632163,26.097752494848997,9.81711302845957
Supplier 80,2003.4474883366408,1.2645299796705658,26.3319446034248,No,1.4726652856143174,6.434897950075726,0.04250819390747445,16.911066960616584,697.948774216277,0.5310260023961912,2.4832413104042743,40.30390654707004,4.626898813970067,9.107881144635448,48.075519320568496,7.793437400505775
Supplier 81,4649.295525791827,6.238879242910987,40.08963107178835,Yes,7.99152469172936,8.35758078147761,4.064724799772927,6.9647794786167765,3224.20057611957,3.633998761070631,7.345150141136487,36.25053861000961,1.4029311918212977,7.5117365816447785,63.36479681485832,2.5063517210701804
Supplier 82,5535.74485150009,4.883137455502247,57.45118398964316,No,8.444693990521262,9.71457663747723,,10.08757285114816,3042.6083975536226,0.4773273257452427,6.335965223444531,93.81492944830104,3.547412793195243,5.749599039841092,,5.238657312896605
Supplier 83,7228.388725959587,6.993215610108701,74.38729832032143,Yes,7.828921624831611,9.468524073812294,2.038999460966236,19.92605016775582,1109.0781257881624,0.5077954706372685,6.344767701537482,19.455664929947574,8.299380568319114,8.852500942757743,10.788651817225519,7.483860080270448
Supplier 84,4217.625133292987,3.8781590600380875,75.63876614401167,Yes,8.196895012932432,2.3106485840000364,1.01378097082878,18.09290816774393,2584.0297218049595,0.15534523783319393,7.274519409064582,77.17203504256003,3.57104559868232,2.123948853679594,49.62493392812983,3.1292174353844096
Supplier 85,3750.794560859575,,82.1055494848659,Yes,8.479305195164926,4.679610642687668,2.035224315256296,18.94231804031505,3470.8282531841423,4.746518666862819,9.466823552124316,,8.340678973082277,8.122763586279195,39.12721790064009,6.750615764440351
Supplier 86,4265.84523211115,9.76493934995684,74.43068563905655,No,2.5892404365461577,3.912108275261587,2.043372144825904,17.970473275037286,3538.4834874478906,3.7180852242187887,8.09422139783805,90.81091986257871,5.915750589821956,2.1628786265582582,87.41438325149241,6.889944689179275
Supplier 87,6362.467453324109,8.616716740841722,68.17215154013496,No,3.2118677780998666,,-0.0038452970101665227,21.153311091753142,2419.8804221586543,1.8100431808250368,1.5431473772356479,68.49281620657611,8.936589385137216,8.04692761890257,48.43572821056194,
Supplier 88,5481.679025609209,8.57404843717372,23.96333275672206,No,6.727198840702322,,1.9860948124839457,13.959994383958659,4205.34574691627,1.5214370287667907,,38.08043766293246,6.195943986289979,3.4556197188496274,10.045440233556143,6.192947848484503
Supplier 89,4203.879882879016,3.3494768498703826,40.41055986348864,Yes,9.158433500758598,7.610048251515155,3.979966369866568,16.013341888909633,3108.9680674570973,,2.9588938881086553,32.58828827213405,1.3402713466411245,8.851381365715195,63.26865590687071,7.874938524181127
Supplier 90,5763.398240095364,1.2618968845081415,,No,3.8375263318339363,8.63590936139985,0.9771218567086519,10.056585234065876,2183.0853705963386,3.9258259362521724,4.380765091995801,83.3241917451251,7.1572668327665925,,75.99321549644392,5.553030844119197
Supplier 91,5135.687058673137,3.6303555003222976,,Yes,,2.139390440081388,1.9639228231487293,9.020792160377551,728.774848376664,3.3150617599425223,5.171080420282698,88.65204298511527,1.4567207789579149,2.3266431447503533,-0.13767400127331952,1.1618530334405732
Supplier 92,6418.275940123327,5.78281202071618,52.775640156502796,Yes,7.105846161260884,8.847588014640019,3.0065237182846305,7.023412395697131,4926.977872080069,1.0480157800825471,5.296357101589492,57.32429953552025,5.147284950353631,5.17077796852823,84.52883802132393,1.0341114428371148
Supplier 93,3943.877860048283,3.8698151374733865,43.04873058697079,Yes,5.009765721999992,6.80202878065573,-0.0260986835648118,10.99480998440335,2062.68396411452,0.9204792072320452,4.932407350737112,31.77709022160871,9.386531236614704,,18.857513568460284,4.145943833678469
Supplier 94,4527.561510672325,8.55437102652286,80.21755758638925,No,7.3849766168460516,7.424603756408629,1.9795460462551313,22.880462108078383,4430.397376455349,0.5727242169669464,9.414857620960255,20.54683100787625,2.474279104557422,5.2960500943252375,55.32542614200405,9.354441021937538
Supplier 95,4419.01240328736,3.3787228861102014,98.20591433892477,Yes,9.153140675925435,9.258973822208635,1.0183063722523196,,861.7242126282218,3.351523801598526,7.410365610706441,18.105655384347283,4.450638064907356,8.88248767130673,41.35258958559412,
Supplier 96,2830.4260641277533,9.768965019148084,56.200826598748954,Yes,6.62539275091595,6.57552027914598,0.004740929505266239,,2851.7840595288217,3.8384287281416745,,74.22874993066812,,6.386532280633732,71.54753171242294,6.6290754939831364
Supplier 97,5424.43491372577,5.116709237720359,32.59115883975634,No,5.89199833655035,3.970668816206581,1.0112154178162296,9.071210862910757,746.4968141050637,1.3470207584217613,1.3962160180737502,47.86747750247024,,4.428847792190013,37.279598926448195,2.965006708076342
Supplier 98,5356.941955458383,8.645265909101644,5.02305336216623,Yes,4.966889665651219,8.369048725827584,3.0356373950808018,12.125947160145644,622.7284432975356,0.22766513560917556,9.140817786966997,91.25869497875392,6.978531727152704,3.55827162653813,86.42155405979216,3.923058918726945
Supplier 99,5001.006953933224,2.6998903510777965,92.72697305049294,Yes,6.237798151898515,4.342125094596055,1.0225686714663507,15.834260474358938,4524.263896510398,0.4814016754488732,9.096904093363632,76.04477427833498,3.275854274739724,2.8385007661347164,72.38264104020503,8.556375850538993
Supplier 100,4631.472909354298,4.764381679049323,92.36811635401733,Yes,4.241736598999577,1.3781720724058402,2.0396507418804193,11.126107469702207,2259.3206578913037,4.862220778676041,7.999416337481685,27.575152403579562,7.174397338896139,7.9488509292960305,64.11232193746137,7.447548532709799
