SC_ID,Supplier_Name,Commodity_Name,Year,Month,Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,GHG_Scope1_Intensity,GHG_Scope2_Intensity,GHG_Scope3_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Certifications_Active,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Incident_History_Count,Labour_Compliance_Score,Diversity_Index,Financial_Stability_Score,Freight_Cost,Cost_Index,Commodity_Price_Index,Commodity_Demand,Trade_Volume,Logistics_Distance_km,Risk_Classification
SC0000852,Zhejiang Huayou Cobalt Co.,Ltd.,2019,April,Cobalt sulfate and precursor materials,East Asia and Pacific,1,1,65.31,71.98,61.86,69.48,0.0206,2.277,1.015,2.378,80.92,0.436,1.0,2,1,Fairtrade,1,2455,0.945,0.061,0,78.94,0.669,76.9,16102.06,1.18,0.994,26272,16303,897,Moderate
SC0000909,Rio Tinto Group,Iron ore,2019,April,aluminium,East Asia and Pacific,1,Australia,77.73,81.11,80.59,71.59,0.1639,1.291,1.112,1.967,29.25,0.13,0.109,2,0,,30,10037,0.835,0.072,0,76.18,0.305,68.95,16802.15,0.738,0.812,29639,9872,305,Moderate
SC0000914,Sumitomo Metal Mining,Nickel,2019,April,gold,East Asia and Pacific,1,Japan,63.58,54.8,71.7,60.84,0.0931,3.422,1.496,4.577,232.09,0.749,0.545,2,1,ISO 9001,8,10,0.907,0.0,0,91.19,0.7,82.07,15228.42,0.708,1.026,31825,7390,3369,Moderate
SC0000939,Ganfeng Lithium Co.,Ltd.,2019,April,Lithium carbonate and lithium hydroxide,East Asia and Pacific,1,1,65.48,60.41,69.92,63.25,0.1052,1.946,0.063,3.322,90.94,0.78,0.474,3,0,,36,20769,0.868,0.037,0,81.34,0.169,72.2,13946.16,0.613,0.928,24285,6843,3690,Moderate
SC0001010,Rio Tinto Group,Iron ore,2019,May,aluminium,East Asia and Pacific,1,Australia,61.37,64.53,59.18,60.34,0.1839,1.529,0.756,2.694,65.05,0.631,0.406,2,1,,1,21146,0.755,0.032,1,85.77,0.463,91.96,20669.47,1.056,0.872,48091,4632,4137,High
SC0001032,Ganfeng Lithium Co.,Ltd.,2019,May,Lithium carbonate and lithium hydroxide,East Asia and Pacific,1,1,51.04,50.94,46.14,52.66,0.1438,2.84,0.857,1.719,41.62,0.403,0.411,1,1,,16,22582,0.93,0.069,0,85.89,0.452,83.98,6133.75,0.851,1.219,29111,9532,2979,High
SC0001037,BHP Group,Nickel,2019,May,iron ore,East Asia and Pacific,1,Australia,77.0,71.0,72.62,78.67,0.1767,3.946,1.549,2.986,219.63,0.624,0.341,2,1,,13,9565,0.891,0.079,0,92.76,0.553,75.9,16278.14,0.872,0.857,61905,7912,4016,Moderate
SC0001067,Murata Manufacturing Co.,Electronic components (capacitors,2019,May,sensors),East Asia and Pacific,1,1,65.03,60.35,71.5,69.64,0.1388,2.919,0.591,2.79,122.83,0.392,0.219,1,0,,34,11858,0.903,0.054,1,80.61,0.688,78.56,5224.05,0.728,0.786,52816,12142,625,High
SC0001098,Nippon Steel Corporation,Steel plates,2019,May,coils,East Asia and Pacific,1,Japan,73.2,70.32,69.07,79.0,0.2161,1.694,1.864,4.498,70.21,0.578,0.238,3,0,,40,25202,0.917,0.049,0,88.56,0.365,90.84,5944.6,0.6,1.126,49287,14855,1862,Moderate
SC0001137,Furukawa Electric Co.,Ltd.,2019,May,Electrical wiring and copper cables,East Asia and Pacific,1,1,80.42,78.97,71.89,85.58,0.099,1.049,1.146,3.364,75.6,0.593,0.373,1,0,,28,1516,0.799,0.081,0,90.9,0.203,80.97,16058.09,0.677,0.892,51957,20321,2822,Moderate
SC0001149,Sumitomo Metal Mining,Nickel,2019,May,gold,East Asia and Pacific,1,Japan,60.16,63.91,62.06,58.2,0.1401,3.208,0.723,4.156,93.92,0.742,0.422,2,1,ISO 9001,27,10644,0.922,0.01,1,81.46,0.197,50.7,15830.84,0.919,1.248,52033,12693,448,Moderate
SC0001173,PT Pupuk Indonesia,Fertilizers (urea,2019,May,ammonia),East Asia and Pacific,1,1,57.09,50.86,57.4,59.15,0.1448,1.928,0.446,3.16,82.16,1.0,0.531,2,1,,22,10,0.879,0.0,0,94.02,0.19,76.68,17543.99,0.997,1.288,66790,4961,2500,Moderate
SC0001210,MonÃ³meros Colombo Venezolanos,Fertilizers and petrochemical derivatives,2019,June,Venezuela/Colombia links,Latin America and Caribbean,2,Agrochemicals,69.59,71.35,63.29,75.91,0.1485,1.658,1.154,1.477,122.16,0.562,0.389,2,1,FSSC 22000,27,29739,0.786,0.061,0,78.16,0.528,62.69,12708.5,1.11,0.603,36804,14744,1591,Moderate
SC0001252,Murata Manufacturing Co.,Electronic components (capacitors,2019,June,sensors),East Asia and Pacific,1,1,83.92,89.38,87.89,79.62,0.0325,0.859,1.15,1.554,289.54,0.541,0.259,1,1,,27,11882,0.908,0.0,1,72.89,0.297,78.05,15644.26,0.951,1.172,19862,8040,1695,Moderate
SC0001258,Siam Cement Group (SCG),Cement,2019,June,chemicals,East Asia and Pacific,1,Thailand,60.11,55.66,52.36,71.21,0.1742,1.783,0.59,3.511,183.72,0.529,0.034,3,1,BRCGS; SA8000; LEED,16,6983,1.0,0.067,1,91.02,0.552,80.83,13633.73,1.434,0.803,38723,12451,4020,Moderate
SC0001259,Sumitomo Metal Mining,Nickel,2019,June,gold,East Asia and Pacific,1,Japan,58.83,53.29,64.53,59.02,0.1448,0.462,0.305,1.437,168.45,0.546,0.296,2,1,LEED,24,7858,0.98,0.01,0,84.38,0.362,65.79,24879.33,1.489,1.019,29256,16388,259,Moderate
SC0001309,MonÃ³meros Colombo Venezolanos,Fertilizers and petrochemical derivatives,2019,June,Venezuela/Colombia links,Latin America and Caribbean,2,Agrochemicals,62.13,52.01,61.23,73.43,0.1967,1.854,1.265,3.227,101.37,0.509,0.168,1,1,,19,12774,0.881,0.05,0,75.75,0.054,73.44,10153.75,0.915,1.334,24855,8182,4699,High
SC0001344,Sumitomo Metal Mining,Nickel,2019,June,gold,East Asia and Pacific,1,Japan,78.83,69.96,80.56,81.66,0.1276,2.023,1.109,3.838,150.66,0.789,0.587,2,1,ISO 14001; Fairtrade,1,10765,1.0,0.024,0,100.0,0.152,89.09,12904.7,1.039,0.852,48344,9226,4220,Moderate
SC0001459,BHP GROUP,Nickel,2019,July,iron ore,East Asia and Pacific,1,Australia,60.67,67.45,64.0,57.66,0.1412,2.164,1.773,4.073,138.62,0.426,0.394,2,1,LEED; BRCGS,37,18478,0.877,0.044,0,87.66,0.241,65.77,16045.99,0.992,0.916,29208,21368,2875,Moderate
SC0001469,Siam Cement Group (SCG),Cement,2019,July,chemicals,East Asia and Pacific,1,Thailand,66.51,56.99,63.7,76.68,0.1285,2.735,0.92,2.542,210.41,0.67,0.164,3,1,,46,12907,0.826,0.074,1,88.11,0.146,84.76,15433.65,1.197,0.697,46155,28112,1697,Moderate
SC0001473,Nippon Steel Corporation,Steel plates,2019,July,coils,East Asia and Pacific,1,Japan,62.71,59.63,63.68,63.47,0.1325,1.913,0.34,3.133,170.49,0.694,0.601,2,1,BRCGS,5,7385,0.915,0.013,2,79.66,0.561,73.27,12732.33,0.822,1.268,36864,9545,1879,Moderate
SC0001490,Zhejiang Huayou Cobalt Co.,Ltd.,2019,July,Cobalt sulfate and precursor materials,East Asia and Pacific,1,1,75.0,69.83,78.44,74.36,0.1012,0.649,0.536,4.6,56.14,0.85,0.995,2,1,ISO 9001,16,6212,0.796,0.083,0,93.72,0.13,66.57,15345.9,0.657,0.803,29669,16372,388,Moderate
SC0001548,Rio Tinto Group,Iron ore,2019,July,aluminium,East Asia and Pacific,1,Australia,76.33,71.07,73.44,84.64,0.0299,2.476,0.613,4.458,66.54,0.504,0.61,2,1,ISO 9001,20,10,0.974,0.022,1,98.18,0.383,70.47,24919.82,1.376,0.851,1,15271,3469,Moderate
SC0001558,Nippon Steel Corporation,Steel plates,2019,July,coils,East Asia and Pacific,1,Japan,54.43,49.43,47.98,64.44,0.1985,0.913,0.748,1.285,214.32,0.4,0.532,3,1,,30,1105,0.927,0.042,1,81.81,0.541,58.02,22406.13,1.28,0.858,12238,1,3496,Moderate
SC0001566,FURUKAWA ELECTRIC CO.,Ltd.,2019,July,Electrical wiring and copper cables,East Asia and Pacific,1,1,69.84,62.67,78.63,68.26,0.1669,2.488,2.391,3.659,228.76,0.677,0.816,1,1,LEED; BRCGS,19,11644,0.886,0.0,0,83.66,0.531,83.12,15164.8,1.278,1.416,50194,6630,3311,Moderate
SC0001579,Rio Tinto Group,Iron ore,2019,July,aluminium,East Asia and Pacific,1,Australia,69.33,58.38,73.01,72.06,0.1418,1.874,1.534,3.37,232.63,0.841,0.115,2,0,Fairtrade; BRCGS,34,12210,0.924,0.063,0,77.32,0.679,71.18,4018.83,0.686,1.399,50945,12497,2895,Moderate
SC0001611,PT Pupuk Indonesia,Fertilizers (urea,2019,July,ammonia),East Asia and Pacific,1,1,69.96,64.02,69.55,77.24,0.0981,1.174,0.965,2.154,98.2,0.297,0.446,3,1,ISO 14001; SA8000,35,16600,0.825,0.009,2,72.76,0.169,59.42,16579.36,1.506,1.056,49455,2851,2306,Moderate
SC0001745,BHP Group,Nickel,2019,August,iron ore,East Asia and Pacific,1,Australia,54.99,58.45,56.36,56.65,0.1011,3.297,1.231,1.937,219.25,0.318,0.799,2,1,,20,19269,0.966,0.035,0,77.83,0.412,83.69,17780.57,0.842,1.32,7124,1,1440,Moderate
SC0001764,Cominor/oil and timber exporters,"Crude oil, timber, logs (selected exporters)",2019,August,Congo (Brazzaville),Sub-Saharan Africa,2,Oil and Timber,73.28,77.51,68.08,66.35,0.3521,3.761,0.696,7.791,547.48,0.377,0.0,1,1,RSPO,19,6686,0.865,0.013,0,100.0,0.124,64.59,6451.2,1.108,1.056,15837,12080,2690,High
SC0001767,Rio Tinto Group,Iron ore,2019,August,aluminium,East Asia and Pacific,1,Australia,61.52,63.9,55.0,67.65,0.1053,2.398,0.091,3.041,99.34,0.358,0.456,2,1,,1,10495,0.873,0.049,1,94.74,0.67,90.58,24272.52,1.048,1.146,15109,12666,3155,Moderate
SC0001803,Ganfeng Lithium Co.,Ltd.,2019,August,Lithium carbonate and lithium hydroxide,East Asia and Pacific,1,1,71.46,83.57,66.7,63.35,0.1552,0.507,0.469,3.065,235.06,0.795,0.088,1,0,RSPO,18,4870,0.947,0.081,0,86.24,0.409,63.76,16896.05,0.881,1.175,57430,4055,1825,Moderate
SC0001805,Murata Manufacturing Co.,Electronic components (capacitors,2019,August,sensors),East Asia and Pacific,1,1,84.38,90.99,79.45,86.97,0.184,1.913,1.147,3.166,224.81,0.632,0.503,2,1,ISO 9001; Fairtrade,14,13586,0.979,0.028,2,77.25,0.315,83.24,6683.15,0.798,0.783,19093,4093,2496,Moderate
SC0001858,Zhejiang Huayou Cobalt Co.,Ltd.,2019,August,Cobalt sulfate and precursor materials,East Asia and Pacific,1,1,74.13,73.11,82.45,62.73,0.1174,2.343,0.397,4.159,109.24,0.442,0.136,1,1,,39,15621,1.0,0.063,0,84.77,0.499,64.56,24948.49,0.922,0.804,68551,8541,2308,Moderate
SC0001861,Furukawa Electric Co.,Ltd.,2019,August,Electrical wiring and copper cables,East Asia and Pacific,1,1,47.88,41.54,58.92,46.31,0.0765,2.393,1.505,0.779,146.02,0.261,0.376,2,1,ISO 9001; LEED,39,14527,0.829,0.054,1,71.43,0.052,92.39,10794.71,1.114,0.84,22242,9435,4267,High
SC0001873,Rio Tinto Group,Iron ore,2019,August,aluminium,East Asia and Pacific,1,Australia,81.53,84.15,79.56,80.52,0.308,1.02,0.871,3.769,291.21,0.674,0.209,3,1,Fairtrade; RSPO,5,8292,0.857,0.008,2,85.75,0.367,83.51,14624.23,1.215,1.101,56236,4544,2332,Moderate
SC0001885,Zhejiang Huayou Cobalt Co.,Ltd.,2019,August,Cobalt sulfate and precursor materials,East Asia and Pacific,1,1,64.95,61.0,66.52,62.23,0.1696,3.178,0.722,3.91,202.91,0.639,0.522,1,1,LEED,36,23748,0.977,0.034,0,82.71,0.506,86.85,13913.34,1.533,1.048,20169,89,5954,Moderate
SC0001895,Cominor/oil and timber exporters,"Crude oil, timber, logs (selected exporters)",2019,August,Congo (Brazzaville),Sub-Saharan Africa,2,Oil and Timber,69.16,63.86,75.67,60.77,0.8376,2.459,0.8,2.028,304.44,0.647,0.433,3,1,LEED,24,11402,0.819,0.067,0,94.44,0.217,68.4,6650.95,1.162,0.989,24402,10172,2469,High
SC0002005,Nippon Steel Corporation,Steel plates,2019,September,coils,East Asia and Pacific,1,Japan,70.3,73.55,66.4,67.85,0.1767,3.158,1.299,3.366,78.37,0.488,0.283,1,1,SA8000; Fairtrade; RSPO,45,21052,0.929,0.068,0,75.0,0.166,77.15,21601.4,1.384,0.922,51789,12808,2250,Moderate
SC0002064,Nippon Steel Corporation,Steel plates,2019,September,coils,East Asia and Pacific,1,Japan,72.32,75.2,61.61,81.46,0.1287,2.516,0.554,3.087,149.19,0.747,0.45,2,1,ISO 14001,17,13007,0.889,0.054,0,89.14,0.249,79.03,20921.2,1.126,0.735,45904,9353,3584,Moderate
SC0002081,SUMITOMO METAL MINING,Nickel,2019,September,gold,East Asia and Pacific,1,Japan,74.29,78.78,66.99,74.8,0.0651,1.896,0.134,2.333,177.15,0.605,0.259,3,0,ISO 9001,28,6624,0.921,0.058,0,79.65,0.253,53.87,31735.61,1.277,1.324,46082,14596,2588,Moderate
SC0002084,Sumitomo Metal Mining,Nickel,2019,September,gold,East Asia and Pacific,1,Japan,64.12,58.72,65.57,61.04,0.1712,2.998,0.982,2.159,197.74,0.312,0.653,2,1,RSPO,6,19559,0.931,0.061,2,72.83,0.255,81.87,1062.24,0.847,0.751,51413,11647,4636,High
SC0002125,Rio Tinto Group,Iron ore,2019,September,aluminium,East Asia and Pacific,1,Australia,70.44,69.39,73.4,66.8,0.1414,2.098,1.127,2.262,72.23,0.456,0.635,3,1,LEED; RSPO,16,9585,0.983,0.027,1,74.58,0.322,89.38,16201.14,0.843,1.085,28538,9568,1,Moderate
SC0002141,Ganfeng Lithium Co.,Ltd.,2019,September,Lithium carbonate and lithium hydroxide,East Asia and Pacific,1,1,76.77,69.17,75.18,82.92,0.1353,1.148,0.586,2.115,137.36,0.559,0.641,2,1,,52,17041,1.0,0.045,0,88.41,0.172,45.17,25554.33,1.067,0.943,46843,14642,3415,Moderate
SC0002167,Zhejiang Huayou Cobalt Co.,Ltd.,2019,October,Cobalt sulfate and precursor materials,East Asia and Pacific,1,1,68.59,63.41,77.95,68.21,0.1294,2.323,0.473,0.484,137.06,0.47,0.373,2,1,BRCGS,5,16543,0.865,0.072,1,89.91,0.184,73.56,23396.07,0.756,1.143,14082,10884,4455,Moderate
SC0002185,MonÃ³meros Colombo Venezolanos,Fertilizers and petrochemical derivatives,2019,October,Venezuela/Colombia links,Latin America and Caribbean,2,Agrochemicals,,52.67,55.52,55.59,0.1135,2.399,1.029,2.431,298.3,0.351,0.557,2,1,ISO 9001; RSPO,25,11565,0.925,0.0,1,100.0,0.38,83.02,14630.53,0.766,1.358,22729,1,2199,Moderate
SC0002214,Zhejiang Huayou Cobalt Co.,Ltd.,2019,October,Cobalt sulfate and precursor materials,East Asia and Pacific,1,1,63.04,63.28,63.63,63.03,0.0005,2.172,1.151,1.045,309.52,0.717,0.445,2,1,,20,10,0.869,0.054,2,79.42,0.548,67.49,6619.28,0.974,1.335,71214,10903,3081,Moderate
SC0002222,Nippon Steel Corporation,Steel plates,2019,October,coils,East Asia and Pacific,1,Japan,58.5,53.83,56.69,67.99,0.0942,2.048,0.571,4.221,106.01,0.599,0.785,3,0,LEED,26,2052,0.819,0.0,1,66.41,0.196,84.71,18075.45,0.545,1.256,32749,15153,2332,Moderate
SC0002252,Zhejiang Huayou Cobalt Co.,Ltd.,2019,October,Cobalt sulfate and precursor materials,East Asia and Pacific,1,1,68.9,67.08,77.34,59.92,0.1424,2.769,0.736,2.542,12.15,0.618,0.287,3,0,,28,10,0.987,0.073,1,87.61,0.145,58.8,20590.99,0.739,0.853,30516,15170,2603,Moderate
SC0002286,Cominor/oil and timber exporters,"Crude oil, timber, logs (selected exporters)",2019,October,Congo (Brazzaville),Sub-Saharan Africa,2,Oil and Timber,71.3,67.71,67.39,73.35,0.7432,0.01,0.72,8.021,464.91,0.57,0.132,2,1,SA8000; RSPO; BRCGS,29,17825,0.912,0.005,2,73.57,0.613,57.49,17723.97,0.612,1.397,71130,10782,4161,High
SC0002291,Furukawa Electric Co.,Ltd.,2019,October,Electrical wiring and copper cables,East Asia and Pacific,1,1,90.98,90.6,92.11,85.02,0.0524,1.695,1.091,2.522,178.98,0.498,0.716,2,0,ISO 14001,34,14044,0.901,0.061,1,84.72,0.533,42.48,6125.24,1.258,0.804,53478,7517,2553,Moderate
SC0002329,PT PUPUK INDONESIA,Fertilizers (urea,2019,October,ammonia),East Asia and Pacific,1,1,56.48,50.37,59.44,57.01,0.2156,0.811,0.361,3.082,142.37,0.651,0.463,2,1,BRCGS; ISO 14001,21,10,0.931,0.099,0,89.39,0.475,73.34,7101.14,0.726,1.126,50546,13928,4310,Moderate
SC0002346,MonÃ³meros Colombo Venezolanos,Fertilizers and petrochemical derivatives,2019,October,Venezuela/Colombia links,Latin America and Caribbean,2,Agrochemicals,66.51,63.9,60.37,71.28,0.1546,1.658,1.074,4.616,112.19,0.32,0.369,2,0,,28,16810,0.879,0.071,0,83.78,0.553,87.77,16145.68,1.083,0.971,56376,18863,2114,Moderate
SC0002361,Nippon Steel Corporation,Steel plates,2019,October,coils,East Asia and Pacific,1,Japan,64.47,60.62,69.68,63.09,0.1231,2.047,0.145,2.0,211.54,0.631,0.61,2,1,LEED,35,24736,0.787,0.073,0,72.21,0.674,73.5,2802.35,0.699,0.927,9644,1012,1000,Moderate
SC0002431,Sumitomo Metal Mining,Nickel,2019,November,gold,East Asia and Pacific,1,Japan,72.82,78.8,63.68,68.48,0.0551,1.802,0.461,3.215,0.9,0.315,0.359,1,1,ISO 14001; Fairtrade; LEED,46,13753,0.925,0.025,1,64.24,0.5,73.69,14890.34,0.973,1.02,64923,5231,2689,Moderate
SC0002490,Rio Tinto Group,Iron ore,2019,November,aluminium,East Asia and Pacific,1,Australia,68.39,60.48,70.86,79.98,0.0609,1.674,1.284,4.811,66.44,0.309,0.161,2,1,ISO 9001,39,18850,1.0,0.007,1,78.33,0.085,82.99,13575.55,1.228,1.018,17271,17026,4920,Moderate
SC0002494,Zhejiang Huayou Cobalt Co. ,Ltd.,2019,November,Cobalt sulfate and precursor materials,East Asia and Pacific,1,1,71.31,66.81,77.41,71.8,0.1321,1.958,0.746,1.811,168.94,0.656,0.352,2,1,FSSC 22000; LEED,40,11735,0.924,0.028,1,82.5,0.296,70.07,4954.18,0.886,1.133,34938,3548,2401,Moderate
SC0002501,Rio Tinto Group,Iron ore,2019,November,aluminium,East Asia and Pacific,1,Australia,77.74,76.36,80.87,71.96,0.0714,1.988,0.538,1.57,227.52,0.331,0.353,3,0,,4,7712,0.987,0.097,2,78.47,0.241,69.17,14562.75,0.672,1.128,23809,10779,1992,Moderate
SC0002594,Furukawa Electric Co.,Ltd.,2019,November,Electrical wiring and copper cables,East Asia and Pacific,1,1,83.4,85.04,82.72,80.35,0.1211,1.461,1.295,2.233,123.36,0.571,0.0,1,0,ISO 9001; FSSC 22000,31,15755,0.881,0.0,0,87.36,0.565,86.35,12133.14,0.813,1.017,38339,7291,1,Moderate
SC0002622,Zhejiang Huayou Cobalt Co.,Ltd.,2019,November,Cobalt sulfate and precursor materials,East Asia and Pacific,1,1,78.71,85.42,71.6,81.67,0.0549,1.746,0.73,0.992,71.3,0.456,0.578,2,1,BRCGS; SA8000,1,16014,0.885,0.0,0,95.72,0.143,89.96,16759.29,0.991,0.866,32034,15602,4815,Moderate
SC0002682,PT Pupuk Indonesia,Fertilizers (urea,2019,December,ammonia),East Asia and Pacific,1,1,90.63,83.37,94.73,92.7,0.2029,1.783,0.351,4.135,193.66,0.479,0.011,2,1,Fairtrade,8,12193,0.864,0.079,3,92.23,0.335,99.0,15899.61,1.056,1.229,49703,7422,2707,High
SC0002683,Murata Manufacturing Co.,Electronic components (capacitors,2019,December,sensors),East Asia and Pacific,1,1,84.98,81.04,91.55,76.0,0.103,2.205,0.99,3.019,236.16,0.805,0.66,2,1,FSSC 22000,42,10230,0.941,0.052,0,86.7,0.244,52.63,3201.06,1.078,1.062,31390,4916,3362,Moderate
SC0002692,Zhejiang Huayou Cobalt Co.,Ltd.,2019,December,Cobalt sulfate and precursor materials,East Asia and Pacific,1,1,66.99,64.83,70.4,69.81,0.1679,1.388,1.072,4.991,167.38,0.529,0.491,2,1,ISO 9001,26,12090,0.876,0.0,0,89.86,0.231,69.39,4852.15,1.452,1.083,53260,1,3390,Moderate
SC0002702,PT Pupuk Indonesia,Fertilizers (urea,2019,December,ammonia),East Asia and Pacific,1,1,71.54,68.59,78.56,66.79,0.1586,2.159,0.025,1.822,225.09,0.727,0.516,2,0,ISO 9001,22,20664,0.913,0.099,0,81.52,0.13,91.7,15895.56,1.124,1.044,27806,9028,5219,Moderate
SC0002704,Sumitomo Metal Mining,Nickel,2019,December,gold,East Asia and Pacific,1,Japan,87.63,84.75,90.03,87.38,0.2077,3.625,1.636,2.209,160.8,0.588,0.36,2,1,,24,16246,0.946,0.042,1,87.96,0.166,70.06,8639.4,0.793,1.084,32102,19216,2571,Moderate
SC0002734,MonÃ³meros Colombo Venezolanos,Fertilizers and petrochemical derivatives,2019,December,Venezuela/Colombia links,Latin America and Caribbean,2,Agrochemicals,71.75,76.69,78.75,65.61,0.1579,0.465,0.498,2.397,192.09,0.461,0.106,2,0,,22,13692,0.906,0.068,0,87.41,0.645,69.53,8278.51,0.619,0.889,4226,13607,3196,Moderate
SC0002783,Ganfeng Lithium Co.,Ltd.,2019,December,Lithium carbonate and lithium hydroxide,East Asia and Pacific,1,1,73.43,69.64,71.5,79.28,0.1468,2.614,0.941,2.874,241.7,0.788,0.543,3,0,,16,14311,0.997,0.024,0,83.77,0.529,80.91,23974.03,0.884,0.939,21168,10945,1845,Moderate
